TimeStamp_UTC; WT1_NacelleDirection[deg]; WT1_isConnected[-]; WT2_NacelleDirection[deg]; WT2_isConnected[-]; WT3_NacelleDirection[deg]; WT3_isConnected[-]; mm_temperature[°C]; mm_humidity[%]; mm_pressure[Pa]; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.18_09:36:35:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.058400; 91.041400; 1003.302700; 0.046195; 12.088047; 10.092455; 0.297671; 239.525119; 
2023.10.18_09:36:36:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.074100; 91.072200; 1003.488000; 0.057988; 11.854263; 10.012570; 0.278562; 239.570872; 
2023.10.18_09:36:37:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.065200; 91.078800; 1003.339300; 0.072754; 11.526920; 10.004553; 0.233685; 239.607139; 
2023.10.18_09:36:38:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.074700; 91.076500; 1003.414000; 0.075836; 11.263240; 9.987008; 0.198403; 239.742041; 
2023.10.18_09:36:39:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.072300; 91.076500; 1003.472600; 0.055158; 10.858788; 9.989517; 0.137656; 239.700644; 
2023.10.18_09:36:40:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.074800; 91.093700; 1003.467500; 0.039140; 10.725127; 9.978627; 0.119023; 239.644226; 
2023.10.18_09:36:41:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.081400; 91.083000; 1003.501200; 0.035969; 10.687755; 10.087085; 0.095429; 239.179914; 
2023.10.18_09:36:42:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.073900; 91.093600; 1003.502700; 0.038369; 10.644647; 10.024563; 0.099019; 238.995391; 
2023.10.18_09:36:43:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.071000; 91.097600; 1003.495300; 0.038336; 10.645013; 9.919928; 0.116386; 238.664309; 
2023.10.18_09:36:44:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.087000; 91.073400; 1003.458000; 0.038539; 10.672725; 9.820123; 0.137358; 238.025064; 
2023.10.18_09:36:45:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.076100; 91.059100; 1003.512900; 0.036512; 10.651673; 9.683135; 0.157277; 237.132204; 
2023.10.18_09:36:46:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.077800; 91.059100; 1003.448500; 0.051593; 10.411830; 9.733172; 0.111201; 236.474956; 
2023.10.18_09:36:47:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.077800; 91.047900; 1003.497500; 0.072887; 10.046212; 9.838532; 0.034463; 235.444078; 
2023.10.18_09:36:48:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.080000; 91.032300; 1003.471900; 0.071117; 9.846787; 9.808998; 0.006343; 234.450294; 
2023.10.18_09:36:49:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.083100; 91.048500; 1003.295400; 0.067332; 9.752863; 9.712708; 0.006807; 233.948627; 
2023.10.18_09:36:50:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.088500; 91.088100; 1003.474100; 0.050622; 9.552662; 9.645222; -0.015909; 232.812051; 
2023.10.18_09:36:51:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.086100; 91.079000; 1003.442600; 0.040985; 9.428750; 9.634562; -0.035624; 232.066203; 
2023.10.18_09:36:52:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.081900; 91.074700; 1003.378100; 0.039977; 9.383180; 9.448675; -0.011476; 231.067193; 
2023.10.18_09:36:53:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.085300; 91.055500; 1003.510000; 0.033105; 9.435175; 9.193705; 0.042772; 230.273709; 
2023.10.18_09:36:54:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.093900; 91.011900; 1003.473400; 0.038065; 9.341252; 9.095405; 0.044002; 229.608753; 
2023.10.18_09:36:55:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.085900; 90.973700; 1003.472600; 0.045310; 9.122145; 8.991680; 0.023766; 229.312175; 
2023.10.18_09:36:56:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.088400; 90.964200; 1003.350300; 0.041554; 9.015782; 8.994683; 0.003865; 229.734428; 
2023.10.18_09:36:57:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.093500; 91.003800; 1003.432300; 0.035292; 8.919350; 8.932840; -0.002493; 230.064225; 
2023.10.18_09:36:58:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.092300; 91.018400; 1003.269000; 0.032369; 8.804050; 8.792478; 0.002170; 230.952526; 
2023.10.18_09:36:59:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.092400; 91.093300; 1003.222100; 0.027538; 8.743217; 8.727448; 0.002978; 231.823618; 
2023.10.18_09:37:00:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.097400; 91.094500; 1003.474800; 0.029144; 8.683428; 8.794305; -0.020932; 232.937194; 
2023.10.18_09:37:01:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.094100; 91.048400; 1003.482100; 0.029517; 8.668885; 8.996372; -0.061176; 233.443180; 
2023.10.18_09:37:02:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.096400; 90.989900; 1003.423500; 0.028649; 8.645915; 9.153913; -0.094194; 232.808475; 
