TimeStamp_UTC; WT1_Timestamp_UTC[-]; WT1_GeneratorSpeed[RPM]; WT1_ConverterTorque[Nm]; WT1_PitchAngle[deg]; WT1_PitchAngle1[deg]; WT1_PitchAngle2[deg]; WT1_PitchAngle3[deg]; WT1_Power[kW]; WT1_RotorRpm[RPM]; WT1_TurbineState[-]; WT1_WindSpeed[m/s]; WT1_YawError[deg]; WT1_ref_signal[-]; WT2_Timestamp_UTC[-]; WT2_GeneratorSpeed[RPM]; WT2_ConverterTorque[Nm]; WT2_PitchAngle[deg]; WT2_PitchAngle1[deg]; WT2_PitchAngle2[deg]; WT2_PitchAngle3[deg]; WT2_Power[kW]; WT2_RotorRpm[RPM]; WT2_TurbineState[-]; WT2_WindSpeed[m/s]; WT2_YawError[deg]; WT2_ref_signal[-]; WT3_Timestamp_UTC[-]; WT3_GeneratorSpeed[RPM]; WT3_ConverterTorque[Nm]; WT3_PitchAngle[deg]; WT3_PitchAngle1[deg]; WT3_PitchAngle2[deg]; WT3_PitchAngle3[deg]; WT3_Power[kW]; WT3_RotorRpm[RPM]; WT3_TurbineState[-]; WT3_WindSpeed[m/s]; WT3_YawError[deg]; WT3_ref_signal[-]; WT1_X_vibration[m/s2]; WT1_Y_vibration[m/s2]; WT1_Z_vibration[m/s2]; WT2_X_vibration[m/s2]; WT2_Y_vibration[m/s2]; WT2_Z_vibration[m/s2]; WT3_X_vibration[m/s2]; WT3_Y_vibration[m/s2]; WT3_Z_vibration[m/s2]; mm_Timestamp_UTC[-]; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; mm_wd_60m[deg]; loads_Timestamp_UTC[-]; wt1_blade1_root_edge[Nm]; wt1_blade1_root_flap[Nm]; wt1_blade2_root_edge[Nm]; wt1_blade2_root_flap[Nm]; wt1_blade3_root_edge[Nm]; wt1_blade3_root_flap[Nm]; wt2_blade1_root_edge[Nm]; wt2_blade1_root_flap[Nm]; wt2_blade2_root_edge[Nm]; wt2_blade2_root_flap[Nm]; wt2_blade3_root_edge[Nm]; wt2_blade3_root_flap[Nm]; wt3_blade1_root_edge[Nm]; wt3_blade1_root_flap[Nm]; wt3_blade2_root_edge[Nm]; wt3_blade2_root_flap[Nm]; wt3_blade3_root_edge[Nm]; wt3_blade3_root_flap[Nm]; wt1_blade1_IP[Nm]; wt1_blade2_IP[Nm]; wt1_blade3_IP[Nm]; wt1_blade1_OOP[Nm]; wt1_blade2_OOP[Nm]; wt1_blade3_OOP[Nm]; loads_process_AppStatus[-]; 
2023.10.18_09:36:03:584; 29-Mar-2021 00:00:15:525; 1154.000000; 4004.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4986.000000; 11.890000; 1; 9.088000; 2.992800; 0.499740; 29-Mar-2021 00:00:15:525; 1062.000000; 2924.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3354.000000; 10.950000; 1; 8.525600; 9.150300; 0.655090; 29-Mar-2021 00:00:15:525; 843.000000; 1771.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1612.000000; 8.691000; 1; 8.889200; 9.218100; 0.754100; 0.301560; 0.391920; 0.541590; 0.168310; 0.310630; 0.581130; 0.294810; 0.543510; 0.858910; 29-Mar-2021 00:00:18:624; 13.244600; 7.986500; 239.211500; 241.296400; 29-Mar-2021 00:00:05:822; -426.900000; 10070.000000; -309.800000; 10030.000000; 3941.000000; 11400.000000; -1656.000000; 9136.000000; 2464.000000; 9292.000000; 2196.000000; 9272.000000; 1045.000000; 6452.000000; -1922.000000; 5239.000000; 2938.000000; 6826.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:03:684; 29-Mar-2021 00:00:15:624; 1153.000000; 3868.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4814.000000; 11.890000; 1; 9.438000; 2.468700; 0.629440; 29-Mar-2021 00:00:15:624; 1062.000000; 2930.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3361.000000; 10.950000; 1; 7.961400; 8.696100; 0.301610; 29-Mar-2021 00:00:15:624; 843.500000; 1751.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1595.000000; 8.696000; 1; 8.046100; 9.336400; 0.634410; 0.942090; 0.214030; 0.026359; 0.214140; 0.038892; 0.560800; 0.835060; 0.859930; 0.010201; 29-Mar-2021 00:00:18:723; 12.894600; 8.013900; 239.321400; 246.188400; 29-Mar-2021 00:00:05:921; -751.200000; 9882.000000; -5.371000; 10300.000000; 4001.000000; 11710.000000; -1581.000000; 9405.000000; 2693.000000; 9331.000000; 1883.000000; 9430.000000; 691.300000; 6249.000000; -1798.000000; 5159.000000; 3194.000000; 7080.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:03:784; 29-Mar-2021 00:00:15:723; 1152.000000; 3883.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4828.000000; 11.870000; 1; 9.170000; 1.471600; 0.234600; 29-Mar-2021 00:00:15:723; 1062.000000; 2888.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3311.000000; 10.950000; 1; 7.494900; 8.010500; 0.978740; 29-Mar-2021 00:00:15:723; 843.800000; 1728.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1574.000000; 8.699000; 1; 7.979800; 8.305400; 0.271220; 0.194180; 0.550660; 0.771130; 0.917790; 0.428000; 0.874080; 0.986690; 0.631580; 0.604440; 29-Mar-2021 00:00:18:832; 12.298500; 7.981100; 239.299400; 244.804800; 29-Mar-2021 00:00:06:031; -952.900000; 9356.000000; 343.700000; 10040.000000; 3971.000000; 11610.000000; -1625.000000; 8773.000000; 3016.000000; 9418.000000; 1561.000000; 9287.000000; 373.800000; 6090.000000; -1602.000000; 5250.000000; 3331.000000; 7175.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:03:884; 29-Mar-2021 00:00:15:822; 1151.000000; 4027.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5005.000000; 11.870000; 1; 9.736000; 0.846250; 0.008034; 29-Mar-2021 00:00:15:822; 1062.000000; 2974.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3409.000000; 10.950000; 1; 7.377800; 7.574600; 0.371220; 29-Mar-2021 00:00:15:822; 843.900000; 1715.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1562.000000; 8.700000; 1; 7.765100; 8.482300; 0.326720; 0.327350; 0.659140; 0.692150; 0.024423; 0.634530; 0.230030; 0.474720; 0.877460; 0.060932; 29-Mar-2021 00:00:18:931; 12.197400; 7.920900; 239.321400; 236.221600; 29-Mar-2021 00:00:06:130; -1081.000000; 9495.000000; 642.600000; 9716.000000; 3810.000000; 11120.000000; -1623.000000; 7964.000000; 3376.000000; 9618.000000; 1166.000000; 8670.000000; 102.800000; 6094.000000; -1414.000000; 5416.000000; 3376.000000; 7120.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:03:984; 29-Mar-2021 00:00:15:921; 1152.000000; 4103.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5103.000000; 11.870000; 1; 8.626000; 0.013250; 0.283030; 29-Mar-2021 00:00:15:921; 1063.000000; 3120.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3579.000000; 10.960000; 1; 7.277400; 7.127200; 0.536210; 29-Mar-2021 00:00:15:921; 843.900000; 1704.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1552.000000; 8.700000; 1; 7.396000; 7.567000; 0.435910; 0.531100; 0.517290; 0.945210; 0.457780; 0.389650; 0.412730; 0.804040; 0.734560; 0.157280; 29-Mar-2021 00:00:19:031; 12.593800; 7.860800; 236.750400; 236.672000; 29-Mar-2021 00:00:06:228; -1287.000000; 10160.000000; 900.700000; 9535.000000; 3614.000000; 10920.000000; -1495.000000; 7842.000000; 3650.000000; 10140.000000; 757.500000; 8148.000000; -150.700000; 6436.000000; -1258.000000; 5539.000000; 3457.000000; 7144.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:04:084; 29-Mar-2021 00:00:16:031; 1153.000000; 4043.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5030.000000; 11.880000; 1; 9.338000; -0.549260; 0.029361; 29-Mar-2021 00:00:16:031; 1065.000000; 3146.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3616.000000; 10.980000; 1; 6.828900; 7.053000; 0.880220; 29-Mar-2021 00:00:16:031; 843.800000; 1694.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1543.000000; 8.699000; 1; 7.538900; 7.835400; 0.859990; 0.349110; 0.491180; 0.450770; 0.578060; 0.523280; 0.383170; 0.813990; 0.876780; 0.830040; 29-Mar-2021 00:00:19:130; 11.967700; 8.191600; 237.167900; 234.205500; 29-Mar-2021 00:00:06:327; -1539.000000; 10180.000000; 1278.000000; 9736.000000; 3403.000000; 11060.000000; -1244.000000; 8252.000000; 3747.000000; 10370.000000; 400.400000; 7851.000000; -404.900000; 6732.000000; -1070.000000; 5456.000000; 3579.000000; 7299.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:04:184; 29-Mar-2021 00:00:16:130; 1153.000000; 4001.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4979.000000; 11.880000; 1; 9.132000; -1.355400; 0.730150; 29-Mar-2021 00:00:16:130; 1066.000000; 3052.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3513.000000; 10.990000; 1; 6.596200; 7.205200; 0.022965; 29-Mar-2021 00:00:16:130; 843.700000; 1697.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1546.000000; 8.698000; 1; 7.250400; 7.413500; 0.620430; 0.572700; 0.555560; 0.164630; 0.582550; 0.168520; 0.406010; 0.264840; 0.267930; 0.763730; 29-Mar-2021 00:00:19:228; 12.129000; 8.527900; 237.102000; 227.109800; 29-Mar-2021 00:00:06:426; -1585.000000; 9649.000000; 1710.000000; 10260.000000; 3159.000000; 10960.000000; -1026.000000; 8345.000000; 3810.000000; 10250.000000; 108.000000; 8006.000000; -644.400000; 6564.000000; -840.600000; 5140.000000; 3638.000000; 7559.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:04:284; 29-Mar-2021 00:00:16:228; 1153.000000; 4076.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5073.000000; 11.890000; 1; 8.778000; -1.757300; 0.223820; 29-Mar-2021 00:00:16:228; 1067.000000; 2989.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3442.000000; 11.000000; 1; 6.494400; 7.354200; 0.132430; 29-Mar-2021 00:00:16:228; 843.800000; 1721.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1568.000000; 8.698000; 1; 7.081300; 7.763100; 0.364420; 0.878880; 0.511120; 0.707800; 0.900350; 0.222120; 0.498620; 0.104850; 0.807370; 0.117310; 29-Mar-2021 00:00:19:327; 12.695000; 8.216200; 237.124000; 224.371100; 29-Mar-2021 00:00:06:525; -1465.000000; 9659.000000; 2001.000000; 10530.000000; 2900.000000; 10640.000000; -861.800000; 8038.000000; 3932.000000; 10170.000000; -165.200000; 8413.000000; -892.100000; 6159.000000; -596.200000; 5033.000000; 3614.000000; 7582.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:04:384; 29-Mar-2021 00:00:16:327; 1154.000000; 4120.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5131.000000; 11.890000; 1; 8.588000; -1.763000; 0.456530; 29-Mar-2021 00:00:16:327; 1067.000000; 3026.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3486.000000; 11.000000; 1; 6.952200; 7.662500; 0.320280; 29-Mar-2021 00:00:16:327; 844.000000; 1729.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1576.000000; 8.701000; 1; 7.501100; 8.489600; 0.996150; 0.511360; 0.754810; 0.287860; 0.998840; 0.604970; 0.615590; 0.874430; 0.644280; 0.709950; 29-Mar-2021 00:00:19:426; 12.107100; 8.298300; 236.772400; 231.339500; 29-Mar-2021 00:00:06:624; -1560.000000; 9861.000000; 2212.000000; 10170.000000; 2645.000000; 10670.000000; -668.300000; 7644.000000; 4052.000000; 10300.000000; -449.400000; 8703.000000; -1161.000000; 6032.000000; -353.700000; 5296.000000; 3567.000000; 7535.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
2023.10.18_09:36:04:484; 29-Mar-2021 00:00:16:426; 1154.000000; 4034.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5027.000000; 11.900000; 1; 10.098000; -1.525300; 0.737560; 29-Mar-2021 00:00:16:426; 1068.000000; 3072.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3543.000000; 11.010000; 1; 7.410600; 7.716100; 0.003217; 29-Mar-2021 00:00:16:426; 844.100000; 1715.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1563.000000; 8.702000; 1; 7.880500; 8.185500; 0.891330; 0.579270; 0.454720; 0.320310; 0.726100; 0.526790; 0.433740; 0.473840; 0.832880; 0.563360; 29-Mar-2021 00:00:19:525; 12.596600; 8.208000; 236.464800; 231.846100; 29-Mar-2021 00:00:06:723; -1762.000000; 9751.000000; 2488.000000; 9454.000000; 2341.000000; 10780.000000; -397.800000; 7592.000000; 4051.000000; 10370.000000; -720.900000; 8473.000000; -1412.000000; 6038.000000; -55.840000; 5618.000000; 3498.000000; 7484.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0; 
