KeyName,KeyType,Description
PLCApp,Absolute folder path,Location of PLC code after generation.
InterfaceFiles,Relative folder path,Main folder containing the dictionary for data type conversion between Matlab and the PLC. Do not change it.
ReferenceCFiles,Absolute folder path,Location of Reference C files from PLC.
SimulinkCCode,Absolute folder path,Location of Simulink Coder outputs.
SimulinkModels,Absolute folder path,Location of Simulink Models.
