TimeStamp_UTC; check_isWFon[-]; check_WindInSector[-]; check_all[-]; avg_inflowState[-]; avg_inflow_AppStatus[-]; WF_status_AppStatus[-]; 
2023.10.18_09:36:03:584; 1.000000; 1.000000; 1.000000; 0.000000; 0; 0; 
2023.10.18_09:36:04:584; 1.000000; 1.000000; 1.000000; 0.000000; 0; 0; 
2023.10.18_09:36:05:584; 1.000000; 1.000000; 1.000000; 0.000000; 0; 0; 
2023.10.18_09:36:06:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 0; 
2023.10.18_09:36:07:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 0; 
2023.10.18_09:36:08:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 0; 
2023.10.18_09:36:09:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 0; 
2023.10.18_09:36:10:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 0; 
2023.10.18_09:36:11:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:36:12:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:13:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:14:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:15:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:16:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:17:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:18:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:19:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:20:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:21:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:22:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:23:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:24:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:25:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:26:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:27:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:28:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:29:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:30:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:31:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:32:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:33:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:34:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:35:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:36:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:37:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:38:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:39:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:40:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:41:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:42:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:43:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:44:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:45:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:46:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:47:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:48:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:49:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:50:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:51:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:52:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:53:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:54:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:55:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:56:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:57:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:58:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:36:59:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:00:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:01:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:02:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
