TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:32:08:745; 11.054400; 9.249800; 229.762700; 
2023.10.20_16:32:08:845; 11.273200; 9.192400; 234.355200; 
2023.10.20_16:32:08:945; 11.087200; 9.001000; 234.377200; 
2023.10.20_16:32:09:045; 10.745500; 8.886100; 234.399200; 
2023.10.20_16:32:09:145; 10.852100; 8.949000; 234.355200; 
2023.10.20_16:32:09:245; 11.114600; 8.872500; 232.729200; 
2023.10.20_16:32:09:345; 11.144700; 8.661900; 232.773100; 
2023.10.20_16:32:09:445; 11.185700; 8.861500; 232.817100; 
2023.10.20_16:32:09:545; 11.450900; 8.645500; 232.817100; 
2023.10.20_16:32:09:645; 11.117300; 9.014600; 229.762700; 
2023.10.20_16:32:09:745; 11.029800; 8.877900; 229.894500; 
2023.10.20_16:32:09:845; 11.065400; 8.979100; 229.850600; 
2023.10.20_16:32:09:945; 10.898600; 9.052900; 229.850600; 
2023.10.20_16:32:10:045; 10.682600; 9.135000; 232.685200; 
2023.10.20_16:32:10:145; 10.379100; 8.918900; 232.948900; 
2023.10.20_16:32:10:245; 10.491200; 8.806800; 233.036800; 
2023.10.20_16:32:10:345; 10.822000; 8.681100; 233.036800; 
2023.10.20_16:32:10:445; 10.463800; 8.601800; 233.761900; 
2023.10.20_16:32:10:545; 10.327100; 8.626400; 236.486700; 
2023.10.20_16:32:10:645; 9.958000; 8.681100; 236.376900; 
2023.10.20_16:32:10:745; 10.174000; 8.757600; 236.376900; 
2023.10.20_16:32:10:845; 10.212300; 8.626400; 236.289000; 
2023.10.20_16:32:10:945; 10.020900; 8.902500; 235.761600; 
2023.10.20_16:32:11:045; 10.048200; 8.845100; 235.827500; 
2023.10.20_16:32:11:145; 10.294300; 8.861500; 235.805500; 
2023.10.20_16:32:11:245; 10.554100; 8.664700; 235.827500; 
2023.10.20_16:32:11:345; 10.507600; 8.640000; 235.519900; 
2023.10.20_16:32:11:445; 10.316200; 8.631800; 235.497900; 
2023.10.20_16:32:11:545; 10.463800; 8.563500; 235.519900; 
2023.10.20_16:32:11:645; 10.354500; 8.623600; 235.497900; 
2023.10.20_16:32:11:745; 10.436500; 8.733000; 230.575700; 
2023.10.20_16:32:11:845; 10.551300; 8.768600; 231.015200; 
2023.10.20_16:32:11:945; 10.526700; 8.916200; 231.103100; 
2023.10.20_16:32:12:045; 10.370900; 9.009200; 231.169000; 
2023.10.20_16:32:12:145; 10.340800; 9.271700; 232.135900; 
2023.10.20_16:32:12:245; 10.308000; 8.935300; 232.817100; 
2023.10.20_16:32:12:345; 9.936100; 9.334600; 232.883000; 
2023.10.20_16:32:12:445; 9.742000; 9.443900; 232.905000; 
2023.10.20_16:32:12:545; 9.990800; 9.402900; 233.344400; 
2023.10.20_16:32:12:645; 9.875900; 9.419300; 240.222300; 
2023.10.20_16:32:12:745; 9.433000; 8.891600; 240.002600; 
2023.10.20_16:32:12:845; 9.290800; 8.938100; 239.914700; 
2023.10.20_16:32:12:945; 9.039300; 8.713900; 240.112400; 
2023.10.20_16:32:13:045; 9.192400; 9.096700; 247.144100; 
2023.10.20_16:32:13:145; 9.080300; 9.055700; 246.748600; 
2023.10.20_16:32:13:245; 9.072100; 9.137700; 246.858400; 
2023.10.20_16:32:13:345; 8.834200; 8.672900; 246.858400; 
2023.10.20_16:32:13:445; 8.962700; 9.033800; 233.718000; 
2023.10.20_16:32:13:545; 9.326400; 8.979100; 235.607800; 
2023.10.20_16:32:13:645; 9.244300; 8.888900; 235.475900; 
2023.10.20_16:32:13:745; 9.452100; 8.823200; 235.278200; 
2023.10.20_16:32:13:845; 9.643500; 8.763100; 234.728800; 
2023.10.20_16:32:13:945; 9.348200; 8.743900; 234.662900; 
2023.10.20_16:32:14:045; 9.397400; 8.962700; 234.706800; 
2023.10.20_16:32:14:145; 9.329100; 8.708400; 234.662900; 
2023.10.20_16:32:14:245; 9.126700; 8.640000; 235.563800; 
2023.10.20_16:32:14:345; 9.255300; 8.596300; 235.453900; 
2023.10.20_16:32:14:445; 9.266200; 8.694700; 235.453900; 
2023.10.20_16:32:14:545; 9.402900; 8.678300; 235.475900; 
2023.10.20_16:32:14:645; 9.372800; 8.648200; 234.487100; 
2023.10.20_16:32:14:745; 9.263500; 8.670100; 232.970900; 
2023.10.20_16:32:14:845; 9.460300; 8.681100; 232.948900; 
2023.10.20_16:32:14:945; 9.673600; 8.694700; 232.970900; 
2023.10.20_16:32:15:045; 9.476700; 8.558000; 232.948900; 
2023.10.20_16:32:15:145; 9.556000; 8.495100; 233.366400; 
2023.10.20_16:32:15:245; 9.274400; 8.503300; 233.388400; 
2023.10.20_16:32:15:345; 10.171300; 8.522500; 233.410400; 
2023.10.20_16:32:15:445; 9.960700; 8.456800; 233.388400; 
2023.10.20_16:32:15:545; 9.632600; 8.355700; 237.409600; 
2023.10.20_16:32:15:645; 9.454900; 8.432200; 237.431600; 
2023.10.20_16:32:15:745; 9.627100; 8.139700; 237.431600; 
2023.10.20_16:32:15:845; 9.484900; 8.249000; 237.453600; 
2023.10.20_16:32:15:945; 9.711900; 7.756900; 238.288600; 
2023.10.20_16:32:16:045; 9.646300; 8.134200; 238.222700; 
2023.10.20_16:32:16:145; 9.416600; 8.486900; 238.200700; 
2023.10.20_16:32:16:245; 9.807600; 8.227200; 238.178700; 
2023.10.20_16:32:16:345; 9.392000; 8.497900; 238.464400; 
2023.10.20_16:32:16:445; 9.167800; 8.385800; 238.486400; 
