TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:31:08:745; 8.940800; 8.251800; 242.859200; 
2023.10.20_16:31:08:845; 8.979100; 8.093200; 240.683800; 
2023.10.20_16:31:08:945; 8.741200; 8.213500; 240.991400; 
2023.10.20_16:31:09:045; 8.738500; 8.240800; 240.969400; 
2023.10.20_16:31:09:145; 8.435000; 8.054900; 240.947400; 
2023.10.20_16:31:09:245; 8.826000; 8.410400; 242.375800; 
2023.10.20_16:31:09:345; 8.484200; 7.972900; 242.200000; 
2023.10.20_16:31:09:445; 8.749400; 8.071300; 242.200000; 
2023.10.20_16:31:09:545; 8.404900; 8.000200; 242.200000; 
2023.10.20_16:31:09:645; 8.465000; 7.948300; 243.518400; 
2023.10.20_16:31:09:745; 8.897100; 7.869000; 243.957900; 
2023.10.20_16:31:09:845; 8.965400; 7.765100; 244.067700; 
2023.10.20_16:31:09:945; 8.962700; 7.576400; 244.045800; 
2023.10.20_16:31:10:045; 9.394700; 7.874400; 244.221600; 
2023.10.20_16:31:10:145; 9.151400; 7.576400; 247.122100; 
2023.10.20_16:31:10:245; 9.181400; 7.669400; 247.210000; 
2023.10.20_16:31:10:345; 9.003700; 7.759600; 247.166100; 
2023.10.20_16:31:10:445; 8.913500; 7.806100; 247.166100; 
2023.10.20_16:31:10:545; 8.921700; 7.704900; 245.078600; 
2023.10.20_16:31:10:645; 8.899800; 7.674800; 244.990700; 
2023.10.20_16:31:10:745; 8.782200; 7.748700; 244.990700; 
2023.10.20_16:31:10:845; 8.631800; 7.420500; 244.990700; 
2023.10.20_16:31:10:945; 8.465000; 7.480700; 243.232700; 
2023.10.20_16:31:11:045; 8.683800; 7.956500; 242.375800; 
2023.10.20_16:31:11:145; 8.741200; 7.614700; 242.419700; 
2023.10.20_16:31:11:245; 8.861500; 7.937300; 242.419700; 
2023.10.20_16:31:11:345; 9.006400; 7.896300; 240.749700; 
2023.10.20_16:31:11:445; 8.760400; 7.685800; 240.881500; 
2023.10.20_16:31:11:545; 8.817800; 7.776000; 240.903500; 
2023.10.20_16:31:11:645; 8.702900; 7.581900; 240.903500; 
2023.10.20_16:31:11:745; 8.990000; 7.423300; 241.606700; 
2023.10.20_16:31:11:845; 8.976400; 7.508000; 242.375800; 
2023.10.20_16:31:11:945; 9.091200; 7.642000; 242.419700; 
2023.10.20_16:31:12:045; 8.968200; 7.527200; 242.419700; 
2023.10.20_16:31:12:145; 9.351000; 7.666600; 240.793600; 
2023.10.20_16:31:12:245; 9.137700; 7.655700; 237.124000; 
2023.10.20_16:31:12:345; 9.061100; 7.674800; 237.189900; 
2023.10.20_16:31:12:445; 9.304500; 7.519000; 237.211900; 
2023.10.20_16:31:12:545; 9.099400; 7.776000; 237.167900; 
2023.10.20_16:31:12:645; 9.222500; 7.704900; 235.497900; 
2023.10.20_16:31:12:745; 9.320900; 7.650200; 235.541800; 
2023.10.20_16:31:12:845; 9.662700; 7.762300; 235.497900; 
2023.10.20_16:31:12:945; 9.225200; 7.756900; 235.497900; 
2023.10.20_16:31:13:045; 9.063900; 7.529900; 241.958300; 
2023.10.20_16:31:13:145; 9.402900; 7.587300; 241.958300; 
2023.10.20_16:31:13:245; 9.258000; 7.491600; 241.914300; 
2023.10.20_16:31:13:345; 9.159600; 7.125200; 241.892300; 
2023.10.20_16:31:13:445; 9.361900; 7.133400; 241.474800; 
2023.10.20_16:31:13:545; 9.219700; 7.125200; 241.452900; 
2023.10.20_16:31:13:645; 9.236100; 7.037700; 241.452900; 
2023.10.20_16:31:13:745; 9.140400; 6.936600; 241.430900; 
2023.10.20_16:31:13:845; 9.274400; 6.641300; 242.068100; 
2023.10.20_16:31:13:945; 9.408400; 6.808100; 244.265500; 
2023.10.20_16:31:14:045; 9.509600; 6.750600; 244.155700; 
2023.10.20_16:31:14:145; 9.594300; 6.772500; 244.199600; 
2023.10.20_16:31:14:245; 9.509600; 6.931100; 244.111700; 
2023.10.20_16:31:14:345; 9.545100; 7.171700; 243.518400; 
2023.10.20_16:31:14:445; 9.791200; 6.933800; 243.518400; 
2023.10.20_16:31:14:545; 9.873200; 7.125200; 243.584300; 
2023.10.20_16:31:14:645; 10.127500; 7.169000; 243.562300; 
2023.10.20_16:31:14:745; 10.165800; 7.445200; 246.660700; 
2023.10.20_16:31:14:845; 10.477500; 7.182700; 246.792500; 
2023.10.20_16:31:14:945; 10.472000; 7.415100; 246.814500; 
2023.10.20_16:31:15:045; 10.283400; 7.570900; 246.836500; 
2023.10.20_16:31:15:145; 10.275200; 7.461600; 245.386200; 
2023.10.20_16:31:15:245; 10.370900; 7.319400; 245.276300; 
2023.10.20_16:31:15:345; 10.510300; 7.573700; 245.210400; 
2023.10.20_16:31:15:445; 9.733800; 7.587300; 245.232400; 
2023.10.20_16:31:15:545; 9.747400; 7.620100; 246.133300; 
2023.10.20_16:31:15:645; 9.681800; 7.715800; 246.067400; 
2023.10.20_16:31:15:745; 9.539600; 7.724100; 246.045400; 
2023.10.20_16:31:15:845; 9.640800; 7.636600; 246.023400; 
2023.10.20_16:31:15:945; 9.720100; 7.683000; 243.364600; 
2023.10.20_16:31:16:045; 9.807600; 7.781500; 231.564500; 
2023.10.20_16:31:16:145; 9.717400; 7.663900; 231.147000; 
2023.10.20_16:31:16:245; 9.657200; 7.592800; 230.817400; 
2023.10.20_16:31:16:345; 9.785700; 7.704900; 230.971300; 
2023.10.20_16:31:16:445; 9.569700; 7.956500; 231.740300; 
2023.10.20_16:31:16:545; 9.572400; 7.546300; 231.718400; 
2023.10.20_16:31:16:645; 9.400200; 7.751400; 231.674400; 
2023.10.20_16:31:16:745; 9.222500; 7.590100; 231.674400; 
2023.10.20_16:31:16:845; 9.263500; 7.529900; 232.641300; 
