TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:39:08:745; 0.128728; 9.715248; 8.469161; 0.226459; 236.264532; 
2023.10.20_16:39:09:745; 0.128729; 9.714633; 8.467462; 0.226686; 236.262164; 
2023.10.20_16:39:10:745; 0.128735; 9.714429; 8.464444; 0.227240; 236.257974; 
2023.10.20_16:39:11:745; 0.128781; 9.712627; 8.461690; 0.227470; 236.250427; 
2023.10.20_16:39:12:745; 0.128899; 9.710336; 8.459456; 0.227517; 236.241528; 
2023.10.20_16:39:13:745; 0.129029; 9.707135; 8.455958; 0.227655; 236.248474; 
2023.10.20_16:39:14:745; 0.129001; 9.705501; 8.452303; 0.228091; 236.259277; 
2023.10.20_16:39:15:745; 0.128963; 9.703492; 8.450258; 0.228148; 236.275016; 
2023.10.20_16:39:16:745; 0.128949; 9.700884; 8.447778; 0.228189; 236.286686; 
2023.10.20_16:39:17:745; 0.128965; 9.698883; 8.443633; 0.228658; 236.288047; 
2023.10.20_16:39:18:745; 0.128996; 9.695875; 8.440255; 0.228807; 236.291859; 
2023.10.20_16:39:19:745; 0.129067; 9.692723; 8.436825; 0.228941; 236.300598; 
2023.10.20_16:39:20:745; 0.129017; 9.689218; 8.431518; 0.229382; 236.314827; 
2023.10.20_16:39:21:745; 0.129034; 9.685659; 8.426118; 0.229833; 236.328903; 
2023.10.20_16:39:22:745; 0.129193; 9.682095; 8.420604; 0.230306; 236.339222; 
2023.10.20_16:39:23:745; 0.129389; 9.678608; 8.415326; 0.230746; 236.348652; 
2023.10.20_16:39:24:745; 0.129544; 9.676067; 8.411714; 0.231021; 236.364516; 
2023.10.20_16:39:25:745; 0.129606; 9.673040; 8.407067; 0.231417; 236.373941; 
2023.10.20_16:39:26:745; 0.129596; 9.669028; 8.402681; 0.231593; 236.387192; 
2023.10.20_16:39:27:745; 0.129500; 9.665968; 8.398740; 0.231845; 236.391814; 
2023.10.20_16:39:28:745; 0.129402; 9.662585; 8.393737; 0.232251; 236.390556; 
2023.10.20_16:39:29:745; 0.129236; 9.660130; 8.388083; 0.232943; 236.399132; 
2023.10.20_16:39:30:745; 0.129148; 9.658554; 8.382795; 0.233714; 236.403847; 
2023.10.20_16:39:31:745; 0.129098; 9.657056; 8.375622; 0.234871; 236.406567; 
2023.10.20_16:39:32:745; 0.129072; 9.656077; 8.367864; 0.236232; 236.404762; 
2023.10.20_16:39:33:745; 0.129090; 9.656308; 8.359282; 0.237964; 236.390679; 
2023.10.20_16:39:34:745; 0.129088; 9.656255; 8.351746; 0.239443; 236.373256; 
2023.10.20_16:39:35:745; 0.129119; 9.656572; 8.345062; 0.240819; 236.373030; 
2023.10.20_16:39:36:745; 0.129246; 9.657636; 8.338396; 0.242319; 236.376828; 
2023.10.20_16:39:37:745; 0.129254; 9.657795; 8.332040; 0.243604; 236.377605; 
2023.10.20_16:39:38:745; 0.128972; 9.655589; 8.326535; 0.244317; 236.373372; 
2023.10.20_16:39:39:745; 0.128840; 9.654220; 8.323406; 0.244704; 236.366933; 
2023.10.20_16:39:40:745; 0.128542; 9.651605; 8.322364; 0.244463; 236.383045; 
2023.10.20_16:39:41:745; 0.128291; 9.649162; 8.322107; 0.244097; 236.393483; 
2023.10.20_16:39:42:745; 0.128147; 9.647707; 8.321730; 0.243922; 236.406909; 
2023.10.20_16:39:43:745; 0.128091; 9.647309; 8.321418; 0.243916; 236.414423; 
2023.10.20_16:39:44:745; inf; 58487284343458080922000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; 79185399145807890393400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; -0.499859; 236.470702; 
2023.10.20_16:39:45:745; inf; 58487284343458080922000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; 79185399145807890393400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; -0.499859; 236.548859; 
2023.10.20_16:39:46:745; inf; 58487284343458080922000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; 79185399145807890393400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; -0.499859; 236.627628; 
2023.10.20_16:39:47:745; inf; 58487284343458080922000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; 79185399145807890393400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; -0.499859; 236.695245; 
