TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:30:08:745; 0.685675; 6.876737; 6.056503; 0.209543; 236.902929; 
2023.10.20_16:30:09:745; 0.683062; 6.894672; 6.072132; 0.209589; 236.902024; 
2023.10.20_16:30:10:745; 0.680460; 6.912969; 6.086849; 0.209967; 236.910949; 
2023.10.20_16:30:11:745; 0.677842; 6.930289; 6.101389; 0.210159; 236.905774; 
2023.10.20_16:30:12:745; 0.675233; 6.946355; 6.116484; 0.209903; 236.893859; 
2023.10.20_16:30:13:745; 0.672626; 6.962748; 6.130661; 0.209972; 236.882681; 
2023.10.20_16:30:14:745; 0.670071; 6.981823; 6.143989; 0.210903; 236.859784; 
2023.10.20_16:30:15:745; 0.667557; 7.001860; 6.157230; 0.212079; 236.836837; 
2023.10.20_16:30:16:745; 0.664972; 7.020133; 6.170930; 0.212712; 236.815727; 
2023.10.20_16:30:17:745; 0.662378; 7.038019; 6.184984; 0.213157; 236.793561; 
2023.10.20_16:30:18:745; 0.659779; 7.055516; 6.198324; 0.213699; 236.782914; 
2023.10.20_16:30:19:745; 0.657179; 7.072613; 6.210777; 0.214381; 236.780477; 
2023.10.20_16:30:20:745; 0.654583; 7.089044; 6.223219; 0.214908; 236.778616; 
2023.10.20_16:30:21:745; 0.651988; 7.105657; 6.235760; 0.215448; 236.779778; 
2023.10.20_16:30:22:745; 0.649395; 7.122895; 6.247680; 0.216295; 236.775349; 
2023.10.20_16:30:23:745; 0.646804; 7.140091; 6.260148; 0.216984; 236.773153; 
2023.10.20_16:30:24:745; 0.644220; 7.157779; 6.272000; 0.217945; 236.773356; 
2023.10.20_16:30:25:745; 0.641632; 7.174992; 6.284271; 0.218683; 236.768660; 
2023.10.20_16:30:26:745; 0.639047; 7.191583; 6.295941; 0.219433; 236.766348; 
2023.10.20_16:30:27:745; 0.636467; 7.207661; 6.307057; 0.220207; 236.765059; 
2023.10.20_16:30:28:745; 0.633886; 7.224389; 6.317409; 0.221326; 236.775979; 
2023.10.20_16:30:29:745; 0.631309; 7.242049; 6.328473; 0.222467; 236.790379; 
2023.10.20_16:30:30:745; 0.628730; 7.259342; 6.339856; 0.223437; 236.803878; 
2023.10.20_16:30:31:745; 0.626153; 7.275850; 6.351449; 0.224170; 236.815380; 
2023.10.20_16:30:32:745; 0.623595; 7.291258; 6.362986; 0.224666; 236.825670; 
2023.10.20_16:30:33:745; 0.621049; 7.306323; 6.374803; 0.225011; 236.846578; 
2023.10.20_16:30:34:745; 0.618475; 7.323120; 6.387747; 0.225452; 236.869324; 
2023.10.20_16:30:35:745; 0.615901; 7.339806; 6.399289; 0.226229; 236.870601; 
2023.10.20_16:30:36:745; 0.613342; 7.355442; 6.410344; 0.226892; 236.882355; 
2023.10.20_16:30:37:745; 0.610795; 7.370669; 6.421441; 0.227451; 236.894637; 
2023.10.20_16:30:38:745; 0.608238; 7.386290; 6.433448; 0.227861; 236.906728; 
2023.10.20_16:30:39:745; 0.605698; 7.401331; 6.447431; 0.227636; 236.924228; 
2023.10.20_16:30:40:745; 0.603181; 7.415792; 6.463016; 0.226873; 236.943490; 
2023.10.20_16:30:41:745; 0.600656; 7.430433; 6.478645; 0.226142; 236.974097; 
2023.10.20_16:30:42:745; 0.598093; 7.446553; 6.493816; 0.225859; 236.999992; 
2023.10.20_16:30:43:745; 0.595529; 7.462792; 6.508329; 0.225769; 237.019737; 
2023.10.20_16:30:44:745; 0.592978; 7.478305; 6.521785; 0.225788; 237.040576; 
