TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:30:45:745; 0.590446; 7.493165; 6.536214; 0.225417; 237.054280; 
2023.10.20_16:30:46:745; 0.587909; 7.508266; 6.550228; 0.225205; 237.067523; 
2023.10.20_16:30:47:745; 0.585389; 7.522855; 6.564587; 0.224795; 237.083121; 
2023.10.20_16:30:48:745; 0.582828; 7.539022; 6.578436; 0.224859; 237.082590; 
2023.10.20_16:30:49:745; 0.580267; 7.555162; 6.593135; 0.224706; 237.076160; 
2023.10.20_16:30:50:745; 0.577707; 7.571170; 6.607652; 0.224569; 237.077275; 
2023.10.20_16:30:51:745; 0.575143; 7.588406; 6.622059; 0.224727; 237.076606; 
2023.10.20_16:30:52:745; 0.572579; 7.605516; 6.636458; 0.224859; 237.074337; 
2023.10.20_16:30:53:745; 0.570014; 7.622125; 6.651543; 0.224713; 237.074013; 
2023.10.20_16:30:54:745; 0.567450; 7.639389; 6.667418; 0.224512; 237.070970; 
2023.10.20_16:30:55:745; 0.564885; 7.656193; 6.682711; 0.224357; 237.060156; 
2023.10.20_16:30:56:745; 0.562339; 7.671596; 6.697753; 0.223964; 237.055218; 
2023.10.20_16:30:57:745; 0.559822; 7.686064; 6.711998; 0.223567; 237.053948; 
2023.10.20_16:30:58:745; 0.557285; 7.701054; 6.725683; 0.223421; 237.044371; 
2023.10.20_16:30:59:745; 0.554720; 7.717380; 6.739200; 0.223603; 237.038776; 
2023.10.20_16:31:00:745; 0.552152; 7.734539; 6.752874; 0.223923; 237.030287; 
2023.10.20_16:31:01:745; 0.549582; 7.751428; 6.766210; 0.224266; 237.025869; 
2023.10.20_16:31:02:745; 0.547013; 7.767894; 6.780419; 0.224306; 237.037922; 
2023.10.20_16:31:03:745; 0.544442; 7.784637; 6.794812; 0.224360; 237.041962; 
2023.10.20_16:31:04:745; 0.541872; 7.801103; 6.809038; 0.224396; 237.042944; 
2023.10.20_16:31:05:745; 0.539299; 7.817548; 6.823481; 0.224374; 237.047038; 
2023.10.20_16:31:06:745; 0.536745; 7.832934; 6.837229; 0.224297; 237.052150; 
2023.10.20_16:31:07:745; 0.534219; 7.847434; 6.850689; 0.224104; 237.060840; 
