TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:36:08:745; 0.124721; 9.719333; 8.349429; 0.250643; 236.801144; 
2023.10.20_16:36:09:745; 0.124724; 9.716107; 8.349807; 0.250021; 236.792027; 
2023.10.20_16:36:10:745; 0.124820; 9.713021; 8.349031; 0.249650; 236.777847; 
2023.10.20_16:36:11:745; 0.124938; 9.710250; 8.348159; 0.249352; 236.771706; 
2023.10.20_16:36:12:745; 0.124975; 9.708855; 8.348294; 0.249088; 236.776672; 
2023.10.20_16:36:13:745; 0.125000; 9.708359; 8.348736; 0.248916; 236.781631; 
2023.10.20_16:36:14:745; 0.124978; 9.708758; 8.349171; 0.248898; 236.776145; 
2023.10.20_16:36:15:745; 0.124942; 9.710088; 8.350108; 0.248939; 236.767089; 
2023.10.20_16:36:16:745; 0.124929; 9.711645; 8.350549; 0.249117; 236.752303; 
2023.10.20_16:36:17:745; 0.124938; 9.712618; 8.351338; 0.249126; 236.737576; 
2023.10.20_16:36:18:745; 0.124922; 9.713568; 8.352642; 0.249030; 236.730773; 
2023.10.20_16:36:19:745; 0.124920; 9.714457; 8.355122; 0.248691; 236.716245; 
2023.10.20_16:36:20:745; 0.124902; 9.715935; 8.359239; 0.248129; 236.711099; 
2023.10.20_16:36:21:745; 0.124808; 9.718670; 8.361528; 0.248142; 236.699620; 
2023.10.20_16:36:22:745; 0.124733; 9.720729; 8.363916; 0.248020; 236.697069; 
2023.10.20_16:36:23:745; 0.124720; 9.723192; 8.366147; 0.247998; 236.695317; 
2023.10.20_16:36:24:745; 0.124653; 9.726169; 8.368848; 0.247971; 236.693627; 
2023.10.20_16:36:25:745; 0.124458; 9.729366; 8.370822; 0.248124; 236.683802; 
2023.10.20_16:36:26:745; 0.124247; 9.731896; 8.370125; 0.248690; 236.673129; 
2023.10.20_16:36:27:745; 0.124132; 9.733162; 8.369036; 0.249119; 236.663718; 
2023.10.20_16:36:28:745; 0.124092; 9.733595; 8.367774; 0.249441; 236.662694; 
2023.10.20_16:36:29:745; 0.124185; 9.731407; 8.367943; 0.249037; 236.661333; 
2023.10.20_16:36:30:745; 0.124288; 9.729128; 8.367662; 0.248706; 236.672522; 
2023.10.20_16:36:31:745; 0.124375; 9.727442; 8.367421; 0.248468; 236.692103; 
2023.10.20_16:36:32:745; 0.124472; 9.726209; 8.366785; 0.248384; 236.706759; 
2023.10.20_16:36:33:745; 0.124594; 9.724897; 8.365759; 0.248364; 236.714332; 
2023.10.20_16:36:34:745; 0.124606; 9.724749; 8.365512; 0.248387; 236.721844; 
2023.10.20_16:36:35:745; 0.124689; 9.723570; 8.365858; 0.248119; 236.733091; 
2023.10.20_16:36:36:745; 0.124747; 9.722456; 8.365543; 0.247992; 236.741089; 
2023.10.20_16:36:37:745; 0.124831; 9.721246; 8.364187; 0.248054; 236.750148; 
2023.10.20_16:36:38:745; 0.124921; 9.719004; 8.363466; 0.247816; 236.751317; 
2023.10.20_16:36:39:745; 0.125094; 9.715712; 8.361511; 0.247643; 236.759909; 
2023.10.20_16:36:40:745; 0.125211; 9.713837; 8.359307; 0.247759; 236.769978; 
2023.10.20_16:36:41:745; 0.125269; 9.712951; 8.358057; 0.247856; 236.775647; 
2023.10.20_16:36:42:745; 0.125374; 9.711571; 8.358974; 0.247440; 236.781692; 
2023.10.20_16:36:43:745; 0.125489; 9.710222; 8.359298; 0.247147; 236.783514; 
2023.10.20_16:36:44:745; 0.125682; 9.708242; 8.359478; 0.246775; 236.781975; 
2023.10.20_16:36:45:745; 0.125925; 9.705943; 8.360396; 0.246203; 236.779193; 
2023.10.20_16:36:46:745; 0.126144; 9.703493; 8.361498; 0.245569; 236.776259; 
2023.10.20_16:36:47:745; 0.126349; 9.701014; 8.361412; 0.245165; 236.771347; 
2023.10.20_16:36:48:745; 0.126618; 9.698254; 8.360927; 0.244791; 236.765581; 
2023.10.20_16:36:49:745; 0.126857; 9.696112; 8.360836; 0.244444; 236.752036; 
2023.10.20_16:36:50:745; 0.127137; 9.694043; 8.362167; 0.243830; 236.730245; 
2023.10.20_16:36:51:745; 0.127263; 9.693138; 8.363610; 0.243391; 236.700315; 
2023.10.20_16:36:52:745; 0.127447; 9.691926; 8.365118; 0.242887; 236.680283; 
2023.10.20_16:36:53:745; 0.127672; 9.690646; 8.367775; 0.242146; 236.661844; 
2023.10.20_16:36:54:745; 0.127889; 9.689405; 8.370073; 0.241481; 236.646712; 
2023.10.20_16:36:55:745; 0.128118; 9.687833; 8.372398; 0.240755; 236.630574; 
2023.10.20_16:36:56:745; 0.128333; 9.686086; 8.375231; 0.239900; 236.619468; 
2023.10.20_16:36:57:745; 0.128497; 9.683778; 8.378761; 0.238811; 236.602921; 
2023.10.20_16:36:58:745; 0.128651; 9.681463; 8.382242; 0.237731; 236.591884; 
2023.10.20_16:36:59:745; 0.128777; 9.678403; 8.386129; 0.236445; 236.584844; 
2023.10.20_16:37:00:745; 0.128862; 9.676497; 8.390359; 0.235288; 236.575970; 
2023.10.20_16:37:01:745; 0.128929; 9.674477; 8.394707; 0.234089; 236.568127; 
2023.10.20_16:37:02:745; 0.128963; 9.673465; 8.397503; 0.233367; 236.561830; 
2023.10.20_16:37:03:745; 0.128969; 9.672999; 8.399130; 0.232968; 236.557435; 
2023.10.20_16:37:04:745; 0.128968; 9.672133; 8.400739; 0.232504; 236.562076; 
2023.10.20_16:37:05:745; 0.128960; 9.671877; 8.401502; 0.232311; 236.568137; 
2023.10.20_16:37:06:745; 0.128907; 9.670730; 8.402011; 0.232015; 236.571692; 
2023.10.20_16:37:07:745; 0.128860; 9.669906; 8.402901; 0.231700; 236.568414; 
