TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:28:08:745; 9.758400; 8.599000; 241.936300; 
2023.10.20_16:28:08:845; 9.536900; 8.681100; 241.914300; 
2023.10.20_16:28:08:945; 9.690000; 8.519700; 239.936600; 
2023.10.20_16:28:09:045; 9.594300; 8.877900; 239.914700; 
2023.10.20_16:28:09:145; 9.703700; 8.437700; 239.892700; 
2023.10.20_16:28:09:245; 9.640800; 8.979100; 239.914700; 
2023.10.20_16:28:09:345; 9.454900; 8.626400; 236.772400; 
2023.10.20_16:28:09:445; 9.359200; 9.017400; 236.640500; 
2023.10.20_16:28:09:545; 9.413900; 8.569000; 236.618600; 
2023.10.20_16:28:09:645; 9.238900; 9.121300; 236.596600; 
2023.10.20_16:28:09:745; 9.572400; 8.601800; 233.300500; 
2023.10.20_16:28:09:845; 9.547800; 9.052900; 233.344400; 
2023.10.20_16:28:09:945; 9.271700; 8.648200; 233.388400; 
2023.10.20_16:28:10:045; 9.361900; 9.195100; 233.366400; 
2023.10.20_16:28:10:145; 9.115800; 8.831400; 232.926900; 
2023.10.20_16:28:10:245; 9.285300; 9.356400; 232.970900; 
2023.10.20_16:28:10:345; 8.935300; 8.954500; 232.970900; 
2023.10.20_16:28:10:445; 9.359200; 8.943600; 232.970900; 
2023.10.20_16:28:10:545; 9.176000; 8.839600; 233.981700; 
2023.10.20_16:28:10:645; 8.864300; 8.782200; 233.981700; 
2023.10.20_16:28:10:745; 8.990000; 8.566200; 234.003700; 
2023.10.20_16:28:10:845; 8.719300; 8.549800; 234.003700; 
2023.10.20_16:28:10:945; 8.883400; 8.522500; 234.487100; 
2023.10.20_16:28:11:045; 8.547100; 8.787700; 237.497500; 
2023.10.20_16:28:11:145; 8.519700; 8.366600; 237.343700; 
2023.10.20_16:28:11:245; 8.145100; 8.429500; 237.321700; 
2023.10.20_16:28:11:345; 8.358400; 8.221700; 237.321700; 
2023.10.20_16:28:11:445; 8.667400; 8.445900; 231.938100; 
2023.10.20_16:28:11:545; 8.188900; 8.298300; 231.586500; 
2023.10.20_16:28:11:645; 8.227200; 8.385800; 231.366800; 
2023.10.20_16:28:11:745; 8.120500; 8.497900; 231.454700; 
2023.10.20_16:28:11:845; 8.221700; 8.552500; 229.455000; 
2023.10.20_16:28:11:945; 8.120500; 8.538900; 229.630800; 
2023.10.20_16:28:12:045; 8.199800; 8.752200; 229.630800; 
2023.10.20_16:28:12:145; 8.262700; 8.700200; 229.674800; 
2023.10.20_16:28:12:245; 8.030300; 8.689300; 231.454700; 
2023.10.20_16:28:12:345; 8.087700; 8.456800; 231.256900; 
2023.10.20_16:28:12:445; 8.046700; 8.456800; 231.213000; 
2023.10.20_16:28:12:545; 7.901800; 8.396700; 231.191000; 
2023.10.20_16:28:12:645; 8.068600; 8.210800; 232.201800; 
2023.10.20_16:28:12:745; 7.847100; 8.295500; 232.597300; 
2023.10.20_16:28:12:845; 8.035800; 8.257200; 232.619300; 
2023.10.20_16:28:12:945; 8.186100; 8.295500; 232.619300; 
2023.10.20_16:28:13:045; 8.054900; 8.407600; 232.707200; 
2023.10.20_16:28:13:145; 8.074000; 8.076800; 233.542200; 
2023.10.20_16:28:13:245; 8.188900; 8.394000; 233.542200; 
2023.10.20_16:28:13:345; 8.054900; 8.530700; 233.542200; 
2023.10.20_16:28:13:445; 8.306500; 8.087700; 233.564200; 
2023.10.20_16:28:13:545; 8.437700; 8.117800; 233.586200; 
2023.10.20_16:28:13:645; 8.451400; 8.142400; 233.608100; 
2023.10.20_16:28:13:745; 8.440400; 8.268200; 233.608100; 
2023.10.20_16:28:13:845; 8.702900; 8.057600; 233.608100; 
2023.10.20_16:28:13:945; 8.588100; 8.344700; 233.871800; 
2023.10.20_16:28:14:045; 8.689300; 8.177900; 233.871800; 
2023.10.20_16:28:14:145; 8.645500; 8.246300; 233.893800; 
2023.10.20_16:28:14:245; 8.582600; 8.268200; 233.893800; 
2023.10.20_16:28:14:345; 8.697500; 8.199800; 230.356000; 
2023.10.20_16:28:14:445; 8.727500; 8.221700; 230.685600; 
2023.10.20_16:28:14:545; 8.607200; 8.145100; 230.685600; 
2023.10.20_16:28:14:645; 8.798600; 8.112300; 230.685600; 
2023.10.20_16:28:14:745; 8.681100; 8.041200; 233.124700; 
2023.10.20_16:28:14:845; 8.949000; 7.929100; 236.398800; 
2023.10.20_16:28:14:945; 8.845100; 8.003000; 236.442800; 
2023.10.20_16:28:15:045; 8.858800; 7.896300; 236.464800; 
2023.10.20_16:28:15:145; 8.681100; 8.049400; 236.091200; 
2023.10.20_16:28:15:245; 9.088500; 8.235400; 235.102400; 
2023.10.20_16:28:15:345; 9.044700; 8.049400; 235.124300; 
2023.10.20_16:28:15:445; 8.960000; 8.172500; 235.124300; 
2023.10.20_16:28:15:545; 8.872500; 7.994700; 235.080400; 
2023.10.20_16:28:15:645; 8.905300; 8.076800; 233.322500; 
2023.10.20_16:28:15:745; 9.080300; 8.131500; 233.300500; 
2023.10.20_16:28:15:845; 8.908000; 8.112300; 233.322500; 
2023.10.20_16:28:15:945; 9.028300; 8.268200; 233.344400; 
2023.10.20_16:28:16:045; 9.140400; 8.336500; 235.541800; 
2023.10.20_16:28:16:145; 9.165000; 8.126000; 235.585800; 
2023.10.20_16:28:16:245; 9.096700; 8.448600; 235.607800; 
2023.10.20_16:28:16:345; 9.413900; 8.290100; 235.607800; 
2023.10.20_16:28:16:445; 9.189600; 8.547100; 236.223000; 
2023.10.20_16:28:16:545; 9.050200; 8.172500; 236.289000; 
2023.10.20_16:28:16:645; 9.184200; 8.383000; 236.245000; 
2023.10.20_16:28:16:745; 8.880700; 8.642800; 236.245000; 
2023.10.20_16:28:16:845; 9.236100; 8.328300; 236.442800; 
2023.10.20_16:28:16:945; 8.995500; 8.648200; 236.508700; 
2023.10.20_16:28:17:045; 8.987300; 8.281900; 236.486700; 
2023.10.20_16:28:17:145; 8.798600; 8.435000; 236.486700; 
2023.10.20_16:28:17:245; 8.856100; 8.268200; 236.354900; 
2023.10.20_16:28:17:345; 8.607200; 8.618200; 235.497900; 
2023.10.20_16:28:17:445; 8.741200; 8.366600; 235.563800; 
2023.10.20_16:28:17:545; 8.738500; 8.574400; 235.585800; 
2023.10.20_16:28:17:645; 8.894300; 8.500600; 235.607800; 
2023.10.20_16:28:17:745; 8.752200; 8.571700; 236.882300; 
2023.10.20_16:28:17:845; 8.883400; 8.445900; 236.970200; 
2023.10.20_16:28:17:945; 9.165000; 8.590800; 236.992100; 
2023.10.20_16:28:18:045; 8.990000; 8.645500; 237.014100; 
2023.10.20_16:28:18:145; 9.258000; 8.536100; 235.234200; 
2023.10.20_16:28:18:245; 9.143200; 8.577200; 235.124300; 
2023.10.20_16:28:18:345; 9.433000; 8.260000; 235.102400; 
2023.10.20_16:28:18:445; 9.490400; 8.281900; 235.058400; 
2023.10.20_16:28:18:545; 9.627100; 8.355700; 235.563800; 
2023.10.20_16:28:18:645; 9.917000; 8.273600; 235.585800; 
2023.10.20_16:28:18:745; 9.960700; 8.210800; 235.585800; 
2023.10.20_16:28:18:845; 9.968900; 7.918200; 235.585800; 
2023.10.20_16:28:18:945; 9.922400; 8.068600; 233.520200; 
2023.10.20_16:28:19:045; 10.083800; 8.085000; 233.740000; 
2023.10.20_16:28:19:145; 10.100200; 7.879900; 233.783900; 
2023.10.20_16:28:19:245; 9.780200; 7.929100; 233.805900; 
2023.10.20_16:28:19:345; 10.081000; 7.562700; 234.377200; 
2023.10.20_16:28:19:445; 10.135700; 7.453400; 234.509100; 
2023.10.20_16:28:19:545; 9.952500; 7.352200; 234.531000; 
2023.10.20_16:28:19:645; 9.851300; 7.193600; 234.553000; 
2023.10.20_16:28:19:745; 9.536900; 6.914700; 234.553000; 
2023.10.20_16:28:19:845; 9.359200; 7.062400; 234.926600; 
2023.10.20_16:28:19:945; 9.107600; 7.253800; 234.926600; 
2023.10.20_16:28:20:045; 9.151400; 7.081500; 234.904600; 
2023.10.20_16:28:20:145; 9.140400; 7.021300; 234.904600; 
2023.10.20_16:28:20:245; 9.252500; 6.791700; 233.168700; 
2023.10.20_16:28:20:345; 9.001000; 7.035000; 233.080700; 
2023.10.20_16:28:20:445; 9.268900; 6.966600; 233.014800; 
2023.10.20_16:28:20:545; 9.340000; 6.936600; 233.036800; 
2023.10.20_16:28:20:645; 9.452100; 7.002200; 234.662900; 
2023.10.20_16:28:20:745; 9.386500; 6.827200; 234.487100; 
2023.10.20_16:28:20:845; 9.296300; 6.917400; 234.465100; 
2023.10.20_16:28:20:945; 9.536900; 6.966600; 234.443100; 
2023.10.20_16:28:21:045; 9.829500; 6.942000; 236.398800; 
2023.10.20_16:28:21:145; 9.490400; 6.892800; 236.201100; 
2023.10.20_16:28:21:245; 9.840400; 6.928400; 236.201100; 
2023.10.20_16:28:21:345; 9.791200; 6.696000; 236.179100; 
2023.10.20_16:28:21:445; 9.761100; 6.761600; 234.794700; 
2023.10.20_16:28:21:545; 10.362700; 6.843600; 233.454300; 
2023.10.20_16:28:21:645; 9.884200; 7.081500; 233.388400; 
2023.10.20_16:28:21:745; 9.616200; 7.237300; 233.388400; 
2023.10.20_16:28:21:845; 9.597000; 6.947500; 231.784300; 
2023.10.20_16:28:21:945; 9.752900; 6.854500; 228.751900; 
2023.10.20_16:28:22:045; 9.785700; 6.860000; 228.795800; 
2023.10.20_16:28:22:145; 9.662700; 6.816300; 228.773800; 
2023.10.20_16:28:22:245; 10.034500; 6.715100; 228.905700; 
2023.10.20_16:28:22:345; 10.127500; 6.728800; 234.728800; 
2023.10.20_16:28:22:445; 10.324400; 6.868200; 234.662900; 
2023.10.20_16:28:22:545; 10.264200; 6.783500; 234.597000; 
2023.10.20_16:28:22:645; 10.329800; 6.772500; 234.597000; 
2023.10.20_16:28:22:745; 10.253300; 6.788900; 232.135900; 
2023.10.20_16:28:22:845; 10.020900; 6.802600; 232.069900; 
2023.10.20_16:28:22:945; 9.982600; 6.895600; 232.091900; 
2023.10.20_16:28:23:045; 10.042700; 7.081500; 232.113900; 
2023.10.20_16:28:23:145; 10.231400; 6.898300; 235.563800; 
2023.10.20_16:28:23:245; 10.146600; 6.985800; 235.695700; 
2023.10.20_16:28:23:345; 10.485700; 6.961200; 235.651700; 
2023.10.20_16:28:23:445; 10.701700; 7.106100; 235.673700; 
2023.10.20_16:28:23:545; 10.524000; 7.330300; 235.695700; 
2023.10.20_16:28:23:645; 10.373600; 6.895600; 235.673700; 
2023.10.20_16:28:23:745; 10.625100; 6.983100; 235.717600; 
2023.10.20_16:28:23:845; 10.589600; 6.942000; 235.673700; 
2023.10.20_16:28:23:945; 10.843900; 7.092400; 235.366000; 
2023.10.20_16:28:24:045; 10.794700; 7.251000; 233.498300; 
