TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:38:08:745; 0.128529; 9.744954; 8.451593; 0.234922; 236.358622; 
2023.10.20_16:38:09:745; 0.128606; 9.743687; 8.450550; 0.234911; 236.339249; 
2023.10.20_16:38:10:745; 0.128642; 9.743145; 8.448080; 0.235302; 236.335362; 
2023.10.20_16:38:11:745; 0.128545; 9.744369; 8.447068; 0.235706; 236.335214; 
2023.10.20_16:38:12:745; 0.128325; 9.747161; 8.447131; 0.236167; 236.350602; 
2023.10.20_16:38:13:745; 0.128196; 9.748360; 8.448130; 0.236175; 236.351002; 
2023.10.20_16:38:14:745; 0.128246; 9.747937; 8.449921; 0.235753; 236.347458; 
2023.10.20_16:38:15:745; 0.128205; 9.748575; 8.450912; 0.235668; 236.340164; 
2023.10.20_16:38:16:745; 0.128244; 9.748097; 8.451519; 0.235468; 236.341748; 
2023.10.20_16:38:17:745; 0.128406; 9.746726; 8.451598; 0.235221; 236.340245; 
2023.10.20_16:38:18:745; 0.128477; 9.745833; 8.451623; 0.235065; 236.337144; 
2023.10.20_16:38:19:745; 0.128491; 9.744951; 8.452939; 0.234659; 236.332166; 
2023.10.20_16:38:20:745; 0.128484; 9.745250; 8.455383; 0.234233; 236.325458; 
2023.10.20_16:38:21:745; 0.128545; 9.743893; 8.457320; 0.233625; 236.320190; 
2023.10.20_16:38:22:745; 0.128605; 9.742183; 8.459828; 0.232846; 236.323757; 
2023.10.20_16:38:23:745; 0.128630; 9.740348; 8.461758; 0.232159; 236.325626; 
2023.10.20_16:38:24:745; 0.128626; 9.737778; 8.463426; 0.231398; 236.328703; 
2023.10.20_16:38:25:745; 0.128658; 9.735658; 8.465720; 0.230592; 236.332095; 
2023.10.20_16:38:26:745; 0.128650; 9.733244; 8.469072; 0.229530; 236.334835; 
2023.10.20_16:38:27:745; 0.128692; 9.731812; 8.472374; 0.228644; 236.339519; 
2023.10.20_16:38:28:745; 0.128714; 9.731310; 8.475597; 0.227931; 236.343790; 
2023.10.20_16:38:29:745; 0.128727; 9.732810; 8.477395; 0.227836; 236.338397; 
2023.10.20_16:38:30:745; 0.128726; 9.734216; 8.479989; 0.227569; 236.321044; 
2023.10.20_16:38:31:745; 0.128653; 9.735971; 8.481813; 0.227512; 236.314035; 
2023.10.20_16:38:32:745; 0.128607; 9.736990; 8.482386; 0.227573; 236.312647; 
2023.10.20_16:38:33:745; 0.128573; 9.737780; 8.483268; 0.227535; 236.312953; 
2023.10.20_16:38:34:745; 0.128488; 9.738948; 8.484343; 0.227524; 236.314126; 
2023.10.20_16:38:35:745; 0.128340; 9.740657; 8.484727; 0.227739; 236.312108; 
2023.10.20_16:38:36:745; 0.128303; 9.741383; 8.485042; 0.227801; 236.304907; 
2023.10.20_16:38:37:745; 0.128296; 9.741728; 8.484896; 0.227888; 236.298136; 
2023.10.20_16:38:38:745; 0.128285; 9.741259; 8.485000; 0.227788; 236.282736; 
2023.10.20_16:38:39:745; 0.128270; 9.740295; 8.486490; 0.227335; 236.262516; 
2023.10.20_16:38:40:745; 0.128305; 9.739047; 8.488726; 0.226689; 236.240869; 
2023.10.20_16:38:41:745; 0.128401; 9.736497; 8.489269; 0.226152; 236.221073; 
2023.10.20_16:38:42:745; 0.128424; 9.735553; 8.488978; 0.226048; 236.204733; 
2023.10.20_16:38:43:745; 0.128418; 9.735597; 8.489741; 0.225907; 236.193424; 
2023.10.20_16:38:44:745; 0.128380; 9.734472; 8.491108; 0.225451; 236.183379; 
2023.10.20_16:38:45:745; 0.128366; 9.733484; 8.492164; 0.225078; 236.172867; 
2023.10.20_16:38:46:745; 0.128373; 9.733084; 8.494548; 0.224547; 236.165969; 
2023.10.20_16:38:47:745; 0.128368; 9.733985; 8.495287; 0.224557; 236.162396; 
2023.10.20_16:38:48:745; 0.128368; 9.735039; 8.496111; 0.224575; 236.159554; 
2023.10.20_16:38:49:745; 0.128345; 9.733686; 8.495762; 0.224414; 236.153818; 
2023.10.20_16:38:50:745; 0.128304; 9.732558; 8.494647; 0.224439; 236.162233; 
2023.10.20_16:38:51:745; 0.128279; 9.732223; 8.495925; 0.224134; 236.166445; 
2023.10.20_16:38:52:745; 0.128308; 9.732531; 8.498072; 0.223770; 236.180716; 
2023.10.20_16:38:53:745; 0.128375; 9.733603; 8.499730; 0.223629; 236.187001; 
2023.10.20_16:38:54:745; 0.128316; 9.732766; 8.499214; 0.223588; 236.190410; 
2023.10.20_16:38:55:745; 0.128285; 9.732251; 8.495525; 0.224216; 236.199832; 
2023.10.20_16:38:56:745; 0.128296; 9.729844; 8.492780; 0.224342; 236.211431; 
2023.10.20_16:38:57:745; 0.128428; 9.726716; 8.489498; 0.224449; 236.230032; 
2023.10.20_16:38:58:745; 0.128494; 9.724627; 8.485494; 0.224873; 236.241590; 
2023.10.20_16:38:59:745; 0.128535; 9.722881; 8.482486; 0.225162; 236.247830; 
2023.10.20_16:39:00:745; 0.128545; 9.721156; 8.481279; 0.225104; 236.253368; 
2023.10.20_16:39:01:745; 0.128551; 9.721513; 8.479396; 0.225530; 236.255085; 
2023.10.20_16:39:02:745; 0.128572; 9.720575; 8.476793; 0.225878; 236.253823; 
2023.10.20_16:39:03:745; 0.128579; 9.719668; 8.474095; 0.226249; 236.252424; 
2023.10.20_16:39:04:745; 0.128561; 9.718319; 8.472075; 0.226413; 236.247933; 
2023.10.20_16:39:05:745; 0.128564; 9.717401; 8.471292; 0.226410; 236.246142; 
2023.10.20_16:39:06:745; 0.128586; 9.717175; 8.471232; 0.226383; 236.255646; 
2023.10.20_16:39:07:745; 0.128723; 9.715263; 8.470002; 0.226298; 236.264288; 
