TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:28:08:745; 1.036889; 4.812014; 4.288320; 0.190091; 237.209756; 
2023.10.20_16:28:09:745; 1.033442; 4.827912; 4.302891; 0.189936; 237.215886; 
2023.10.20_16:28:10:745; 1.030020; 4.843327; 4.317759; 0.189505; 237.202694; 
2023.10.20_16:28:11:745; 1.026665; 4.857535; 4.331854; 0.188960; 237.194207; 
2023.10.20_16:28:12:745; 1.023367; 4.871045; 4.346063; 0.188140; 237.172451; 
2023.10.20_16:28:13:745; 1.020072; 4.884651; 4.359831; 0.187523; 237.159110; 
2023.10.20_16:28:14:745; 1.016736; 4.899064; 4.373504; 0.187218; 237.143607; 
2023.10.20_16:28:15:745; 1.013392; 4.913879; 4.386912; 0.187149; 237.137225; 
2023.10.20_16:28:16:745; 1.010043; 4.929088; 4.400715; 0.187065; 237.130483; 
2023.10.20_16:28:17:745; 1.006722; 4.943877; 4.414825; 0.186727; 237.126999; 
2023.10.20_16:28:18:745; 1.003391; 4.959321; 4.428915; 0.186615; 237.123125; 
2023.10.20_16:28:19:745; 1.000053; 4.975960; 4.441857; 0.187327; 237.114170; 
2023.10.20_16:28:20:745; 0.996742; 4.991395; 4.453535; 0.188105; 237.104354; 
2023.10.20_16:28:21:745; 0.993429; 5.007592; 4.465011; 0.189204; 237.097485; 
2023.10.20_16:28:22:745; 0.990126; 5.024174; 4.476442; 0.190440; 237.080595; 
2023.10.20_16:28:23:745; 0.986836; 5.041301; 4.488066; 0.191776; 237.071371; 
2023.10.20_16:28:24:745; 0.983570; 5.059119; 4.499810; 0.193285; 237.062558; 
2023.10.20_16:28:25:745; 0.980302; 5.076346; 4.510500; 0.194979; 237.051263; 
2023.10.20_16:28:26:745; 0.977055; 5.094119; 4.520699; 0.197019; 237.040713; 
2023.10.20_16:28:27:745; 0.973805; 5.110664; 4.531762; 0.198336; 237.033539; 
2023.10.20_16:28:28:745; 0.970566; 5.126777; 4.543116; 0.199401; 237.035527; 
2023.10.20_16:28:29:745; 0.967339; 5.142648; 4.554907; 0.200224; 237.053111; 
2023.10.20_16:28:30:745; 0.964126; 5.158392; 4.566287; 0.201150; 237.085168; 
2023.10.20_16:28:31:745; 0.960953; 5.173145; 4.578310; 0.201524; 237.093475; 
2023.10.20_16:28:32:745; 0.957778; 5.188174; 4.590574; 0.201897; 237.100535; 
2023.10.20_16:28:33:745; 0.954610; 5.203276; 4.602033; 0.202579; 237.105064; 
2023.10.20_16:28:34:745; 0.951481; 5.217672; 4.614333; 0.202734; 237.105454; 
2023.10.20_16:28:35:745; 0.948390; 5.231552; 4.627210; 0.202519; 237.104806; 
2023.10.20_16:28:36:745; 0.945247; 5.246815; 4.640755; 0.202503; 237.108890; 
2023.10.20_16:28:37:745; 0.942097; 5.262743; 4.654577; 0.202597; 237.108220; 
2023.10.20_16:28:38:745; 0.938955; 5.279814; 4.668221; 0.203111; 237.106278; 
2023.10.20_16:28:39:745; 0.935825; 5.297011; 4.680714; 0.204066; 237.105064; 
2023.10.20_16:28:40:745; 0.932697; 5.313639; 4.692724; 0.205010; 237.105055; 
2023.10.20_16:28:41:745; 0.929582; 5.330616; 4.706106; 0.205575; 237.108925; 
2023.10.20_16:28:42:745; 0.926477; 5.346925; 4.719622; 0.205883; 237.114240; 
2023.10.20_16:28:43:745; 0.923383; 5.363094; 4.732208; 0.206471; 237.114477; 
2023.10.20_16:28:44:745; 0.920306; 5.380809; 4.744477; 0.207639; 237.113071; 
2023.10.20_16:28:45:745; 0.917228; 5.398066; 4.757228; 0.208494; 237.117691; 
2023.10.20_16:28:46:745; 0.914153; 5.414366; 4.769456; 0.209233; 237.121029; 
2023.10.20_16:28:47:745; 0.911092; 5.430187; 4.782578; 0.209514; 237.129027; 
2023.10.20_16:28:48:745; 0.908038; 5.446188; 4.795254; 0.210001; 237.135285; 
2023.10.20_16:28:49:745; 0.904999; 5.463660; 4.808460; 0.210748; 237.139204; 
2023.10.20_16:28:50:745; 0.901976; 5.481547; 4.821955; 0.211517; 237.139946; 
2023.10.20_16:28:51:745; 0.898968; 5.499602; 4.833843; 0.212880; 237.146808; 
2023.10.20_16:28:52:745; 0.895952; 5.517142; 4.845772; 0.214067; 237.154647; 
2023.10.20_16:28:53:745; 0.892938; 5.534331; 4.858080; 0.215014; 237.154763; 
2023.10.20_16:28:54:745; 0.889963; 5.552654; 4.871683; 0.215853; 237.160640; 
2023.10.20_16:28:55:745; 0.886983; 5.570704; 4.887769; 0.215769; 237.156015; 
2023.10.20_16:28:56:745; 0.884004; 5.588484; 4.904461; 0.215402; 237.147265; 
2023.10.20_16:28:57:745; 0.881021; 5.605656; 4.921687; 0.214679; 237.134097; 
2023.10.20_16:28:58:745; 0.878043; 5.622520; 4.938452; 0.214025; 237.119798; 
2023.10.20_16:28:59:745; 0.875072; 5.639392; 4.954455; 0.213630; 237.111716; 
2023.10.20_16:29:00:745; 0.872111; 5.656617; 4.970163; 0.213439; 237.103895; 
2023.10.20_16:29:01:745; 0.869154; 5.673094; 4.985434; 0.213177; 237.090109; 
2023.10.20_16:29:02:745; 0.866203; 5.689624; 5.000585; 0.212971; 237.074473; 
2023.10.20_16:29:03:745; 0.863261; 5.706320; 5.015520; 0.212885; 237.057359; 
2023.10.20_16:29:04:745; 0.860332; 5.723719; 5.030833; 0.212878; 237.053911; 
2023.10.20_16:29:05:745; 0.857406; 5.740437; 5.045828; 0.212780; 237.047944; 
2023.10.20_16:29:06:745; 0.854494; 5.756051; 5.060509; 0.212468; 237.028760; 
2023.10.20_16:29:07:745; 0.851584; 5.771989; 5.076252; 0.211906; 237.020558; 
