TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:24:17:645; 8.612700; 7.893600; 235.915400; 
2023.10.20_16:24:17:745; 8.894300; 7.789700; 235.893400; 
2023.10.20_16:24:17:845; 8.809600; 8.254500; 229.630800; 
2023.10.20_16:24:17:945; 8.809600; 8.254500; 229.630800; 
2023.10.20_16:24:18:045; 8.672900; 8.847900; 230.202200; 
2023.10.20_16:24:18:145; 8.385800; 9.022800; 230.378000; 
2023.10.20_16:24:18:245; 8.760400; 9.186900; 233.849800; 
2023.10.20_16:24:18:345; 8.809600; 8.804100; 233.893800; 
2023.10.20_16:24:18:445; 8.949000; 9.151400; 233.871800; 
2023.10.20_16:24:18:545; 8.867000; 9.206000; 233.871800; 
2023.10.20_16:24:18:645; 8.806800; 9.173200; 237.431600; 
2023.10.20_16:24:18:745; 8.497900; 9.545100; 237.629400; 
2023.10.20_16:24:18:845; 8.440400; 9.334600; 237.695300; 
2023.10.20_16:24:18:945; 8.188900; 9.558800; 237.717300; 
2023.10.20_16:24:19:045; 8.339300; 9.498600; 233.432300; 
2023.10.20_16:24:19:145; 8.692000; 9.433000; 233.893800; 
2023.10.20_16:24:19:245; 8.205300; 9.063900; 234.047600; 
2023.10.20_16:24:19:345; 8.205300; 9.063900; 234.047600; 
2023.10.20_16:24:19:445; 8.177900; 8.984600; 233.959700; 
2023.10.20_16:24:19:545; 8.377500; 9.430300; 237.409600; 
2023.10.20_16:24:19:645; 8.279100; 9.430300; 237.255800; 
2023.10.20_16:24:19:745; 8.320100; 9.247100; 237.277800; 
2023.10.20_16:24:19:845; 8.134200; 9.621700; 237.233800; 
2023.10.20_16:24:19:945; 8.238100; 9.668100; 234.047600; 
2023.10.20_16:24:20:045; 8.301000; 9.569700; 234.025600; 
2023.10.20_16:24:20:145; 8.533400; 9.635300; 234.047600; 
2023.10.20_16:24:20:245; 8.861500; 10.338000; 234.025600; 
2023.10.20_16:24:20:345; 8.861500; 10.338000; 234.025600; 
2023.10.20_16:24:20:445; 8.823200; 10.119300; 224.708700; 
2023.10.20_16:24:20:545; 8.899800; 9.985300; 224.972400; 
2023.10.20_16:24:20:645; 8.894300; 9.944300; 224.994300; 
2023.10.20_16:24:20:745; 8.894300; 10.108400; 225.675500; 
2023.10.20_16:24:20:845; 8.809600; 10.261500; 226.005100; 
2023.10.20_16:24:20:945; 8.790400; 10.474800; 225.983200; 
2023.10.20_16:24:21:045; 8.604500; 10.608700; 225.983200; 
2023.10.20_16:24:21:145; 8.465000; 10.608700; 230.619700; 
2023.10.20_16:24:21:245; 8.637300; 10.433700; 230.509800; 
2023.10.20_16:24:21:345; 8.599000; 10.089200; 230.531800; 
2023.10.20_16:24:21:445; 8.659200; 10.171300; 230.443900; 
2023.10.20_16:24:21:545; 8.470500; 10.275200; 236.420800; 
2023.10.20_16:24:21:645; 8.749400; 10.163100; 235.629700; 
2023.10.20_16:24:21:745; 8.552500; 9.977100; 236.025300; 
2023.10.20_16:24:21:845; 9.052900; 9.586100; 236.091200; 
2023.10.20_16:24:21:945; 8.891600; 9.638100; 236.135100; 
2023.10.20_16:24:22:045; 9.383800; 9.331800; 235.124300; 
2023.10.20_16:24:22:145; 9.493100; 9.673600; 235.146300; 
2023.10.20_16:24:22:245; 9.750200; 9.206000; 235.146300; 
2023.10.20_16:24:22:345; 9.323600; 9.542400; 235.146300; 
2023.10.20_16:24:22:445; 9.244300; 9.536900; 226.972000; 
2023.10.20_16:24:22:545; 9.411100; 9.515000; 226.093000; 
2023.10.20_16:24:22:645; 9.110300; 9.599800; 226.246800; 
2023.10.20_16:24:22:745; 9.047500; 9.356400; 226.312800; 
2023.10.20_16:24:22:845; 9.252500; 9.274400; 226.115000; 
2023.10.20_16:24:22:945; 9.151400; 9.553300; 226.137000; 
2023.10.20_16:24:23:045; 9.290800; 9.824000; 226.137000; 
2023.10.20_16:24:23:145; 9.031000; 9.433000; 226.115000; 
2023.10.20_16:24:23:245; 8.886100; 9.561500; 226.246800; 
2023.10.20_16:24:23:345; 8.888900; 9.247100; 230.707600; 
2023.10.20_16:24:23:445; 8.763100; 9.203300; 230.883400; 
2023.10.20_16:24:23:545; 8.700200; 9.260700; 230.861400; 
2023.10.20_16:24:23:645; 8.722100; 9.526000; 230.509800; 
2023.10.20_16:24:23:745; 8.415800; 9.433000; 229.411100; 
2023.10.20_16:24:23:845; 8.489700; 9.326400; 229.301200; 
2023.10.20_16:24:23:945; 8.886100; 9.351000; 229.367100; 
2023.10.20_16:24:24:045; 8.757600; 9.930600; 232.223800; 
2023.10.20_16:24:24:145; 8.743900; 9.878700; 233.630100; 
2023.10.20_16:24:24:245; 8.861500; 10.072800; 233.388400; 
2023.10.20_16:24:24:345; 8.856100; 10.217700; 233.454300; 
2023.10.20_16:24:24:445; 8.918900; 10.031800; 232.751100; 
2023.10.20_16:24:24:545; 8.990000; 10.094700; 227.323600; 
2023.10.20_16:24:24:645; 8.962700; 10.138400; 227.169800; 
2023.10.20_16:24:24:745; 9.211500; 10.092000; 227.323600; 
2023.10.20_16:24:24:845; 9.140400; 10.187700; 227.257600; 
2023.10.20_16:24:24:945; 9.241600; 9.884200; 228.927700; 
2023.10.20_16:24:25:045; 9.282600; 9.906000; 229.059500; 
2023.10.20_16:24:25:145; 9.132200; 9.870500; 229.103500; 
2023.10.20_16:24:25:245; 9.219700; 9.397400; 229.125400; 
2023.10.20_16:24:25:345; 9.279900; 9.545100; 227.257600; 
2023.10.20_16:24:25:445; 9.288100; 9.591600; 227.543300; 
2023.10.20_16:24:25:545; 9.137700; 9.340000; 227.521300; 
2023.10.20_16:24:25:645; 9.230700; 9.304500; 227.499400; 
2023.10.20_16:24:25:745; 9.230700; 9.225200; 227.477400; 
2023.10.20_16:24:25:845; 9.126700; 9.074800; 234.553000; 
