TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:30:08:745; 10.644300; 9.285300; 236.135100; 
2023.10.20_16:30:08:845; 10.513000; 9.646300; 234.794700; 
2023.10.20_16:30:08:945; 10.433700; 9.498600; 234.838700; 
2023.10.20_16:30:09:045; 10.794700; 9.247100; 234.794700; 
2023.10.20_16:30:09:145; 10.745500; 9.517800; 234.772800; 
2023.10.20_16:30:09:245; 10.573200; 9.353700; 235.783600; 
2023.10.20_16:30:09:345; 10.688000; 9.364600; 238.530300; 
2023.10.20_16:30:09:445; 10.770100; 9.586100; 238.464400; 
2023.10.20_16:30:09:545; 11.122800; 9.227900; 238.420400; 
2023.10.20_16:30:09:645; 11.325100; 9.047500; 238.750000; 
2023.10.20_16:30:09:745; 11.084500; 9.140400; 240.332200; 
2023.10.20_16:30:09:845; 11.377100; 8.899800; 240.244300; 
2023.10.20_16:30:09:945; 11.005200; 8.779500; 240.244300; 
2023.10.20_16:30:10:045; 11.098200; 8.686500; 240.244300; 
2023.10.20_16:30:10:145; 11.234900; 8.752200; 241.958300; 
2023.10.20_16:30:10:245; 10.898600; 8.853300; 242.002200; 
2023.10.20_16:30:10:345; 10.906800; 9.074800; 242.046100; 
2023.10.20_16:30:10:445; 10.884900; 8.771300; 242.046100; 
2023.10.20_16:30:10:545; 10.707200; 8.858800; 238.574200; 
2023.10.20_16:30:10:645; 10.586900; 8.489700; 238.376500; 
2023.10.20_16:30:10:745; 10.493900; 8.653700; 238.376500; 
2023.10.20_16:30:10:845; 10.275200; 8.517000; 238.332500; 
2023.10.20_16:30:10:945; 10.346200; 8.683800; 235.739600; 
2023.10.20_16:30:11:045; 10.141200; 8.462300; 235.849500; 
2023.10.20_16:30:11:145; 10.688000; 8.599000; 235.871400; 
2023.10.20_16:30:11:245; 10.332600; 8.610000; 235.893400; 
2023.10.20_16:30:11:345; 10.513000; 8.823200; 232.377600; 
2023.10.20_16:30:11:445; 10.329800; 8.872500; 231.806300; 
2023.10.20_16:30:11:545; 10.242300; 9.126700; 231.674400; 
2023.10.20_16:30:11:645; 10.554100; 8.888900; 231.652500; 
2023.10.20_16:30:11:745; 10.373600; 9.260700; 231.410700; 
2023.10.20_16:30:11:845; 10.007200; 8.984600; 228.400300; 
2023.10.20_16:30:11:945; 9.736500; 9.063900; 228.510200; 
2023.10.20_16:30:12:045; 9.692800; 8.888900; 228.554100; 
2023.10.20_16:30:12:145; 9.629900; 9.402900; 228.554100; 
2023.10.20_16:30:12:245; 9.422100; 9.063900; 234.575000; 
2023.10.20_16:30:12:345; 9.539600; 9.288100; 234.926600; 
2023.10.20_16:30:12:445; 9.186900; 8.973600; 235.036400; 
2023.10.20_16:30:12:545; 9.676300; 8.902500; 235.102400; 
2023.10.20_16:30:12:645; 9.135000; 8.738500; 234.201400; 
2023.10.20_16:30:12:745; 9.258000; 8.489700; 234.311300; 
2023.10.20_16:30:12:845; 9.542400; 8.705700; 234.311300; 
2023.10.20_16:30:12:945; 9.206000; 8.577200; 234.289300; 
2023.10.20_16:30:13:045; 9.441200; 8.497900; 232.421500; 
2023.10.20_16:30:13:145; 9.900600; 8.842400; 232.597300; 
2023.10.20_16:30:13:245; 9.810300; 8.369300; 232.663300; 
2023.10.20_16:30:13:345; 9.914200; 8.681100; 232.641300; 
2023.10.20_16:30:13:445; 10.565000; 8.374800; 229.389100; 
2023.10.20_16:30:13:545; 10.403700; 8.331100; 229.762700; 
2023.10.20_16:30:13:645; 10.313400; 8.194400; 229.784700; 
2023.10.20_16:30:13:745; 10.089200; 8.538900; 229.806600; 
2023.10.20_16:30:13:845; 10.420100; 8.139700; 227.697100; 
2023.10.20_16:30:13:945; 11.461800; 8.188900; 226.488600; 
2023.10.20_16:30:14:045; 11.390800; 7.989300; 226.444600; 
2023.10.20_16:30:14:145; 11.100900; 8.038500; 226.400700; 
2023.10.20_16:30:14:245; 11.579400; 7.808800; 226.356700; 
2023.10.20_16:30:14:345; 11.639600; 7.888100; 227.257600; 
2023.10.20_16:30:14:445; 11.973200; 7.642000; 227.345500; 
2023.10.20_16:30:14:545; 12.372400; 7.828000; 227.345500; 
2023.10.20_16:30:14:645; 12.424300; 7.904500; 227.345500; 
2023.10.20_16:30:14:745; 12.569200; 7.677600; 230.817400; 
2023.10.20_16:30:14:845; 12.276700; 7.964700; 230.839400; 
2023.10.20_16:30:14:945; 12.129000; 7.858000; 230.817400; 
