TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:29:08:745; 0.848679; 5.788113; 5.091712; 0.211491; 237.014794; 
2023.10.20_16:29:09:745; 0.845778; 5.804764; 5.107651; 0.211074; 237.014724; 
2023.10.20_16:29:10:745; 0.842886; 5.820786; 5.124621; 0.210149; 237.007785; 
2023.10.20_16:29:11:745; 0.839998; 5.837642; 5.140307; 0.209877; 237.006463; 
2023.10.20_16:29:12:745; 0.837116; 5.854228; 5.155209; 0.209782; 237.005482; 
2023.10.20_16:29:13:745; 0.834246; 5.871529; 5.170988; 0.209609; 237.003524; 
2023.10.20_16:29:14:745; 0.831389; 5.889133; 5.187238; 0.209371; 236.994279; 
2023.10.20_16:29:15:745; 0.828541; 5.906960; 5.202255; 0.209589; 236.978659; 
2023.10.20_16:29:16:745; 0.825700; 5.924809; 5.217568; 0.209717; 236.963997; 
2023.10.20_16:29:17:745; 0.822854; 5.942106; 5.233542; 0.209483; 236.956775; 
2023.10.20_16:29:18:745; 0.820022; 5.959836; 5.248729; 0.209618; 236.955922; 
2023.10.20_16:29:19:745; 0.817193; 5.977343; 5.263183; 0.209920; 236.953733; 
2023.10.20_16:29:20:745; 0.814395; 5.995808; 5.279247; 0.209981; 236.946817; 
2023.10.20_16:29:21:745; 0.811592; 6.013925; 5.295735; 0.209814; 236.933277; 
2023.10.20_16:29:22:745; 0.808775; 6.031208; 5.311978; 0.209496; 236.912095; 
2023.10.20_16:29:23:745; 0.805962; 6.048210; 5.327638; 0.209284; 236.885965; 
2023.10.20_16:29:24:745; 0.803152; 6.064656; 5.343500; 0.208859; 236.859319; 
2023.10.20_16:29:25:745; 0.800357; 6.082121; 5.359919; 0.208542; 236.842212; 
2023.10.20_16:29:26:745; 0.797591; 6.100567; 5.375832; 0.208647; 236.823873; 
2023.10.20_16:29:27:745; 0.794835; 6.119119; 5.391650; 0.208809; 236.805549; 
2023.10.20_16:29:28:745; 0.792087; 6.137764; 5.407714; 0.208920; 236.785545; 
2023.10.20_16:29:29:745; 0.789360; 6.156733; 5.424588; 0.208871; 236.766977; 
2023.10.20_16:29:30:745; 0.786608; 6.174972; 5.440884; 0.208803; 236.753715; 
2023.10.20_16:29:31:745; 0.783847; 6.192762; 5.458718; 0.208150; 236.738521; 
