TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:32:08:745; 0.373689; 8.901363; 7.745350; 0.229506; 237.049538; 
2023.10.20_16:32:09:745; 0.370814; 8.919868; 7.760239; 0.229764; 237.041608; 
2023.10.20_16:32:10:745; 0.367909; 8.937554; 7.774965; 0.229904; 237.033669; 
2023.10.20_16:32:11:745; 0.364984; 8.954712; 7.789485; 0.229990; 237.031350; 
2023.10.20_16:32:12:745; 0.362048; 8.971725; 7.804691; 0.229904; 237.023503; 
2023.10.20_16:32:13:745; 0.359126; 8.986971; 7.819592; 0.229558; 237.031322; 
2023.10.20_16:32:14:745; 0.356179; 9.002570; 7.834135; 0.229354; 237.027637; 
2023.10.20_16:32:15:745; 0.353212; 9.018557; 7.848363; 0.229287; 237.022070; 
2023.10.20_16:32:16:745; 0.350236; 9.034305; 7.862244; 0.229250; 237.024187; 
2023.10.20_16:32:17:745; 0.347302; 9.048625; 7.876665; 0.228840; 237.026362; 
2023.10.20_16:32:18:745; 0.344319; 9.063684; 7.891478; 0.228484; 237.039703; 
2023.10.20_16:32:19:745; 0.341315; 9.078906; 7.905575; 0.228308; 237.045493; 
2023.10.20_16:32:20:745; 0.338264; 9.096116; 7.919608; 0.228506; 237.053850; 
2023.10.20_16:32:21:745; 0.335198; 9.113001; 7.934705; 0.228424; 237.054587; 
2023.10.20_16:32:22:745; 0.332152; 9.128158; 7.950069; 0.227974; 237.057456; 
2023.10.20_16:32:23:745; 0.329115; 9.142605; 7.965862; 0.227309; 237.056634; 
2023.10.20_16:32:24:745; 0.326036; 9.157612; 7.981459; 0.226788; 237.057546; 
2023.10.20_16:32:25:745; 0.322985; 9.171687; 7.996438; 0.226228; 237.049225; 
2023.10.20_16:32:26:745; 0.319946; 9.185312; 8.011370; 0.225600; 237.029046; 
2023.10.20_16:32:27:745; 0.316887; 9.198969; 8.026660; 0.224905; 237.016110; 
2023.10.20_16:32:28:745; 0.313791; 9.212911; 8.042849; 0.224079; 237.000110; 
2023.10.20_16:32:29:745; 0.310617; 9.227860; 8.059595; 0.223323; 236.980133; 
2023.10.20_16:32:30:745; 0.307431; 9.242624; 8.075945; 0.222617; 236.966149; 
2023.10.20_16:32:31:745; 0.304252; 9.256856; 8.092493; 0.221778; 236.943727; 
2023.10.20_16:32:32:745; 0.301093; 9.270471; 8.107771; 0.221091; 236.921026; 
2023.10.20_16:32:33:745; 0.297954; 9.283551; 8.123071; 0.220307; 236.905859; 
2023.10.20_16:32:34:745; 0.294818; 9.296376; 8.137562; 0.219644; 236.880172; 
2023.10.20_16:32:35:745; 0.291735; 9.308463; 8.150735; 0.219119; 236.856000; 
2023.10.20_16:32:36:745; 0.288663; 9.320240; 8.162818; 0.218761; 236.838275; 
2023.10.20_16:32:37:745; 0.285474; 9.332876; 8.174647; 0.218607; 236.835961; 
2023.10.20_16:32:38:745; 0.282207; 9.346057; 8.186454; 0.218555; 236.836054; 
2023.10.20_16:32:39:745; 0.278893; 9.359453; 8.198830; 0.218425; 236.839799; 
2023.10.20_16:32:40:745; 0.275526; 9.373164; 8.211370; 0.218319; 236.849560; 
2023.10.20_16:32:41:745; 0.272151; 9.386604; 8.223122; 0.218323; 236.859229; 
2023.10.20_16:32:42:745; 0.268782; 9.399627; 8.234628; 0.218304; 236.868903; 
