TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:32:43:745; 0.265356; 9.412950; 8.244955; 0.218573; 236.871525; 
2023.10.20_16:32:44:745; 0.261822; 9.427234; 8.255838; 0.218898; 236.879172; 
2023.10.20_16:32:45:745; 0.258233; 9.441884; 8.266015; 0.219428; 236.864822; 
2023.10.20_16:32:46:745; 0.254593; 9.456684; 8.276981; 0.219825; 236.850252; 
2023.10.20_16:32:47:745; 0.250968; 9.470686; 8.287688; 0.220133; 236.840084; 
2023.10.20_16:32:48:745; 0.247341; 9.484190; 8.297972; 0.220437; 236.833397; 
2023.10.20_16:32:49:745; 0.243575; 9.499142; 8.307830; 0.221078; 236.824060; 
2023.10.20_16:32:50:745; 0.239714; 9.515617; 8.317707; 0.221976; 236.816207; 
2023.10.20_16:32:51:745; 0.235809; 9.531691; 8.326998; 0.222919; 236.806763; 
2023.10.20_16:32:52:745; 0.231851; 9.547821; 8.337235; 0.223681; 236.797088; 
2023.10.20_16:32:53:745; 0.227840; 9.563873; 8.346697; 0.224581; 236.793375; 
2023.10.20_16:32:54:745; 0.223794; 9.579206; 8.355723; 0.225441; 236.787731; 
2023.10.20_16:32:55:745; 0.219686; 9.594578; 8.364877; 0.226280; 236.782333; 
2023.10.20_16:32:56:745; 0.215567; 9.609001; 8.374725; 0.226817; 236.771392; 
2023.10.20_16:32:57:745; 0.211420; 9.622954; 8.384459; 0.227294; 236.757964; 
2023.10.20_16:32:58:745; 0.207169; 9.637349; 8.394479; 0.227790; 236.746888; 
2023.10.20_16:32:59:745; 0.202807; 9.652293; 8.405338; 0.228214; 236.739410; 
2023.10.20_16:33:00:745; 0.198379; 9.666998; 8.416499; 0.228536; 236.729931; 
2023.10.20_16:33:01:745; 0.193830; 9.682287; 8.427026; 0.229081; 236.713397; 
2023.10.20_16:33:02:745; 0.189211; 9.697218; 8.436960; 0.229680; 236.695943; 
2023.10.20_16:33:03:745; 0.184573; 9.711116; 8.446844; 0.230111; 236.677125; 
2023.10.20_16:33:04:745; 0.179878; 9.724574; 8.457291; 0.230356; 236.663853; 
2023.10.20_16:33:05:745; 0.175052; 9.738216; 8.468156; 0.230551; 236.658352; 
2023.10.20_16:33:06:745; 0.170040; 9.752495; 8.479018; 0.230853; 236.656177; 
2023.10.20_16:33:07:745; 0.164885; 9.766853; 8.489816; 0.231181; 236.652998; 
