TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:29:08:745; 9.695500; 9.665400; 238.684100; 
2023.10.20_16:29:08:845; 10.321600; 9.523200; 237.409600; 
2023.10.20_16:29:08:945; 9.845900; 9.413900; 236.926200; 
2023.10.20_16:29:09:045; 9.856800; 9.515000; 236.970200; 
2023.10.20_16:29:09:145; 9.958000; 9.176000; 236.948200; 
2023.10.20_16:29:09:245; 10.138400; 9.588800; 236.904200; 
2023.10.20_16:29:09:345; 10.395500; 9.616200; 236.508700; 
2023.10.20_16:29:09:445; 10.089200; 9.577900; 236.508700; 
2023.10.20_16:29:09:545; 9.744700; 9.796700; 236.508700; 
2023.10.20_16:29:09:645; 9.859500; 9.761100; 236.530700; 
2023.10.20_16:29:09:745; 9.670900; 9.944300; 233.893800; 
2023.10.20_16:29:09:845; 9.722800; 9.999000; 233.586200; 
2023.10.20_16:29:09:945; 9.550600; 10.034500; 233.608100; 
2023.10.20_16:29:10:045; 9.556000; 10.343500; 233.630100; 
2023.10.20_16:29:10:145; 9.331800; 10.390000; 234.970500; 
2023.10.20_16:29:10:245; 9.515000; 10.277900; 234.816700; 
2023.10.20_16:29:10:345; 9.547800; 10.381800; 234.816700; 
2023.10.20_16:29:10:445; 9.580600; 10.400900; 234.772800; 
2023.10.20_16:29:10:545; 9.851300; 10.059100; 235.497900; 
2023.10.20_16:29:10:645; 9.804900; 9.990800; 235.915400; 
2023.10.20_16:29:10:745; 9.990800; 9.977100; 235.937400; 
2023.10.20_16:29:10:845; 9.974400; 9.977100; 235.937400; 
2023.10.20_16:29:10:945; 10.217700; 9.758400; 236.530700; 
2023.10.20_16:29:11:045; 9.960700; 9.290800; 237.211900; 
2023.10.20_16:29:11:145; 10.108400; 9.526000; 237.233800; 
2023.10.20_16:29:11:245; 10.272400; 9.195100; 237.233800; 
2023.10.20_16:29:11:345; 10.299800; 9.509600; 237.167900; 
2023.10.20_16:29:11:445; 10.220500; 9.173200; 235.981300; 
2023.10.20_16:29:11:545; 10.097400; 8.883400; 236.047200; 
2023.10.20_16:29:11:645; 9.996300; 8.826000; 236.091200; 
2023.10.20_16:29:11:745; 10.102900; 8.730300; 236.069200; 
2023.10.20_16:29:11:845; 9.832200; 8.888900; 237.827100; 
2023.10.20_16:29:11:945; 9.780200; 8.746700; 237.827100; 
2023.10.20_16:29:12:045; 9.927900; 8.916200; 237.827100; 
2023.10.20_16:29:12:145; 10.009900; 8.787700; 237.827100; 
2023.10.20_16:29:12:245; 9.815800; 8.834200; 236.420800; 
2023.10.20_16:29:12:345; 10.124800; 8.823200; 236.376900; 
2023.10.20_16:29:12:445; 9.821300; 9.011900; 236.332900; 
2023.10.20_16:29:12:545; 10.089200; 9.411100; 236.354900; 
2023.10.20_16:29:12:645; 10.007200; 9.258000; 233.696000; 
2023.10.20_16:29:12:745; 10.086500; 9.430300; 233.915800; 
2023.10.20_16:29:12:845; 10.034500; 9.263500; 233.871800; 
2023.10.20_16:29:12:945; 10.075600; 9.763800; 233.871800; 
2023.10.20_16:29:13:045; 10.658000; 9.501300; 234.970500; 
2023.10.20_16:29:13:145; 10.655200; 9.318200; 239.123600; 
2023.10.20_16:29:13:245; 10.488400; 9.673600; 239.013700; 
2023.10.20_16:29:13:345; 10.570500; 9.309900; 238.991800; 
2023.10.20_16:29:13:445; 10.499400; 9.334600; 238.947800; 
2023.10.20_16:29:13:545; 10.231400; 9.441200; 235.036400; 
2023.10.20_16:29:13:645; 10.510300; 9.638100; 235.300100; 
2023.10.20_16:29:13:745; 10.688000; 9.460300; 235.256200; 
2023.10.20_16:29:13:845; 10.729100; 9.443900; 235.234200; 
2023.10.20_16:29:13:945; 10.685300; 9.315400; 233.783900; 
2023.10.20_16:29:14:045; 10.977900; 9.815800; 233.696000; 
2023.10.20_16:29:14:145; 10.425500; 10.138400; 233.696000; 
2023.10.20_16:29:14:245; 10.100200; 10.379100; 233.674100; 
2023.10.20_16:29:14:345; 10.122000; 10.324400; 232.795100; 
2023.10.20_16:29:14:445; 10.518500; 9.815800; 232.883000; 
2023.10.20_16:29:14:545; 10.573200; 9.545100; 232.883000; 
2023.10.20_16:29:14:645; 10.802900; 9.266200; 232.926900; 
2023.10.20_16:29:14:745; 10.663400; 9.115800; 230.465900; 
2023.10.20_16:29:14:845; 10.876700; 8.899800; 230.619700; 
2023.10.20_16:29:14:945; 10.876700; 9.206000; 230.685600; 
2023.10.20_16:29:15:045; 11.007900; 9.197800; 230.685600; 
2023.10.20_16:29:15:145; 10.584100; 9.323600; 231.938100; 
2023.10.20_16:29:15:245; 10.562300; 9.167800; 232.004000; 
2023.10.20_16:29:15:345; 10.518500; 8.864300; 232.069900; 
2023.10.20_16:29:15:445; 10.616900; 8.883400; 232.048000; 
2023.10.20_16:29:15:545; 10.578700; 8.681100; 231.938100; 
2023.10.20_16:29:15:645; 10.677100; 8.757600; 231.169000; 
2023.10.20_16:29:15:745; 10.704400; 8.733000; 231.213000; 
2023.10.20_16:29:15:845; 10.745500; 8.806800; 231.213000; 
2023.10.20_16:29:15:945; 10.745500; 8.806800; 231.213000; 
2023.10.20_16:29:16:045; 10.663400; 9.353700; 231.828200; 
2023.10.20_16:29:16:145; 10.789200; 9.195100; 231.894200; 
2023.10.20_16:29:16:245; 10.731800; 9.268900; 231.916100; 
2023.10.20_16:29:16:345; 10.909500; 9.468500; 231.894200; 
2023.10.20_16:29:16:445; 10.824800; 9.498600; 231.872200; 
2023.10.20_16:29:16:545; 10.567700; 9.340000; 231.872200; 
2023.10.20_16:29:16:645; 10.411900; 9.411100; 231.872200; 
2023.10.20_16:29:16:745; 10.411900; 9.411100; 231.872200; 
2023.10.20_16:29:16:845; 10.472000; 9.933400; 234.223400; 
2023.10.20_16:29:16:945; 10.310700; 9.769300; 233.937700; 
2023.10.20_16:29:17:045; 10.212300; 9.547800; 233.915800; 
2023.10.20_16:29:17:145; 10.534900; 9.772000; 233.915800; 
2023.10.20_16:29:17:245; 10.420100; 9.744700; 234.575000; 
2023.10.20_16:29:17:345; 10.395500; 9.422100; 234.904600; 
2023.10.20_16:29:17:445; 10.398200; 9.471300; 234.992500; 
2023.10.20_16:29:17:545; 10.291600; 9.471300; 234.970500; 
2023.10.20_16:29:17:645; 10.335300; 9.299000; 236.179100; 
2023.10.20_16:29:17:745; 10.573200; 9.580600; 237.519500; 
2023.10.20_16:29:17:845; 10.734500; 9.375600; 237.563400; 
2023.10.20_16:29:17:945; 10.783700; 9.567000; 237.585400; 
2023.10.20_16:29:18:045; 10.857600; 9.135000; 237.058000; 
2023.10.20_16:29:18:145; 10.603300; 8.749400; 236.157100; 
2023.10.20_16:29:18:245; 10.581400; 9.099400; 236.201100; 
2023.10.20_16:29:18:345; 10.474800; 8.812300; 236.223000; 
2023.10.20_16:29:18:445; 10.737300; 9.137700; 236.201100; 
2023.10.20_16:29:18:545; 10.704400; 8.763100; 236.003300; 
2023.10.20_16:29:18:645; 10.329800; 8.899800; 235.959400; 
2023.10.20_16:29:18:745; 10.089200; 8.626400; 235.959400; 
2023.10.20_16:29:18:845; 10.414600; 8.768600; 236.003300; 
2023.10.20_16:29:18:945; 10.204100; 8.727500; 236.662500; 
2023.10.20_16:29:19:045; 10.614200; 8.839600; 236.552600; 
2023.10.20_16:29:19:145; 10.349000; 8.541600; 236.596600; 
