TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:27:08:745; 1.267889; 3.818319; 3.414393; 0.184464; 236.795237; 
2023.10.20_16:27:09:745; 1.263507; 3.837040; 3.429374; 0.185311; 236.805003; 
2023.10.20_16:27:10:745; 1.259160; 3.855958; 3.444485; 0.186171; 236.834428; 
2023.10.20_16:27:11:745; 1.254867; 3.875305; 3.459283; 0.187356; 236.863764; 
2023.10.20_16:27:12:745; 1.250544; 3.893977; 3.473422; 0.188556; 236.891130; 
2023.10.20_16:27:13:745; 1.246278; 3.913130; 3.487408; 0.190022; 236.918085; 
2023.10.20_16:27:14:745; 1.242050; 3.932469; 3.500552; 0.191948; 236.947645; 
2023.10.20_16:27:15:745; 1.237771; 3.950852; 3.512985; 0.193794; 236.971856; 
2023.10.20_16:27:16:745; 1.233479; 3.968405; 3.525571; 0.195207; 236.985196; 
2023.10.20_16:27:17:745; 1.229229; 3.986524; 3.539041; 0.196431; 236.993920; 
2023.10.20_16:27:18:745; 1.225018; 4.005061; 3.553151; 0.197520; 237.008714; 
2023.10.20_16:27:19:745; 1.220792; 4.022805; 3.568734; 0.197593; 237.016550; 
2023.10.20_16:27:20:745; 1.216590; 4.040630; 3.584764; 0.197494; 237.004489; 
2023.10.20_16:27:21:745; 1.212427; 4.058912; 3.600767; 0.197593; 236.975854; 
2023.10.20_16:27:22:745; 1.208323; 4.077908; 3.616605; 0.198055; 236.967836; 
2023.10.20_16:27:23:745; 1.204249; 4.097061; 3.632305; 0.198640; 236.955931; 
2023.10.20_16:27:24:745; 1.200181; 4.116051; 3.648018; 0.199147; 236.955125; 
2023.10.20_16:27:25:745; 1.196135; 4.135107; 3.663620; 0.199726; 236.949322; 
2023.10.20_16:27:26:745; 1.192121; 4.154364; 3.678530; 0.200691; 236.964840; 
2023.10.20_16:27:27:745; 1.188128; 4.173664; 3.693968; 0.201429; 236.979083; 
2023.10.20_16:27:28:745; 1.184162; 4.193091; 3.709623; 0.202113; 237.004473; 
2023.10.20_16:27:29:745; 1.180202; 4.212396; 3.725472; 0.202658; 237.036116; 
2023.10.20_16:27:30:745; 1.176222; 4.231085; 3.741288; 0.202972; 237.060232; 
