TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:33:08:745; 9.802100; 6.745200; 233.476300; 
2023.10.20_16:33:08:845; 9.906000; 6.701400; 233.761900; 
2023.10.20_16:33:08:945; 10.018100; 6.922900; 233.761900; 
2023.10.20_16:33:09:045; 10.288800; 6.794400; 233.783900; 
2023.10.20_16:33:09:145; 10.313400; 6.706900; 233.740000; 
2023.10.20_16:33:09:245; 10.215000; 6.622100; 236.113200; 
2023.10.20_16:33:09:345; 10.433700; 6.447100; 236.245000; 
2023.10.20_16:33:09:445; 10.491200; 6.518200; 236.245000; 
2023.10.20_16:33:09:545; 10.589600; 6.258500; 236.267000; 
2023.10.20_16:33:09:645; 10.846600; 6.370600; 237.409600; 
2023.10.20_16:33:09:745; 10.854800; 6.307700; 237.519500; 
2023.10.20_16:33:09:845; 10.906800; 6.266700; 237.519500; 
2023.10.20_16:33:09:945; 10.586900; 6.302200; 237.497500; 
2023.10.20_16:33:10:045; 10.783700; 6.381500; 241.167200; 
2023.10.20_16:33:10:145; 10.644300; 6.181900; 240.903500; 
2023.10.20_16:33:10:245; 10.750900; 6.288500; 240.859500; 
2023.10.20_16:33:10:345; 10.551300; 6.203800; 240.815600; 
2023.10.20_16:33:10:445; 10.483000; 6.086200; 242.243900; 
2023.10.20_16:33:10:545; 10.611500; 6.127200; 242.793300; 
2023.10.20_16:33:10:645; 10.622400; 6.058900; 242.815200; 
2023.10.20_16:33:10:745; 10.280600; 5.974100; 242.859200; 
2023.10.20_16:33:10:845; 10.477500; 6.088900; 242.793300; 
2023.10.20_16:33:10:945; 10.154800; 6.187400; 240.661800; 
2023.10.20_16:33:11:045; 10.403700; 6.061600; 240.793600; 
2023.10.20_16:33:11:145; 10.174000; 5.979600; 240.727700; 
2023.10.20_16:33:11:245; 9.859500; 6.354200; 240.749700; 
2023.10.20_16:33:11:345; 9.834900; 6.280300; 243.540400; 
2023.10.20_16:33:11:445; 9.777500; 6.302200; 243.166800; 
2023.10.20_16:33:11:545; 9.761100; 6.160000; 243.188800; 
2023.10.20_16:33:11:645; 9.676300; 6.507300; 243.232700; 
2023.10.20_16:33:11:745; 10.097400; 6.354200; 245.562000; 
2023.10.20_16:33:11:845; 9.780200; 6.425300; 245.693800; 
2023.10.20_16:33:11:945; 9.465800; 6.493600; 245.693800; 
2023.10.20_16:33:12:045; 9.550600; 6.515500; 245.671900; 
2023.10.20_16:33:12:145; 9.468500; 6.556500; 239.914700; 
2023.10.20_16:33:12:245; 9.230700; 6.562000; 240.551900; 
2023.10.20_16:33:12:345; 9.277100; 6.767000; 240.639800; 
2023.10.20_16:33:12:445; 9.159600; 6.463500; 240.661800; 
2023.10.20_16:33:12:545; 9.449400; 6.545600; 240.090500; 
2023.10.20_16:33:12:645; 9.490400; 6.556500; 240.156400; 
2023.10.20_16:33:12:745; 9.217000; 6.540100; 240.156400; 
2023.10.20_16:33:12:845; 9.115800; 6.709600; 240.156400; 
2023.10.20_16:33:12:945; 8.812300; 6.600300; 240.727700; 
2023.10.20_16:33:13:045; 8.894300; 6.747900; 241.408900; 
2023.10.20_16:33:13:145; 8.670100; 6.920200; 241.408900; 
2023.10.20_16:33:13:245; 8.845100; 6.542800; 241.408900; 
2023.10.20_16:33:13:345; 8.667400; 6.488100; 241.430900; 
2023.10.20_16:33:13:445; 8.927100; 6.488100; 241.013400; 
2023.10.20_16:33:13:545; 8.938100; 6.575600; 240.991400; 
2023.10.20_16:33:13:645; 9.186900; 6.488100; 241.035300; 
2023.10.20_16:33:13:745; 9.184200; 6.406100; 241.035300; 
2023.10.20_16:33:13:845; 9.124000; 6.403400; 237.211900; 
2023.10.20_16:33:13:945; 9.140400; 6.400600; 237.343700; 
2023.10.20_16:33:14:045; 8.754900; 6.359600; 237.387700; 
2023.10.20_16:33:14:145; 9.132200; 6.463500; 237.409600; 
2023.10.20_16:33:14:245; 8.858800; 6.490900; 246.045400; 
2023.10.20_16:33:14:345; 9.042000; 6.441700; 245.825700; 
2023.10.20_16:33:14:445; 9.156800; 6.203800; 245.957500; 
2023.10.20_16:33:14:545; 9.011900; 6.255700; 245.979500; 
2023.10.20_16:33:14:645; 8.793200; 6.507300; 238.816000; 
2023.10.20_16:33:14:745; 8.779500; 6.657700; 239.189500; 
2023.10.20_16:33:14:845; 8.765800; 6.657700; 238.991800; 
2023.10.20_16:33:14:945; 8.793200; 6.788900; 238.881900; 
2023.10.20_16:33:15:045; 8.897100; 6.578400; 241.496800; 
2023.10.20_16:33:15:145; 8.776800; 6.608500; 242.243900; 
2023.10.20_16:33:15:245; 8.902500; 6.537400; 242.178000; 
2023.10.20_16:33:15:345; 8.711100; 6.548300; 242.156000; 
2023.10.20_16:33:15:445; 8.929900; 6.627600; 241.980200; 
2023.10.20_16:33:15:545; 8.858800; 6.750600; 240.903500; 
2023.10.20_16:33:15:645; 8.793200; 6.668600; 240.969400; 
2023.10.20_16:33:15:745; 8.916200; 6.753400; 240.969400; 
2023.10.20_16:33:15:845; 9.167800; 6.652200; 240.991400; 
2023.10.20_16:33:15:945; 9.247100; 6.816300; 238.266600; 
2023.10.20_16:33:16:045; 9.203300; 6.726000; 238.068800; 
2023.10.20_16:33:16:145; 9.378300; 6.586600; 238.068800; 
2023.10.20_16:33:16:245; 9.233400; 6.572900; 238.090800; 
2023.10.20_16:33:16:345; 9.309900; 6.504600; 239.475200; 
2023.10.20_16:33:16:445; 8.976400; 6.367800; 239.321400; 
2023.10.20_16:33:16:545; 8.760400; 6.263900; 239.255400; 
2023.10.20_16:33:16:645; 9.014600; 6.266700; 239.277400; 
2023.10.20_16:33:16:745; 9.389200; 6.326800; 233.849800; 
2023.10.20_16:33:16:845; 8.962700; 6.244800; 230.883400; 
2023.10.20_16:33:16:945; 8.951800; 6.192800; 230.663600; 
2023.10.20_16:33:17:045; 9.143200; 6.225700; 230.597700; 
2023.10.20_16:33:17:145; 8.853300; 6.307700; 231.015200; 
2023.10.20_16:33:17:245; 9.178700; 6.272100; 236.310900; 
2023.10.20_16:33:17:345; 9.115800; 6.318600; 236.091200; 
2023.10.20_16:33:17:445; 9.361900; 6.244800; 236.003300; 
2023.10.20_16:33:17:545; 9.184200; 6.099900; 235.739600; 
2023.10.20_16:33:17:645; 9.315400; 6.061600; 229.213300; 
2023.10.20_16:33:17:745; 9.446700; 5.878400; 229.411100; 
2023.10.20_16:33:17:845; 9.331800; 5.782700; 229.433100; 
2023.10.20_16:33:17:945; 9.181400; 5.738900; 229.433100; 
2023.10.20_16:33:18:045; 9.124000; 5.935800; 232.026000; 
2023.10.20_16:33:18:145; 8.670100; 5.613200; 231.894200; 
2023.10.20_16:33:18:245; 8.437700; 5.662400; 231.982100; 
2023.10.20_16:33:18:345; 8.555300; 5.749900; 231.938100; 
2023.10.20_16:33:18:445; 8.339300; 5.799100; 233.586200; 
2023.10.20_16:33:18:545; 8.281900; 5.738900; 233.652100; 
2023.10.20_16:33:18:645; 8.281900; 5.736200; 233.652100; 
2023.10.20_16:33:18:745; 8.372100; 5.659700; 233.652100; 
2023.10.20_16:33:18:845; 8.273600; 5.640500; 234.684900; 
2023.10.20_16:33:18:945; 8.410400; 5.662400; 234.553000; 
2023.10.20_16:33:19:045; 8.396700; 5.624100; 234.553000; 
2023.10.20_16:33:19:145; 8.290100; 5.700700; 234.531000; 
2023.10.20_16:33:19:245; 8.301000; 5.771800; 232.597300; 
2023.10.20_16:33:19:345; 8.156100; 5.788200; 229.718700; 
2023.10.20_16:33:19:445; 8.396700; 5.903000; 229.740700; 
2023.10.20_16:33:19:545; 8.139700; 5.998700; 229.718700; 
2023.10.20_16:33:19:645; 8.451400; 5.990500; 229.718700; 
2023.10.20_16:33:19:745; 8.292800; 6.176400; 230.092300; 
2023.10.20_16:33:19:845; 8.287300; 6.359600; 230.092300; 
2023.10.20_16:33:19:945; 8.377500; 6.313200; 230.092300; 
2023.10.20_16:33:20:045; 7.910000; 6.324100; 230.092300; 
