TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:39:08:745; 9.826700; 8.366600; 235.585800; 
2023.10.20_16:39:08:845; 9.698200; 8.497900; 235.563800; 
2023.10.20_16:39:08:945; 9.342800; 8.249000; 235.519900; 
2023.10.20_16:39:09:045; 9.567000; 8.333800; 235.849500; 
2023.10.20_16:39:09:145; 9.564200; 8.440400; 237.343700; 
2023.10.20_16:39:09:245; 9.867700; 8.670100; 237.255800; 
2023.10.20_16:39:09:345; 9.550600; 8.708400; 237.211900; 
2023.10.20_16:39:09:445; 9.558800; 8.601800; 237.189900; 
2023.10.20_16:39:09:545; 9.692800; 8.831400; 232.267700; 
2023.10.20_16:39:09:645; 9.547800; 8.741200; 231.960100; 
2023.10.20_16:39:09:745; 9.602500; 8.768600; 232.048000; 
2023.10.20_16:39:09:845; 9.381000; 8.719300; 231.894200; 
2023.10.20_16:39:09:945; 9.577900; 8.579900; 230.949300; 
2023.10.20_16:39:10:045; 9.484900; 8.205300; 230.883400; 
2023.10.20_16:39:10:145; 9.742000; 8.459600; 230.839400; 
2023.10.20_16:39:10:245; 9.484900; 8.366600; 230.883400; 
2023.10.20_16:39:10:345; 9.526000; 8.306500; 233.366400; 
2023.10.20_16:39:10:445; 9.526000; 8.224400; 233.212600; 
2023.10.20_16:39:10:545; 9.411100; 7.956500; 233.190600; 
2023.10.20_16:39:10:645; 9.173200; 8.123300; 233.168700; 
2023.10.20_16:39:10:745; 9.249800; 7.729500; 232.992900; 
2023.10.20_16:39:10:845; 8.880700; 7.792400; 232.948900; 
2023.10.20_16:39:10:945; 9.069300; 7.871700; 232.948900; 
2023.10.20_16:39:11:045; 8.905300; 7.647500; 232.970900; 
2023.10.20_16:39:11:145; 9.085700; 7.655700; 231.586500; 
2023.10.20_16:39:11:245; 8.826000; 7.743200; 231.432700; 
2023.10.20_16:39:11:345; 8.877900; 7.661200; 231.344800; 
2023.10.20_16:39:11:445; 9.006400; 7.633800; 231.366800; 
2023.10.20_16:39:11:545; 9.495900; 7.978300; 231.344800; 
2023.10.20_16:39:11:645; 8.927100; 7.882600; 231.300900; 
2023.10.20_16:39:11:745; 8.847900; 7.819800; 231.322800; 
2023.10.20_16:39:11:845; 8.722100; 7.849800; 231.278900; 
2023.10.20_16:39:11:945; 8.817800; 7.625600; 231.366800; 
2023.10.20_16:39:12:045; 8.763100; 7.683000; 231.191000; 
2023.10.20_16:39:12:145; 8.681100; 7.543600; 231.169000; 
2023.10.20_16:39:12:245; 8.478700; 7.494400; 231.191000; 
2023.10.20_16:39:12:345; 8.793200; 7.458800; 231.191000; 
2023.10.20_16:39:12:445; 8.268200; 7.568200; 231.564500; 
2023.10.20_16:39:12:545; 8.295500; 7.543600; 231.542600; 
2023.10.20_16:39:12:645; 8.098700; 7.417800; 231.520600; 
2023.10.20_16:39:12:745; 8.016600; 7.475200; 231.542600; 
2023.10.20_16:39:12:845; 7.860800; 7.420500; 242.243900; 
2023.10.20_16:39:12:945; 7.986500; 7.398700; 241.189200; 
2023.10.20_16:39:13:045; 8.112300; 7.196300; 241.057300; 
2023.10.20_16:39:13:145; 8.109600; 7.179900; 241.035300; 
2023.10.20_16:39:13:245; 8.601800; 7.300200; 241.430900; 
2023.10.20_16:39:13:345; 8.779500; 7.171700; 241.826400; 
2023.10.20_16:39:13:445; 8.918900; 7.303000; 241.826400; 
2023.10.20_16:39:13:545; 9.069300; 7.565500; 241.804400; 
2023.10.20_16:39:13:645; 9.148600; 7.674800; 240.639800; 
2023.10.20_16:39:13:745; 9.093900; 7.786900; 239.079700; 
2023.10.20_16:39:13:845; 9.446700; 7.737700; 239.079700; 
2023.10.20_16:39:13:945; 9.586100; 7.767800; 239.057700; 
2023.10.20_16:39:14:045; 9.279900; 7.549100; 239.145600; 
2023.10.20_16:39:14:145; 9.558800; 7.382300; 241.035300; 
2023.10.20_16:39:14:245; 9.618900; 7.611900; 240.991400; 
2023.10.20_16:39:14:345; 9.709200; 7.625600; 240.969400; 
2023.10.20_16:39:14:445; 9.960700; 7.207300; 240.947400; 
2023.10.20_16:39:14:545; 9.843100; 7.357700; 240.551900; 
2023.10.20_16:39:14:645; 9.722800; 7.549100; 240.551900; 
2023.10.20_16:39:14:745; 9.766600; 7.510800; 240.573900; 
2023.10.20_16:39:14:845; 9.550600; 7.464300; 240.529900; 
2023.10.20_16:39:14:945; 9.345500; 7.606500; 238.925800; 
2023.10.20_16:39:15:045; 9.536900; 7.636600; 238.969800; 
2023.10.20_16:39:15:145; 9.370100; 7.379500; 238.947800; 
2023.10.20_16:39:15:245; 9.706400; 7.822500; 238.947800; 
2023.10.20_16:39:15:345; 9.383800; 7.858000; 242.551500; 
2023.10.20_16:39:15:445; 9.520500; 8.243600; 242.837200; 
2023.10.20_16:39:15:545; 9.435700; 8.177900; 242.771300; 
2023.10.20_16:39:15:645; 9.290800; 8.126000; 242.727300; 
2023.10.20_16:39:15:745; 9.247100; 8.093200; 241.650600; 
2023.10.20_16:39:15:845; 9.279900; 8.000200; 236.640500; 
2023.10.20_16:39:15:945; 9.039300; 7.879900; 236.486700; 
2023.10.20_16:39:16:045; 9.189600; 7.759600; 236.552600; 
2023.10.20_16:39:16:145; 9.115800; 7.707600; 236.552600; 
2023.10.20_16:39:16:245; 8.935300; 7.521700; 240.288200; 
2023.10.20_16:39:16:345; 9.268900; 7.453400; 240.112400; 
2023.10.20_16:39:16:445; 8.943600; 7.519000; 240.090500; 
2023.10.20_16:39:16:545; 9.323600; 7.549100; 240.090500; 
2023.10.20_16:39:16:645; 9.102100; 7.519000; 238.112800; 
2023.10.20_16:39:16:745; 9.394700; 7.401400; 238.002900; 
2023.10.20_16:39:16:845; 9.345500; 7.267400; 237.981000; 
2023.10.20_16:39:16:945; 9.370100; 7.155300; 237.959000; 
2023.10.20_16:39:17:045; 9.430300; 7.056900; 230.685600; 
2023.10.20_16:39:17:145; 9.266200; 7.308400; 231.278900; 
2023.10.20_16:39:17:245; 9.113100; 7.292000; 231.059100; 
2023.10.20_16:39:17:345; 9.042000; 7.262000; 231.081100; 
2023.10.20_16:39:17:445; 9.025600; 6.783500; 237.189900; 
2023.10.20_16:39:17:545; 8.908000; 6.690500; 238.090800; 
2023.10.20_16:39:17:645; 8.877900; 6.753400; 238.266600; 
2023.10.20_16:39:17:745; 8.949000; 6.805300; 238.310600; 
2023.10.20_16:39:17:845; 8.839600; 6.890100; 238.310600; 
2023.10.20_16:39:17:945; 8.817800; 7.056900; 238.398500; 
2023.10.20_16:39:18:045; 8.511500; 6.723300; 238.398500; 
2023.10.20_16:39:18:145; 8.820500; 7.073300; 238.398500; 
2023.10.20_16:39:18:245; 8.700200; 7.174500; 238.376500; 
2023.10.20_16:39:18:345; 9.033800; 7.360400; 239.673000; 
2023.10.20_16:39:18:445; 8.995500; 7.283800; 239.782800; 
2023.10.20_16:39:18:545; 8.815000; 7.155300; 239.804800; 
2023.10.20_16:39:18:645; 8.853300; 7.330300; 239.804800; 
2023.10.20_16:39:18:745; 8.547100; 7.229100; 240.420100; 
2023.10.20_16:39:18:845; 8.681100; 7.081500; 240.508000; 
2023.10.20_16:39:18:945; 8.536100; 6.780700; 240.508000; 
2023.10.20_16:39:19:045; 8.620900; 6.728800; 240.508000; 
2023.10.20_16:39:19:145; 8.544300; 6.575600; 242.002200; 
2023.10.20_16:39:19:245; 8.631800; 6.441700; 241.826400; 
