TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:36:17:645; 10.092000; 8.596300; 236.179100; 
2023.10.20_16:36:17:745; 10.182200; 8.648200; 236.245000; 
2023.10.20_16:36:17:845; 9.906000; 8.847900; 236.267000; 
2023.10.20_16:36:17:945; 9.947000; 8.957200; 235.827500; 
2023.10.20_16:36:18:045; 10.026300; 9.017400; 235.805500; 
2023.10.20_16:36:18:145; 10.081000; 9.309900; 235.805500; 
2023.10.20_16:36:18:245; 9.859500; 9.933400; 235.827500; 
2023.10.20_16:36:18:345; 9.982600; 9.572400; 238.332500; 
2023.10.20_16:36:18:445; 10.086500; 9.370100; 238.178700; 
2023.10.20_16:36:18:545; 9.971600; 9.802100; 238.244600; 
2023.10.20_16:36:18:645; 9.886900; 9.687300; 238.244600; 
2023.10.20_16:36:18:745; 10.395500; 9.446700; 236.904200; 
2023.10.20_16:36:18:845; 10.146600; 9.657200; 230.685600; 
2023.10.20_16:36:18:945; 9.958000; 9.526000; 230.927300; 
2023.10.20_16:36:19:045; 9.906000; 9.315400; 230.993200; 
2023.10.20_16:36:19:145; 10.160300; 9.463100; 231.037200; 
2023.10.20_16:36:19:245; 9.993500; 9.474000; 232.883000; 
2023.10.20_16:36:19:345; 10.078300; 9.493100; 232.905000; 
2023.10.20_16:36:19:445; 10.195900; 9.383800; 232.883000; 
2023.10.20_16:36:19:545; 10.436500; 9.233400; 232.883000; 
2023.10.20_16:36:19:645; 10.212300; 9.545100; 231.388800; 
2023.10.20_16:36:19:745; 10.198600; 9.490400; 231.278900; 
2023.10.20_16:36:19:845; 10.204100; 9.438500; 231.278900; 
2023.10.20_16:36:19:945; 10.600500; 9.695500; 231.256900; 
2023.10.20_16:36:20:045; 10.253300; 9.673600; 231.366800; 
2023.10.20_16:36:20:145; 10.184900; 9.706400; 231.344800; 
2023.10.20_16:36:20:245; 9.971600; 10.305200; 231.366800; 
2023.10.20_16:36:20:345; 10.267000; 9.999000; 231.366800; 
2023.10.20_16:36:20:445; 10.100200; 9.654500; 230.465900; 
2023.10.20_16:36:20:545; 9.963400; 9.851300; 230.553700; 
2023.10.20_16:36:20:645; 10.040000; 9.408400; 230.575700; 
2023.10.20_16:36:20:745; 10.198600; 9.591600; 230.553700; 
2023.10.20_16:36:20:845; 10.083800; 9.621700; 228.246500; 
2023.10.20_16:36:20:945; 10.195900; 9.482200; 228.004800; 
2023.10.20_16:36:21:045; 10.075600; 9.285300; 227.982800; 
2023.10.20_16:36:21:145; 10.723600; 9.312700; 227.938800; 
2023.10.20_16:36:21:245; 10.308000; 9.104900; 228.070700; 
2023.10.20_16:36:21:345; 10.313400; 9.479500; 229.564900; 
2023.10.20_16:36:21:445; 10.343500; 9.020100; 229.477000; 
2023.10.20_16:36:21:545; 10.187700; 8.979100; 229.455000; 
2023.10.20_16:36:21:645; 10.469300; 9.547800; 229.455000; 
2023.10.20_16:36:21:745; 10.023600; 9.495900; 231.718400; 
2023.10.20_16:36:21:845; 9.875900; 9.337300; 231.432700; 
2023.10.20_16:36:21:945; 9.917000; 9.096700; 231.432700; 
2023.10.20_16:36:22:045; 10.206800; 9.159600; 231.476700; 
2023.10.20_16:36:22:145; 10.100200; 9.151400; 232.575300; 
2023.10.20_16:36:22:245; 9.840400; 8.992800; 232.421500; 
2023.10.20_16:36:22:345; 10.543100; 9.017400; 232.421500; 
2023.10.20_16:36:22:445; 10.250500; 8.648200; 232.399600; 
2023.10.20_16:36:22:545; 9.897800; 8.659200; 233.234600; 
2023.10.20_16:36:22:645; 10.020900; 8.607200; 233.146700; 
2023.10.20_16:36:22:745; 10.376300; 8.678300; 233.124700; 
2023.10.20_16:36:22:845; 10.480200; 8.571700; 233.124700; 
2023.10.20_16:36:22:945; 10.614200; 8.593600; 232.619300; 
2023.10.20_16:36:23:045; 10.515800; 8.473300; 232.311700; 
2023.10.20_16:36:23:145; 10.603300; 8.612700; 232.289700; 
2023.10.20_16:36:23:245; 10.335300; 8.683800; 232.311700; 
2023.10.20_16:36:23:345; 11.122800; 8.558000; 232.091900; 
2023.10.20_16:36:23:445; 10.595100; 8.492400; 231.872200; 
2023.10.20_16:36:23:545; 10.392700; 8.415800; 231.872200; 
2023.10.20_16:36:23:645; 10.450200; 8.429500; 231.850200; 
2023.10.20_16:36:23:745; 10.477500; 8.402200; 231.916100; 
2023.10.20_16:36:23:845; 10.556800; 8.629100; 232.992900; 
2023.10.20_16:36:23:945; 10.641600; 8.391200; 232.905000; 
2023.10.20_16:36:24:045; 10.791900; 8.541600; 232.926900; 
2023.10.20_16:36:24:145; 10.630600; 8.344700; 232.926900; 
2023.10.20_16:36:24:245; 10.513000; 8.508800; 232.135900; 
2023.10.20_16:36:24:345; 10.228700; 8.454100; 232.091900; 
2023.10.20_16:36:24:445; 10.174000; 8.774000; 232.091900; 
2023.10.20_16:36:24:545; 10.447400; 8.585400; 232.091900; 
2023.10.20_16:36:24:645; 10.562300; 8.867000; 231.322800; 
2023.10.20_16:36:24:745; 10.431000; 8.888900; 231.344800; 
2023.10.20_16:36:24:845; 10.215000; 9.266200; 231.300900; 
2023.10.20_16:36:24:945; 10.439200; 9.031000; 231.300900; 
2023.10.20_16:36:25:045; 10.365400; 9.003700; 231.103100; 
2023.10.20_16:36:25:145; 10.201300; 8.369300; 230.641600; 
2023.10.20_16:36:25:245; 9.793900; 8.514300; 230.641600; 
2023.10.20_16:36:25:345; 10.425500; 8.232600; 230.641600; 
2023.10.20_16:36:25:445; 9.881400; 8.456800; 230.443900; 
2023.10.20_16:36:25:545; 9.575200; 8.358400; 229.828600; 
2023.10.20_16:36:25:645; 9.670900; 8.519700; 229.828600; 
2023.10.20_16:36:25:745; 9.722800; 8.394000; 229.850600; 
2023.10.20_16:36:25:845; 9.780200; 8.500600; 229.828600; 
2023.10.20_16:36:25:945; 9.583400; 8.350200; 230.685600; 
2023.10.20_16:36:26:045; 9.720100; 8.571700; 230.663600; 
2023.10.20_16:36:26:145; 9.725600; 8.484200; 230.685600; 
2023.10.20_16:36:26:245; 9.714600; 8.314700; 230.663600; 
2023.10.20_16:36:26:345; 9.796700; 8.497900; 229.784700; 
2023.10.20_16:36:26:445; 9.487700; 8.027600; 229.740700; 
2023.10.20_16:36:26:545; 9.580600; 8.106900; 229.696800; 
2023.10.20_16:36:26:645; 9.504100; 8.019400; 229.696800; 
2023.10.20_16:36:26:745; 9.356400; 7.893600; 231.388800; 
2023.10.20_16:36:26:845; 9.342800; 7.931900; 231.366800; 
2023.10.20_16:36:26:945; 9.465800; 7.937300; 231.388800; 
2023.10.20_16:36:27:045; 9.277100; 8.041200; 231.366800; 
2023.10.20_16:36:27:145; 9.299000; 8.208000; 232.069900; 
2023.10.20_16:36:27:245; 9.091200; 8.038500; 232.113900; 
2023.10.20_16:36:27:345; 9.252500; 8.164300; 232.135900; 
2023.10.20_16:36:27:445; 8.897100; 7.726800; 232.157900; 
2023.10.20_16:36:27:545; 8.894300; 7.877200; 232.135900; 
2023.10.20_16:36:27:645; 8.864300; 7.981100; 231.608500; 
2023.10.20_16:36:27:745; 9.099400; 7.863500; 231.652500; 
2023.10.20_16:36:27:845; 9.208800; 7.756900; 231.652500; 
2023.10.20_16:36:27:945; 9.022800; 7.611900; 231.652500; 
2023.10.20_16:36:28:045; 9.367400; 7.535400; 230.927300; 
2023.10.20_16:36:28:145; 9.050200; 7.220900; 230.839400; 
2023.10.20_16:36:28:245; 8.973600; 7.262000; 230.839400; 
2023.10.20_16:36:28:345; 8.880700; 7.330300; 230.817400; 
2023.10.20_16:36:28:445; 8.828700; 7.160800; 233.630100; 
2023.10.20_16:36:28:545; 8.823200; 7.352200; 233.761900; 
2023.10.20_16:36:28:645; 8.888900; 7.368600; 233.915800; 
2023.10.20_16:36:28:745; 8.856100; 7.702200; 233.827900; 
2023.10.20_16:36:28:845; 8.702900; 7.631100; 227.741100; 
2023.10.20_16:36:28:945; 8.943600; 8.003000; 228.290400; 
2023.10.20_16:36:29:045; 8.801400; 8.358400; 228.444200; 
2023.10.20_16:36:29:145; 8.924400; 8.235400; 228.444200; 
2023.10.20_16:36:29:245; 8.569000; 8.530700; 229.235300; 
2023.10.20_16:36:29:345; 8.730300; 8.497900; 229.169400; 
2023.10.20_16:36:29:445; 8.363900; 8.733000; 229.147400; 
