TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:23:08:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:09:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:10:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:11:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:12:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:13:745; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.20_16:23:14:745; 38.721508; 0.007661; 0.007335; 0.071608; 236.458623; 
2023.10.20_16:23:15:745; 20.681290; 0.026839; 0.024898; 0.123873; 235.280847; 
2023.10.20_16:23:16:745; 15.787167; 0.046924; 0.042080; 0.179750; 235.431656; 
2023.10.20_16:23:17:745; 13.260118; 0.067945; 0.058789; 0.238793; 235.266893; 
2023.10.20_16:23:18:745; 11.651435; 0.089618; 0.074634; 0.301847; 235.237990; 
2023.10.20_16:23:19:745; 10.506457; 0.110313; 0.090348; 0.329387; 234.777268; 
2023.10.20_16:23:20:745; 9.642543; 0.131768; 0.105102; 0.373041; 235.172034; 
2023.10.20_16:23:21:745; 8.959359; 0.153066; 0.119103; 0.413910; 235.744161; 
2023.10.20_16:23:22:745; 8.401699; 0.174459; 0.132713; 0.451226; 236.127981; 
2023.10.20_16:23:23:745; 7.934859; 0.194994; 0.146319; 0.473789; 236.222782; 
2023.10.20_16:23:24:745; 7.537061; 0.215213; 0.160190; 0.487129; 237.089932; 
2023.10.20_16:23:25:745; 7.193636; 0.234574; 0.175609; 0.477636; 237.755658; 
2023.10.20_16:23:26:745; 6.891268; 0.254791; 0.190567; 0.479168; 238.262018; 
2023.10.20_16:23:27:745; 6.623392; 0.274665; 0.204034; 0.490424; 238.805413; 
2023.10.20_16:23:28:745; 6.383574; 0.294755; 0.218469; 0.494112; 239.320331; 
2023.10.20_16:23:29:745; 6.167579; 0.314371; 0.232459; 0.498004; 239.764236; 
2023.10.20_16:23:30:745; 5.971396; 0.334185; 0.248887; 0.486188; 240.147221; 
2023.10.20_16:23:31:745; 5.792108; 0.355028; 0.266217; 0.474947; 240.371847; 
2023.10.20_16:23:32:745; 5.627558; 0.375981; 0.283998; 0.462887; 240.451977; 
