TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:23:33:745; 5.475805; 0.397077; 0.301764; 0.452845; 240.542693; 
2023.10.20_16:23:34:745; 5.335185; 0.417196; 0.320305; 0.436012; 240.575234; 
2023.10.20_16:23:35:745; 5.204418; 0.437408; 0.338789; 0.421504; 240.432680; 
2023.10.20_16:23:36:745; 5.082417; 0.457446; 0.357337; 0.407464; 240.153561; 
2023.10.20_16:23:37:745; 4.968243; 0.477588; 0.377281; 0.388952; 240.056318; 
2023.10.20_16:23:38:745; 4.861070; 0.497620; 0.396591; 0.374390; 240.049160; 
2023.10.20_16:23:39:745; 4.760256; 0.517451; 0.413828; 0.368670; 239.968910; 
2023.10.20_16:23:40:745; 4.665520; 0.536459; 0.430120; 0.364483; 239.831662; 
2023.10.20_16:23:41:745; 4.576104; 0.555116; 0.449462; 0.348313; 239.784302; 
2023.10.20_16:23:42:745; 4.492294; 0.572684; 0.468745; 0.330415; 239.796857; 
2023.10.20_16:23:43:745; 4.411354; 0.593580; 0.487756; 0.323947; 239.850219; 
2023.10.20_16:23:44:745; 4.334401; 0.614603; 0.507579; 0.315645; 239.902056; 
2023.10.20_16:23:45:745; 4.260981; 0.635228; 0.525478; 0.312927; 239.862709; 
2023.10.20_16:23:46:745; 4.190939; 0.654960; 0.541406; 0.314129; 239.841478; 
2023.10.20_16:23:47:745; 4.124150; 0.674148; 0.557294; 0.314050; 239.859635; 
2023.10.20_16:23:48:745; 4.060095; 0.693985; 0.574123; 0.312813; 239.899399; 
2023.10.20_16:23:49:745; 3.998730; 0.714689; 0.591365; 0.312495; 239.871274; 
2023.10.20_16:23:50:745; 3.939820; 0.735010; 0.608739; 0.310976; 239.864906; 
2023.10.20_16:23:51:745; 3.883273; 0.755568; 0.625950; 0.310490; 239.812470; 
2023.10.20_16:23:52:745; 3.828990; 0.776578; 0.643219; 0.310841; 239.805215; 
2023.10.20_16:23:53:745; 3.776784; 0.795788; 0.659184; 0.310706; 239.799337; 
2023.10.20_16:23:54:745; 3.726686; 0.814298; 0.674584; 0.310542; 239.862462; 
2023.10.20_16:23:55:745; 3.678596; 0.832267; 0.691653; 0.305324; 239.832877; 
2023.10.20_16:23:56:745; 3.632586; 0.849463; 0.708585; 0.299163; 239.809989; 
2023.10.20_16:23:57:745; 3.587908; 0.866956; 0.725936; 0.292882; 239.809108; 
2023.10.20_16:23:58:745; 3.544647; 0.884621; 0.742998; 0.287833; 239.788730; 
2023.10.20_16:23:59:745; 3.502414; 0.902863; 0.759248; 0.285816; 239.775603; 
2023.10.20_16:24:00:745; 3.461447; 0.921321; 0.775397; 0.284480; 239.750944; 
2023.10.20_16:24:01:745; 3.422241; 0.938528; 0.791427; 0.281249; 239.717627; 
2023.10.20_16:24:02:745; 3.383976; 0.956230; 0.807467; 0.278976; 239.655143; 
2023.10.20_16:24:03:745; 3.346863; 0.973782; 0.823591; 0.276364; 239.549500; 
2023.10.20_16:24:04:745; 3.311218; 0.990481; 0.839642; 0.272571; 239.445724; 
2023.10.20_16:24:05:745; 3.277375; 1.005937; 0.856827; 0.264690; 239.365148; 
2023.10.20_16:24:06:745; 3.244928; 1.020706; 0.873900; 0.256187; 239.205045; 
2023.10.20_16:24:07:745; 3.212284; 1.036915; 0.889388; 0.253197; 239.122179; 
