TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:35:08:745; 12.793400; 8.724800; 235.190300; 
2023.10.20_16:35:08:845; 12.894600; 8.273600; 235.212200; 
2023.10.20_16:35:08:945; 13.091500; 8.139700; 235.190300; 
2023.10.20_16:35:09:045; 13.203600; 8.295500; 235.146300; 
2023.10.20_16:35:09:145; 12.960200; 7.885400; 235.256200; 
2023.10.20_16:35:09:245; 12.566500; 8.000200; 235.234200; 
2023.10.20_16:35:09:345; 12.407900; 7.986500; 235.256200; 
2023.10.20_16:35:09:445; 12.383300; 8.569000; 235.256200; 
2023.10.20_16:35:09:545; 12.090700; 8.847900; 236.245000; 
2023.10.20_16:35:09:645; 12.213800; 9.342800; 240.002600; 
2023.10.20_16:35:09:745; 12.049700; 9.318200; 239.848700; 
2023.10.20_16:35:09:845; 11.718900; 9.200600; 239.782800; 
2023.10.20_16:35:09:945; 11.784500; 9.315400; 239.233500; 
2023.10.20_16:35:10:045; 11.653200; 9.397400; 234.531000; 
2023.10.20_16:35:10:145; 11.584900; 9.167800; 234.728800; 
2023.10.20_16:35:10:245; 11.423600; 8.864300; 234.750800; 
2023.10.20_16:35:10:345; 11.409900; 8.899800; 234.816700; 
2023.10.20_16:35:10:445; 11.292300; 8.495100; 236.464800; 
2023.10.20_16:35:10:545; 11.554800; 8.831400; 236.552600; 
2023.10.20_16:35:10:645; 11.601300; 8.588100; 236.552600; 
2023.10.20_16:35:10:745; 11.347000; 8.752200; 236.552600; 
2023.10.20_16:35:10:845; 11.278600; 9.227900; 236.530700; 
2023.10.20_16:35:10:945; 11.210300; 9.055700; 236.530700; 
2023.10.20_16:35:11:045; 11.185700; 8.861500; 236.552600; 
2023.10.20_16:35:11:145; 11.068100; 9.096700; 236.574600; 
2023.10.20_16:35:11:245; 10.917700; 8.798600; 234.772800; 
2023.10.20_16:35:11:345; 10.854800; 8.960000; 233.761900; 
2023.10.20_16:35:11:445; 10.638800; 8.913500; 233.696000; 
2023.10.20_16:35:11:545; 10.606000; 9.017400; 233.652100; 
2023.10.20_16:35:11:645; 10.406400; 9.170500; 232.729200; 
2023.10.20_16:35:11:745; 10.969700; 9.020100; 231.894200; 
2023.10.20_16:35:11:845; 10.800100; 9.096700; 231.916100; 
2023.10.20_16:35:11:945; 10.939600; 9.252500; 231.894200; 
2023.10.20_16:35:12:045; 10.622400; 9.337300; 231.806300; 
2023.10.20_16:35:12:145; 10.592300; 9.602500; 229.037500; 
2023.10.20_16:35:12:245; 10.778300; 9.476700; 229.103500; 
2023.10.20_16:35:12:345; 10.953300; 10.250500; 229.125400; 
2023.10.20_16:35:12:445; 10.729100; 9.919700; 229.147400; 
2023.10.20_16:35:12:545; 10.805600; 9.608000; 234.113500; 
2023.10.20_16:35:12:645; 10.529400; 9.536900; 234.597000; 
2023.10.20_16:35:12:745; 10.444700; 9.668100; 234.575000; 
2023.10.20_16:35:12:845; 10.376300; 9.725600; 234.553000; 
2023.10.20_16:35:12:945; 10.436500; 9.320900; 234.750800; 
2023.10.20_16:35:13:045; 10.515800; 9.381000; 234.772800; 
2023.10.20_16:35:13:145; 10.422800; 9.077500; 234.772800; 
2023.10.20_16:35:13:245; 10.195900; 9.203300; 234.750800; 
2023.10.20_16:35:13:345; 10.428300; 8.918900; 230.927300; 
2023.10.20_16:35:13:445; 11.024400; 8.924400; 231.344800; 
2023.10.20_16:35:13:545; 10.600500; 8.492400; 231.410700; 
2023.10.20_16:35:13:645; 10.206800; 8.640000; 231.454700; 
2023.10.20_16:35:13:745; 10.187700; 8.451400; 232.751100; 
2023.10.20_16:35:13:845; 10.264200; 8.476000; 234.311300; 
2023.10.20_16:35:13:945; 11.155600; 8.317400; 234.333300; 
2023.10.20_16:35:14:045; 10.833000; 8.249000; 234.333300; 
2023.10.20_16:35:14:145; 10.893100; 8.076800; 234.377200; 
2023.10.20_16:35:14:245; 10.980600; 7.986500; 237.893100; 
2023.10.20_16:35:14:345; 10.824800; 7.983800; 237.937000; 
2023.10.20_16:35:14:445; 10.846600; 7.879900; 237.981000; 
2023.10.20_16:35:14:545; 10.688000; 7.776000; 237.937000; 
2023.10.20_16:35:14:645; 10.622400; 7.920900; 238.024900; 
2023.10.20_16:35:14:745; 11.035300; 7.666600; 238.024900; 
2023.10.20_16:35:14:845; 10.797400; 7.855300; 238.024900; 
2023.10.20_16:35:14:945; 10.767300; 8.290100; 238.046900; 
2023.10.20_16:35:15:045; 10.554100; 7.896300; 237.431600; 
2023.10.20_16:35:15:145; 10.368100; 7.978300; 237.453600; 
2023.10.20_16:35:15:245; 10.436500; 7.869000; 237.475600; 
2023.10.20_16:35:15:345; 10.488400; 7.912700; 237.475600; 
2023.10.20_16:35:15:445; 10.493900; 7.811500; 237.475600; 
2023.10.20_16:35:15:545; 10.559500; 7.940100; 237.453600; 
2023.10.20_16:35:15:645; 10.395500; 7.631100; 237.475600; 
2023.10.20_16:35:15:745; 10.447400; 7.743200; 237.475600; 
2023.10.20_16:35:15:845; 10.753700; 7.989300; 237.497500; 
2023.10.20_16:35:15:945; 10.884900; 7.499800; 237.497500; 
2023.10.20_16:35:16:045; 10.945100; 7.680300; 237.497500; 
2023.10.20_16:35:16:145; 10.611500; 7.472500; 237.497500; 
