TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:33:08:745; 0.159489; 9.782943; 8.500974; 0.231730; 236.648969; 
2023.10.20_16:33:09:745; 0.153915; 9.800094; 8.511988; 0.232483; 236.646324; 
2023.10.20_16:33:10:745; 0.148167; 9.817893; 8.522356; 0.233469; 236.652659; 
2023.10.20_16:33:11:745; 0.142186; 9.834626; 8.532672; 0.234282; 236.661922; 
2023.10.20_16:33:12:745; 0.135981; 9.850455; 8.543545; 0.234834; 236.671632; 
2023.10.20_16:33:13:745; 0.129561; 9.865334; 8.554562; 0.235199; 236.678834; 
2023.10.20_16:33:14:745; 0.125524; 9.872706; 8.557882; 0.235791; 236.686691; 
2023.10.20_16:33:15:745; 0.125472; 9.868229; 8.551390; 0.236294; 236.696875; 
2023.10.20_16:33:16:745; 0.125245; 9.863345; 8.545126; 0.236687; 236.702790; 
2023.10.20_16:33:17:745; 0.124828; 9.857567; 8.538800; 0.236942; 236.699729; 
2023.10.20_16:33:18:745; 0.124324; 9.850503; 8.532561; 0.236965; 236.693986; 
2023.10.20_16:33:19:745; 0.124111; 9.843672; 8.526470; 0.236999; 236.693316; 
2023.10.20_16:33:20:745; 0.123867; 9.835265; 8.522182; 0.236419; 236.682313; 
2023.10.20_16:33:21:745; 0.123570; 9.827434; 8.518777; 0.235764; 236.676420; 
2023.10.20_16:33:22:745; 0.123121; 9.820416; 8.515265; 0.235266; 236.674986; 
2023.10.20_16:33:23:745; 0.122988; 9.813450; 8.511599; 0.234806; 236.676727; 
2023.10.20_16:33:24:745; 0.123246; 9.804990; 8.509396; 0.233810; 236.645701; 
2023.10.20_16:33:25:745; 0.123457; 9.798336; 8.505417; 0.233461; 236.623299; 
2023.10.20_16:33:26:745; 0.123358; 9.791613; 8.501178; 0.233152; 236.605348; 
2023.10.20_16:33:27:745; 0.123692; 9.783411; 8.498039; 0.232378; 236.589494; 
2023.10.20_16:33:28:745; 0.124097; 9.774524; 8.493955; 0.231672; 236.576571; 
2023.10.20_16:33:29:745; 0.124420; 9.766727; 8.490778; 0.230973; 236.560802; 
2023.10.20_16:33:30:745; 0.124933; 9.757843; 8.485651; 0.230468; 236.548893; 
2023.10.20_16:33:31:745; 0.125201; 9.748107; 8.480997; 0.229726; 236.543897; 
2023.10.20_16:33:32:745; 0.125166; 9.739334; 8.476372; 0.229140; 236.535983; 
2023.10.20_16:33:33:745; 0.125000; 9.730868; 8.471878; 0.228581; 236.525629; 
2023.10.20_16:33:34:745; 0.125138; 9.722866; 8.466679; 0.228236; 236.522571; 
2023.10.20_16:33:35:745; 0.125050; 9.715826; 8.461568; 0.228037; 236.527729; 
2023.10.20_16:33:36:745; 0.125075; 9.708500; 8.455892; 0.227900; 236.538192; 
2023.10.20_16:33:37:745; 0.125010; 9.701404; 8.448622; 0.228113; 236.550007; 
2023.10.20_16:33:38:745; 0.125088; 9.693762; 8.441774; 0.228150; 236.554500; 
2023.10.20_16:33:39:745; 0.125166; 9.686472; 8.437115; 0.227820; 236.555295; 
2023.10.20_16:33:40:745; 0.125293; 9.680380; 8.433933; 0.227404; 236.553284; 
2023.10.20_16:33:41:745; 0.125482; 9.674534; 8.427293; 0.227707; 236.556380; 
2023.10.20_16:33:42:745; 0.125639; 9.670524; 8.420684; 0.228318; 236.556725; 
2023.10.20_16:33:43:745; 0.125302; 9.663220; 8.414969; 0.228191; 236.552621; 
2023.10.20_16:33:44:745; 0.124831; 9.656605; 8.408302; 0.228369; 236.549119; 
2023.10.20_16:33:45:745; 0.124467; 9.650210; 8.402650; 0.228385; 236.555864; 
2023.10.20_16:33:46:745; 0.124226; 9.645303; 8.398920; 0.228279; 236.561109; 
2023.10.20_16:33:47:745; 0.124119; 9.640383; 8.395801; 0.228050; 236.566450; 
2023.10.20_16:33:48:745; 0.123855; 9.635400; 8.391071; 0.228126; 236.564480; 
2023.10.20_16:33:49:745; 0.123349; 9.630624; 8.386024; 0.228301; 236.565339; 
2023.10.20_16:33:50:745; 0.122968; 9.625264; 8.380707; 0.228429; 236.561777; 
2023.10.20_16:33:51:745; 0.122498; 9.620216; 8.375951; 0.228500; 236.555177; 
2023.10.20_16:33:52:745; 0.121916; 9.616243; 8.371264; 0.228742; 236.549703; 
2023.10.20_16:33:53:745; 0.121709; 9.614360; 8.367144; 0.229231; 236.545969; 
2023.10.20_16:33:54:745; 0.121648; 9.613793; 8.363427; 0.229867; 236.539809; 
2023.10.20_16:33:55:745; 0.121584; 9.612782; 8.358580; 0.230650; 236.544981; 
2023.10.20_16:33:56:745; 0.121567; 9.612081; 8.353284; 0.231575; 236.547425; 
2023.10.20_16:33:57:745; 0.121532; 9.610240; 8.348727; 0.232159; 236.541621; 
2023.10.20_16:33:58:745; 0.121457; 9.608614; 8.345602; 0.232498; 236.536772; 
2023.10.20_16:33:59:745; 0.121381; 9.607598; 8.343748; 0.232690; 236.531503; 
2023.10.20_16:34:00:745; 0.121273; 9.606383; 8.341278; 0.232970; 236.525711; 
2023.10.20_16:34:01:745; 0.121273; 9.606416; 8.338275; 0.233570; 236.520332; 
2023.10.20_16:34:02:745; 0.121276; 9.606495; 8.334817; 0.234268; 236.516073; 
2023.10.20_16:34:03:745; 0.121335; 9.607178; 8.331147; 0.235111; 236.516922; 
2023.10.20_16:34:04:745; 0.121430; 9.608681; 8.328095; 0.235974; 236.520934; 
