TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:37:08:745; 0.128707; 9.667935; 8.404188; 0.231111; 236.562256; 
2023.10.20_16:37:09:745; 0.128582; 9.666321; 8.404717; 0.230732; 236.551138; 
2023.10.20_16:37:10:745; 0.128461; 9.665046; 8.404727; 0.230512; 236.538111; 
2023.10.20_16:37:11:745; 0.128297; 9.663579; 8.404044; 0.230396; 236.525841; 
2023.10.20_16:37:12:745; 0.128280; 9.663428; 8.403783; 0.230421; 236.513373; 
2023.10.20_16:37:13:745; 0.128264; 9.663343; 8.403571; 0.230448; 236.500029; 
2023.10.20_16:37:14:745; 0.128194; 9.662899; 8.404003; 0.230288; 236.485148; 
2023.10.20_16:37:15:745; 0.128202; 9.662990; 8.405034; 0.230101; 236.477858; 
2023.10.20_16:37:16:745; 0.128312; 9.664206; 8.406442; 0.230032; 236.474091; 
2023.10.20_16:37:17:745; 0.128302; 9.664102; 8.408201; 0.229669; 236.473202; 
2023.10.20_16:37:18:745; 0.128233; 9.663314; 8.409130; 0.229352; 236.468050; 
2023.10.20_16:37:19:745; 0.128393; 9.664789; 8.408085; 0.229809; 236.466745; 
2023.10.20_16:37:20:745; 0.128619; 9.666673; 8.407576; 0.230231; 236.467185; 
2023.10.20_16:37:21:745; 0.128912; 9.668686; 8.407572; 0.230575; 236.477843; 
2023.10.20_16:37:22:745; 0.129120; 9.669952; 8.408261; 0.230656; 236.474911; 
2023.10.20_16:37:23:745; 0.129160; 9.670222; 8.409035; 0.230550; 236.482661; 
2023.10.20_16:37:24:745; 0.129157; 9.670195; 8.409354; 0.230483; 236.475851; 
2023.10.20_16:37:25:745; 0.129305; 9.671132; 8.408150; 0.230879; 236.466564; 
2023.10.20_16:37:26:745; 0.129311; 9.671179; 8.407151; 0.231083; 236.444841; 
2023.10.20_16:37:27:745; 0.129197; 9.670210; 8.404939; 0.231352; 236.422562; 
2023.10.20_16:37:28:745; 0.129072; 9.669040; 8.402865; 0.231559; 236.401946; 
2023.10.20_16:37:29:745; 0.129172; 9.669625; 8.401602; 0.231907; 236.381501; 
2023.10.20_16:37:30:745; 0.129333; 9.670768; 8.401421; 0.232137; 236.363893; 
2023.10.20_16:37:31:745; 0.129479; 9.671697; 8.403139; 0.231959; 236.345514; 
2023.10.20_16:37:32:745; 0.129673; 9.673050; 8.405861; 0.231655; 236.333046; 
2023.10.20_16:37:33:745; 0.129796; 9.674733; 8.409826; 0.231164; 236.308417; 
2023.10.20_16:37:34:745; 0.129979; 9.677653; 8.413009; 0.231038; 236.280277; 
2023.10.20_16:37:35:745; 0.130068; 9.679542; 8.416317; 0.230711; 236.266842; 
2023.10.20_16:37:36:745; 0.130231; 9.681801; 8.418278; 0.230712; 236.252933; 
2023.10.20_16:37:37:745; 0.130378; 9.683921; 8.418667; 0.230997; 236.239754; 
2023.10.20_16:37:38:745; 0.130395; 9.684921; 8.419073; 0.231087; 236.236752; 
2023.10.20_16:37:39:745; 0.130394; 9.686439; 8.418818; 0.231396; 236.244355; 
2023.10.20_16:37:40:745; 0.130377; 9.690086; 8.418620; 0.232056; 236.263371; 
2023.10.20_16:37:41:745; 0.130394; 9.694849; 8.419968; 0.232603; 236.280455; 
2023.10.20_16:37:42:745; 0.130557; 9.699883; 8.420603; 0.233334; 236.295947; 
2023.10.20_16:37:43:745; 0.130503; 9.704269; 8.421661; 0.233873; 236.300145; 
2023.10.20_16:37:44:745; 0.130439; 9.708710; 8.422480; 0.234467; 236.307803; 
2023.10.20_16:37:45:745; 0.130409; 9.711754; 8.424824; 0.234526; 236.315656; 
2023.10.20_16:37:46:745; 0.130383; 9.714288; 8.427591; 0.234414; 236.322215; 
2023.10.20_16:37:47:745; 0.130365; 9.715143; 8.430362; 0.234017; 236.323206; 
2023.10.20_16:37:48:745; 0.130379; 9.714978; 8.431921; 0.233684; 236.320214; 
2023.10.20_16:37:49:745; 0.130393; 9.714708; 8.434710; 0.233093; 236.316231; 
2023.10.20_16:37:50:745; 0.130355; 9.715938; 8.437875; 0.232682; 236.334160; 
2023.10.20_16:37:51:745; 0.130266; 9.718424; 8.439858; 0.232717; 236.339196; 
2023.10.20_16:37:52:745; 0.130253; 9.721643; 8.441181; 0.233005; 236.343688; 
2023.10.20_16:37:53:745; 0.130181; 9.724436; 8.441699; 0.233377; 236.346133; 
2023.10.20_16:37:54:745; 0.130087; 9.728171; 8.443031; 0.233750; 236.362045; 
2023.10.20_16:37:55:745; 0.129795; 9.731033; 8.445911; 0.233673; 236.368538; 
2023.10.20_16:37:56:745; 0.129394; 9.734728; 8.448700; 0.233755; 236.374770; 
2023.10.20_16:37:57:745; 0.129022; 9.738892; 8.450508; 0.234107; 236.392435; 
2023.10.20_16:37:58:745; 0.128769; 9.741716; 8.452812; 0.234136; 236.396400; 
2023.10.20_16:37:59:745; 0.128702; 9.742809; 8.454644; 0.233963; 236.404169; 
2023.10.20_16:38:00:745; 0.128658; 9.743839; 8.455681; 0.233935; 236.411228; 
