TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:34:46:745; 0.120305; 9.735446; 8.390776; 0.245226; 237.023390; 
2023.10.20_16:34:47:745; 0.120311; 9.735293; 8.391169; 0.245123; 237.022274; 
2023.10.20_16:34:48:745; 0.120229; 9.736045; 8.392774; 0.244935; 237.022546; 
2023.10.20_16:34:49:745; 0.120301; 9.735287; 8.395233; 0.244323; 237.011321; 
2023.10.20_16:34:50:745; 0.120402; 9.734249; 8.396597; 0.243879; 237.004500; 
2023.10.20_16:34:51:745; 0.120574; 9.732178; 8.396860; 0.243477; 236.978612; 
2023.10.20_16:34:52:745; 0.120712; 9.730238; 8.398216; 0.242881; 236.964542; 
2023.10.20_16:34:53:745; 0.120745; 9.729570; 8.400108; 0.242396; 236.944964; 
2023.10.20_16:34:54:745; 0.120919; 9.727476; 8.401743; 0.241720; 236.924947; 
2023.10.20_16:34:55:745; 0.121070; 9.725476; 8.403237; 0.241088; 236.918037; 
2023.10.20_16:34:56:745; 0.121229; 9.723761; 8.403607; 0.240724; 236.912485; 
2023.10.20_16:34:57:745; 0.121396; 9.721514; 8.403992; 0.240267; 236.904991; 
2023.10.20_16:34:58:745; 0.121526; 9.719834; 8.404062; 0.239968; 236.902923; 
2023.10.20_16:34:59:745; 0.121627; 9.718631; 8.405527; 0.239476; 236.900146; 
2023.10.20_16:35:00:745; 0.121606; 9.718871; 8.406013; 0.239422; 236.900945; 
2023.10.20_16:35:01:745; 0.121533; 9.719743; 8.405636; 0.239644; 236.900559; 
2023.10.20_16:35:02:745; 0.121337; 9.721812; 8.404890; 0.240142; 236.900863; 
2023.10.20_16:35:03:745; 0.121154; 9.724070; 8.405040; 0.240495; 236.892587; 
2023.10.20_16:35:04:745; 0.120942; 9.727372; 8.405350; 0.240994; 236.885615; 
2023.10.20_16:35:05:745; 0.120901; 9.731219; 8.406010; 0.241517; 236.883415; 
2023.10.20_16:35:06:745; 0.120957; 9.733826; 8.406134; 0.241935; 236.876304; 
2023.10.20_16:35:07:745; 0.121196; 9.736784; 8.405637; 0.242534; 236.869474; 
