TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:34:08:745; 0.121769; 9.619222; 8.325780; 0.238241; 236.545607; 
2023.10.20_16:34:09:745; 0.121836; 9.621105; 8.326352; 0.238451; 236.560652; 
2023.10.20_16:34:10:745; 0.121899; 9.623397; 8.327923; 0.238533; 236.579124; 
2023.10.20_16:34:11:745; 0.121940; 9.625914; 8.329468; 0.238658; 236.599613; 
2023.10.20_16:34:12:745; 0.122008; 9.628970; 8.331472; 0.238785; 236.620801; 
2023.10.20_16:34:13:745; 0.122043; 9.633069; 8.333848; 0.239017; 236.634706; 
2023.10.20_16:34:14:745; 0.122082; 9.637112; 8.338350; 0.238818; 236.646745; 
2023.10.20_16:34:15:745; 0.122252; 9.641618; 8.340789; 0.239107; 236.664855; 
2023.10.20_16:34:16:745; 0.122305; 9.645374; 8.343211; 0.239270; 236.666763; 
2023.10.20_16:34:17:745; 0.122271; 9.648864; 8.346513; 0.239214; 236.661820; 
2023.10.20_16:34:18:745; 0.122211; 9.651302; 8.347955; 0.239346; 236.659762; 
2023.10.20_16:34:19:745; 0.122077; 9.654637; 8.348520; 0.239804; 236.656490; 
2023.10.20_16:34:20:745; 0.122009; 9.657921; 8.349155; 0.240240; 236.657261; 
2023.10.20_16:34:21:745; 0.122007; 9.661689; 8.348102; 0.241092; 236.659161; 
2023.10.20_16:34:22:745; 0.122100; 9.664828; 8.348164; 0.241615; 236.655406; 
2023.10.20_16:34:23:745; 0.122142; 9.668048; 8.348828; 0.242034; 236.663402; 
2023.10.20_16:34:24:745; 0.122172; 9.671782; 8.348920; 0.242653; 236.672956; 
2023.10.20_16:34:25:745; 0.122235; 9.674608; 8.348553; 0.243207; 236.691725; 
2023.10.20_16:34:26:745; 0.122256; 9.677618; 8.349167; 0.243599; 236.703686; 
2023.10.20_16:34:27:745; 0.122291; 9.681371; 8.350231; 0.244028; 236.705034; 
2023.10.20_16:34:28:745; 0.122226; 9.684787; 8.350209; 0.244615; 236.710259; 
2023.10.20_16:34:29:745; 0.122218; 9.688815; 8.350475; 0.245248; 236.714714; 
2023.10.20_16:34:30:745; 0.122269; 9.694692; 8.351305; 0.246084; 236.726857; 
2023.10.20_16:34:31:745; 0.122165; 9.699573; 8.352693; 0.246641; 236.745075; 
2023.10.20_16:34:32:745; 0.122035; 9.702732; 8.356042; 0.246517; 236.769466; 
2023.10.20_16:34:33:745; 0.121812; 9.706174; 8.359361; 0.246447; 236.797909; 
2023.10.20_16:34:34:745; 0.121623; 9.709895; 8.364844; 0.245997; 236.821728; 
2023.10.20_16:34:35:745; 0.121527; 9.712147; 8.369603; 0.245441; 236.846980; 
2023.10.20_16:34:36:745; 0.121438; 9.715132; 8.373543; 0.245172; 236.869692; 
2023.10.20_16:34:37:745; 0.121373; 9.718476; 8.377341; 0.244992; 236.888173; 
2023.10.20_16:34:38:745; 0.121260; 9.720247; 8.381122; 0.244548; 236.899302; 
2023.10.20_16:34:39:745; 0.121149; 9.722400; 8.385389; 0.244074; 236.909704; 
2023.10.20_16:34:40:745; 0.120994; 9.724685; 8.388125; 0.243923; 236.931666; 
2023.10.20_16:34:41:745; 0.120916; 9.726121; 8.389347; 0.243926; 236.952067; 
2023.10.20_16:34:42:745; 0.120834; 9.727800; 8.389183; 0.244243; 236.979127; 
2023.10.20_16:34:43:745; 0.120729; 9.729947; 8.388662; 0.244710; 237.001494; 
2023.10.20_16:34:44:745; 0.120578; 9.732023; 8.387923; 0.245207; 237.015062; 
2023.10.20_16:34:45:745; 0.120358; 9.734619; 8.389802; 0.245278; 237.019446; 
