TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:40:08:745; 9.025600; 8.834200; 8.645500; 
2023.10.20_16:40:08:845; 8.571700; 8.667400; 8.549800; 
2023.10.20_16:40:08:945; 8.402200; 8.517000; 8.361100; 
2023.10.20_16:40:09:045; 8.642800; 8.653700; 8.785000; 
2023.10.20_16:40:09:145; 8.774000; 8.590800; 8.536100; 
2023.10.20_16:40:09:245; 8.648200; 8.511500; 8.476000; 
2023.10.20_16:40:09:345; 8.136900; 8.000200; 8.046700; 
2023.10.20_16:40:09:445; 7.951000; 8.191600; 8.363900; 
2023.10.20_16:40:09:545; 8.262700; 8.038500; 8.229900; 
2023.10.20_16:40:09:645; 8.147900; 8.243600; 8.104100; 
2023.10.20_16:40:09:745; 8.087700; 8.120500; 8.049400; 
2023.10.20_16:40:09:845; 8.079500; 8.076800; 8.175200; 
2023.10.20_16:40:09:945; 8.678300; 8.208000; 8.506100; 
2023.10.20_16:40:10:045; 8.350200; 8.309200; 8.451400; 
2023.10.20_16:40:10:145; 8.347500; 8.413100; 8.303700; 
2023.10.20_16:40:10:245; 8.016600; 7.967400; 7.986500; 
2023.10.20_16:40:10:345; 7.833400; 7.836200; 8.325600; 
2023.10.20_16:40:10:445; 7.896300; 8.180700; 8.065800; 
2023.10.20_16:40:10:545; 7.964700; 8.123300; 8.095900; 
2023.10.20_16:40:10:645; 7.860800; 8.448600; 8.372100; 
2023.10.20_16:40:10:745; 8.333800; 8.782200; 8.555300; 
2023.10.20_16:40:10:845; 8.467800; 8.670100; 8.908000; 
2023.10.20_16:40:10:945; 9.036500; 8.932600; 8.369300; 
2023.10.20_16:40:11:045; 8.754900; 8.615400; 8.970900; 
2023.10.20_16:40:11:145; 8.585400; 8.596300; 8.681100; 
2023.10.20_16:40:11:245; 8.495100; 8.560700; 8.418600; 
2023.10.20_16:40:11:345; 8.651000; 8.456800; 8.626400; 
2023.10.20_16:40:11:445; 8.795900; 8.484200; 8.522500; 
2023.10.20_16:40:11:545; 8.563500; 8.388500; 8.260000; 
2023.10.20_16:40:11:645; 8.257200; 8.265400; 8.421300; 
2023.10.20_16:40:11:745; 8.864300; 8.798600; 8.935300; 
2023.10.20_16:40:11:845; 8.752200; 8.858800; 8.960000; 
2023.10.20_16:40:11:945; 8.845100; 8.724800; 8.623600; 
