TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:38:08:745; 8.970900; 7.806100; 231.081100; 
2023.10.20_16:38:08:845; 8.722100; 8.016600; 231.278900; 
2023.10.20_16:38:08:945; 8.828700; 8.235400; 231.344800; 
2023.10.20_16:38:09:045; 8.681100; 8.238100; 226.972000; 
2023.10.20_16:38:09:145; 8.891600; 8.298300; 222.401400; 
2023.10.20_16:38:09:245; 8.779500; 8.208000; 222.247600; 
2023.10.20_16:38:09:345; 9.039300; 8.467800; 222.225600; 
2023.10.20_16:38:09:445; 8.719300; 8.123300; 222.687100; 
2023.10.20_16:38:09:545; 8.667400; 8.005700; 231.894200; 
2023.10.20_16:38:09:645; 8.489700; 7.770500; 231.586500; 
2023.10.20_16:38:09:745; 8.787700; 7.568200; 231.498600; 
2023.10.20_16:38:09:845; 8.590800; 7.661200; 231.498600; 
2023.10.20_16:38:09:945; 8.943600; 7.420500; 231.169000; 
2023.10.20_16:38:10:045; 8.831400; 7.333000; 231.147000; 
2023.10.20_16:38:10:145; 9.211500; 7.182700; 231.147000; 
2023.10.20_16:38:10:245; 8.806800; 7.199100; 231.147000; 
2023.10.20_16:38:10:345; 9.148600; 7.543600; 230.575700; 
2023.10.20_16:38:10:445; 8.886100; 7.415100; 230.597700; 
2023.10.20_16:38:10:545; 9.260700; 7.475200; 230.575700; 
2023.10.20_16:38:10:645; 8.774000; 7.584600; 230.553700; 
2023.10.20_16:38:10:745; 8.894300; 7.570900; 230.663600; 
2023.10.20_16:38:10:845; 9.200600; 7.442400; 230.905300; 
2023.10.20_16:38:10:945; 8.776800; 7.672100; 230.839400; 
2023.10.20_16:38:11:045; 8.992800; 7.814300; 230.839400; 
2023.10.20_16:38:11:145; 8.908000; 7.745900; 232.531400; 
2023.10.20_16:38:11:245; 9.285300; 7.931900; 237.541500; 
2023.10.20_16:38:11:345; 9.206000; 7.765100; 237.431600; 
2023.10.20_16:38:11:445; 9.561500; 7.923700; 237.409600; 
2023.10.20_16:38:11:545; 9.875900; 8.238100; 237.475600; 
2023.10.20_16:38:11:645; 9.884200; 8.402200; 240.332200; 
2023.10.20_16:38:11:745; 9.829500; 8.582600; 240.332200; 
2023.10.20_16:38:11:845; 9.919700; 8.519700; 240.354100; 
2023.10.20_16:38:11:945; 9.744700; 8.194400; 240.354100; 
2023.10.20_16:38:12:045; 9.873200; 8.451400; 237.233800; 
2023.10.20_16:38:12:145; 9.884200; 8.260000; 237.102000; 
2023.10.20_16:38:12:245; 9.851300; 8.752200; 237.058000; 
2023.10.20_16:38:12:345; 9.706400; 8.631800; 237.058000; 
2023.10.20_16:38:12:445; 9.785700; 8.861500; 243.276700; 
2023.10.20_16:38:12:545; 9.687300; 8.702900; 243.276700; 
2023.10.20_16:38:12:645; 9.534200; 8.670100; 243.232700; 
2023.10.20_16:38:12:745; 9.884200; 8.347500; 243.232700; 
2023.10.20_16:38:12:845; 9.080300; 8.470500; 235.190300; 
2023.10.20_16:38:12:945; 8.738500; 8.306500; 234.970500; 
2023.10.20_16:38:13:045; 8.992800; 8.754900; 234.794700; 
2023.10.20_16:38:13:145; 8.681100; 8.451400; 234.772800; 
2023.10.20_16:38:13:245; 8.776800; 9.110300; 234.113500; 
2023.10.20_16:38:13:345; 8.659200; 9.006400; 229.081500; 
2023.10.20_16:38:13:445; 8.749400; 9.402900; 229.323200; 
2023.10.20_16:38:13:545; 8.593600; 9.266200; 229.389100; 
2023.10.20_16:38:13:645; 8.672900; 9.484900; 229.411100; 
2023.10.20_16:38:13:745; 8.374800; 9.433000; 228.620000; 
2023.10.20_16:38:13:845; 8.536100; 9.613500; 228.576100; 
2023.10.20_16:38:13:945; 8.301000; 9.605300; 228.554100; 
2023.10.20_16:38:14:045; 8.265400; 9.649000; 228.532100; 
2023.10.20_16:38:14:145; 8.648200; 9.353700; 230.509800; 
2023.10.20_16:38:14:245; 8.197100; 9.706400; 230.641600; 
2023.10.20_16:38:14:345; 8.169700; 8.932600; 230.729500; 
2023.10.20_16:38:14:445; 8.134200; 9.063900; 230.707600; 
2023.10.20_16:38:14:545; 8.544300; 8.593600; 233.630100; 
2023.10.20_16:38:14:645; 8.771300; 8.836900; 233.388400; 
2023.10.20_16:38:14:745; 9.165000; 8.372100; 233.366400; 
2023.10.20_16:38:14:845; 9.091200; 8.374800; 233.300500; 
2023.10.20_16:38:14:945; 9.334600; 8.238100; 227.015900; 
2023.10.20_16:38:15:045; 9.249800; 8.577200; 227.697100; 
2023.10.20_16:38:15:145; 9.818500; 8.500600; 227.829000; 
2023.10.20_16:38:15:245; 9.181400; 8.831400; 227.938800; 
