TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:31:08:745; 0.531667; 7.862567; 6.864581; 0.223940; 237.076669; 
2023.10.20_16:31:09:745; 0.529139; 7.877028; 6.878124; 0.223720; 237.086833; 
2023.10.20_16:31:10:745; 0.526586; 7.892076; 6.891003; 0.223782; 237.104504; 
2023.10.20_16:31:11:745; 0.524049; 7.906652; 6.903853; 0.223753; 237.115595; 
2023.10.20_16:31:12:745; 0.521488; 7.921852; 6.916536; 0.223894; 237.120343; 
2023.10.20_16:31:13:745; 0.518918; 7.937337; 6.928903; 0.224168; 237.126084; 
2023.10.20_16:31:14:745; 0.516337; 7.953300; 6.940443; 0.224737; 237.139257; 
2023.10.20_16:31:15:745; 0.513750; 7.970253; 6.952925; 0.225286; 237.157750; 
2023.10.20_16:31:16:745; 0.511162; 7.986321; 6.965765; 0.225565; 237.154310; 
2023.10.20_16:31:17:745; 0.508586; 8.001676; 6.978289; 0.225770; 237.146011; 
2023.10.20_16:31:18:745; 0.506032; 8.016360; 6.990985; 0.225796; 237.144696; 
2023.10.20_16:31:19:745; 0.503518; 8.030108; 7.003615; 0.225645; 237.140652; 
2023.10.20_16:31:20:745; 0.501004; 8.043791; 7.015607; 0.225631; 237.137661; 
2023.10.20_16:31:21:745; 0.498502; 8.057240; 7.028653; 0.225322; 237.136202; 
2023.10.20_16:31:22:745; 0.496003; 8.070599; 7.041932; 0.224942; 237.130857; 
2023.10.20_16:31:23:745; 0.493494; 8.084067; 7.053570; 0.224968; 237.129752; 
2023.10.20_16:31:24:745; 0.490956; 8.098055; 7.064605; 0.225241; 237.115740; 
2023.10.20_16:31:25:745; 0.488362; 8.113407; 7.075166; 0.225902; 237.103807; 
2023.10.20_16:31:26:745; 0.485754; 8.129116; 7.087369; 0.226250; 237.094669; 
2023.10.20_16:31:27:745; 0.483161; 8.144140; 7.100768; 0.226180; 237.081706; 
2023.10.20_16:31:28:745; 0.480593; 8.158405; 7.113563; 0.226097; 237.080145; 
2023.10.20_16:31:29:745; 0.478048; 8.172137; 7.127073; 0.225741; 237.071334; 
2023.10.20_16:31:30:745; 0.475463; 8.186689; 7.140335; 0.225609; 237.072644; 
2023.10.20_16:31:31:745; 0.472860; 8.201532; 7.154175; 0.225403; 237.073125; 
2023.10.20_16:31:32:745; 0.470231; 8.217367; 7.169549; 0.225044; 237.075198; 
2023.10.20_16:31:33:745; 0.467593; 8.234912; 7.186537; 0.224658; 237.078573; 
2023.10.20_16:31:34:745; 0.464960; 8.252923; 7.203723; 0.224322; 237.077998; 
2023.10.20_16:31:35:745; 0.462310; 8.270168; 7.218913; 0.224290; 237.077712; 
2023.10.20_16:31:36:745; 0.459666; 8.288060; 7.233733; 0.224472; 237.076065; 
2023.10.20_16:31:37:745; 0.457067; 8.307299; 7.248834; 0.224857; 237.082494; 
2023.10.20_16:31:38:745; 0.454572; 8.328245; 7.263589; 0.225657; 237.084335; 
2023.10.20_16:31:39:745; 0.452022; 8.348528; 7.277586; 0.226494; 237.090871; 
2023.10.20_16:31:40:745; 0.449504; 8.369356; 7.290540; 0.227671; 237.091102; 
2023.10.20_16:31:41:745; 0.446928; 8.389441; 7.303735; 0.228642; 237.090423; 
2023.10.20_16:31:42:745; 0.444329; 8.409154; 7.316190; 0.229703; 237.087952; 
2023.10.20_16:31:43:745; 0.441794; 8.429989; 7.329474; 0.230793; 237.079197; 
2023.10.20_16:31:44:745; 0.439239; 8.450641; 7.343866; 0.231593; 237.075193; 
2023.10.20_16:31:45:745; 0.436751; 8.472175; 7.358736; 0.232455; 237.075586; 
2023.10.20_16:31:46:745; 0.434179; 8.492757; 7.373604; 0.233128; 237.077829; 
2023.10.20_16:31:47:745; 0.431536; 8.512288; 7.388391; 0.233612; 237.076909; 
2023.10.20_16:31:48:745; 0.428889; 8.531871; 7.402851; 0.234178; 237.080136; 
2023.10.20_16:31:49:745; 0.426243; 8.551580; 7.417650; 0.234689; 237.085315; 
2023.10.20_16:31:50:745; 0.423604; 8.571556; 7.433206; 0.235083; 237.084668; 
2023.10.20_16:31:51:745; 0.420996; 8.592090; 7.451138; 0.235055; 237.086642; 
2023.10.20_16:31:52:745; 0.418374; 8.612479; 7.469858; 0.234826; 237.088897; 
2023.10.20_16:31:53:745; 0.415672; 8.631659; 7.487734; 0.234552; 237.094020; 
2023.10.20_16:31:54:745; 0.412932; 8.650003; 7.505100; 0.234233; 237.104130; 
2023.10.20_16:31:55:745; 0.410182; 8.668241; 7.523596; 0.233647; 237.117947; 
2023.10.20_16:31:56:745; 0.407443; 8.687002; 7.541933; 0.233198; 237.127210; 
2023.10.20_16:31:57:745; 0.404714; 8.706274; 7.559555; 0.233003; 237.125530; 
2023.10.20_16:31:58:745; 0.401957; 8.725047; 7.578008; 0.232534; 237.124934; 
2023.10.20_16:31:59:745; 0.399198; 8.744000; 7.595954; 0.232212; 237.126612; 
2023.10.20_16:32:00:745; 0.396447; 8.763277; 7.614447; 0.231833; 237.123037; 
2023.10.20_16:32:01:745; 0.393659; 8.781918; 7.632346; 0.231465; 237.115277; 
2023.10.20_16:32:02:745; 0.390848; 8.800128; 7.649148; 0.231255; 237.108437; 
2023.10.20_16:32:03:745; 0.388010; 8.817231; 7.664987; 0.231046; 237.095480; 
2023.10.20_16:32:04:745; 0.385164; 8.834386; 7.681119; 0.230784; 237.088585; 
2023.10.20_16:32:05:745; 0.382308; 8.850809; 7.697353; 0.230365; 237.084459; 
2023.10.20_16:32:06:745; 0.379443; 8.867148; 7.713820; 0.229882; 237.074899; 
2023.10.20_16:32:07:745; 0.376569; 8.883428; 7.729745; 0.229506; 237.062481; 
