TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:41:08:745; 5.957700; 6.006900; 6.346000; 
2023.10.20_16:41:08:845; 6.310400; 6.466300; 6.780700; 
2023.10.20_16:41:08:945; 6.616700; 6.613900; 6.441700; 
2023.10.20_16:41:09:045; 6.537400; 6.387000; 6.318600; 
2023.10.20_16:41:09:145; 6.285800; 6.280300; 6.165500; 
2023.10.20_16:41:09:245; 6.108100; 5.892100; 5.949500; 
2023.10.20_16:41:09:345; 5.955000; 5.864700; 5.848300; 
2023.10.20_16:41:09:445; 5.870200; 6.001400; 6.067100; 
2023.10.20_16:41:09:545; 6.097100; 6.340500; 6.477200; 
2023.10.20_16:41:09:645; 6.583800; 6.624900; 6.510000; 
2023.10.20_16:41:09:745; 6.403400; 6.559200; 6.657700; 
2023.10.20_16:41:09:845; 6.389700; 6.668600; 6.195600; 
2023.10.20_16:41:09:945; 6.337800; 6.638500; 6.581100; 
2023.10.20_16:41:10:045; 6.832700; 6.307700; 6.302200; 
2023.10.20_16:41:10:145; 6.381500; 6.288500; 6.203800; 
2023.10.20_16:41:10:245; 6.086200; 6.127200; 6.061600; 
2023.10.20_16:41:10:345; 5.979600; 6.160000; 6.515500; 
2023.10.20_16:41:10:445; 6.463500; 6.540100; 6.600300; 
2023.10.20_16:41:10:545; 6.747900; 6.575600; 6.406100; 
2023.10.20_16:41:10:645; 6.255700; 6.578400; 6.652200; 
2023.10.20_16:41:10:745; 6.586600; 6.504600; 6.263900; 
2023.10.20_16:41:10:845; 6.326800; 6.244800; 6.225700; 
2023.10.20_16:41:10:945; 6.272100; 5.782700; 5.738900; 
2023.10.20_16:41:11:045; 5.749900; 5.799100; 5.736200; 
2023.10.20_16:41:11:145; 5.659700; 5.640500; 5.624100; 
2023.10.20_16:41:11:245; 5.700700; 5.788200; 5.903000; 
2023.10.20_16:41:11:345; 5.990500; 6.176400; 6.116300; 
2023.10.20_16:41:11:445; 6.220200; 6.471700; 5.982300; 
2023.10.20_16:41:11:545; 6.119000; 5.971400; 5.881100; 
2023.10.20_16:41:11:645; 6.012400; 5.793600; 5.831900; 
2023.10.20_16:41:11:745; 6.452600; 6.523700; 6.168200; 
2023.10.20_16:41:11:845; 6.534600; 6.687800; 8.008400; 
2023.10.20_16:41:11:945; 7.097900; 7.196300; 7.141600; 
2023.10.20_16:41:12:045; 6.799900; 7.177200; 6.958400; 
2023.10.20_16:41:12:145; 7.160800; 6.351400; 6.996700; 
2023.10.20_16:41:12:245; 6.824500; 6.496300; 6.499100; 
2023.10.20_16:41:12:345; 6.433500; 6.805300; 6.321400; 
2023.10.20_16:41:12:445; 6.512800; 6.742400; 6.521000; 
2023.10.20_16:41:12:545; 6.430700; 5.829200; 5.886600; 
2023.10.20_16:41:12:645; 6.594800; 6.671300; 6.758800; 
2023.10.20_16:41:12:745; 6.663100; 6.526400; 6.206500; 
