TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:25:08:745; 2.091278; 1.939068; 1.757970; 0.161759; 235.845282; 
2023.10.20_16:25:09:745; 2.080002; 1.954440; 1.772997; 0.160743; 235.890852; 
2023.10.20_16:25:10:745; 2.068844; 1.969882; 1.788345; 0.159507; 235.945881; 
2023.10.20_16:25:11:745; 2.057809; 1.985396; 1.803309; 0.158702; 235.990249; 
2023.10.20_16:25:12:745; 2.047044; 2.000073; 1.819001; 0.156559; 236.031051; 
2023.10.20_16:25:13:745; 2.036440; 2.014519; 1.834954; 0.154027; 236.065258; 
2023.10.20_16:25:14:745; 2.025989; 2.028805; 1.849860; 0.152336; 236.119865; 
2023.10.20_16:25:15:745; 2.015544; 2.043629; 1.863895; 0.151878; 236.160653; 
2023.10.20_16:25:16:745; 2.005261; 2.058212; 1.876882; 0.152154; 236.208951; 
2023.10.20_16:25:17:745; 1.995103; 2.072723; 1.889787; 0.152439; 236.246950; 
2023.10.20_16:25:18:745; 1.985089; 2.087074; 1.902674; 0.152611; 236.309297; 
2023.10.20_16:25:19:745; 1.975158; 2.101558; 1.915820; 0.152660; 236.349524; 
2023.10.20_16:25:20:745; 1.965541; 2.115040; 1.928346; 0.152459; 236.349916; 
2023.10.20_16:25:21:745; 1.956037; 2.128457; 1.942547; 0.150787; 236.370294; 
2023.10.20_16:25:22:745; 1.946460; 2.142645; 1.957627; 0.148990; 236.384529; 
2023.10.20_16:25:23:745; 1.936942; 2.157047; 1.972151; 0.147847; 236.383531; 
2023.10.20_16:25:24:745; 1.927589; 2.171074; 1.986983; 0.146179; 236.376777; 
2023.10.20_16:25:25:745; 1.918337; 2.185055; 2.000436; 0.145637; 236.380204; 
2023.10.20_16:25:26:745; 1.909134; 2.199276; 2.014147; 0.145071; 236.392562; 
2023.10.20_16:25:27:745; 1.899914; 2.214175; 2.028963; 0.144118; 236.400038; 
2023.10.20_16:25:28:745; 1.890789; 2.229066; 2.044220; 0.142817; 236.395299; 
2023.10.20_16:25:29:745; 1.881821; 2.243499; 2.059090; 0.141506; 236.398290; 
2023.10.20_16:25:30:745; 1.872993; 2.257617; 2.073867; 0.140059; 236.387229; 
2023.10.20_16:25:31:745; 1.864401; 2.270991; 2.087799; 0.138758; 236.365606; 
2023.10.20_16:25:32:745; 1.855888; 2.284354; 2.101464; 0.137674; 236.357859; 
2023.10.20_16:25:33:745; 1.847314; 2.298470; 2.114943; 0.137289; 236.396504; 
2023.10.20_16:25:34:745; 1.838591; 2.314722; 2.128348; 0.138490; 236.471330; 
2023.10.20_16:25:35:745; 1.830030; 2.329944; 2.141827; 0.138888; 236.523670; 
2023.10.20_16:25:36:745; 1.821487; 2.346451; 2.155690; 0.139891; 236.583800; 
2023.10.20_16:25:37:745; 1.813006; 2.363082; 2.169011; 0.141380; 236.638722; 
2023.10.20_16:25:38:745; 1.804606; 2.380326; 2.182462; 0.143176; 236.695718; 
2023.10.20_16:25:39:745; 1.796288; 2.397655; 2.196497; 0.144567; 236.734271; 
2023.10.20_16:25:40:745; 1.788049; 2.414114; 2.211025; 0.144977; 236.757518; 
2023.10.20_16:25:41:745; 1.779880; 2.430864; 2.226634; 0.144779; 236.761737; 
2023.10.20_16:25:42:745; 1.771826; 2.446615; 2.240500; 0.145193; 236.756380; 
