TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:25:43:745; 1.763839; 2.462431; 2.253812; 0.146050; 236.763358; 
2023.10.20_16:25:44:745; 1.755939; 2.478024; 2.265786; 0.147722; 236.774143; 
2023.10.20_16:25:45:745; 1.748090; 2.493951; 2.277318; 0.149916; 236.780713; 
2023.10.20_16:25:46:745; 1.740325; 2.509646; 2.288244; 0.152370; 236.785888; 
2023.10.20_16:25:47:745; 1.732624; 2.525391; 2.301315; 0.153291; 236.774561; 
2023.10.20_16:25:48:745; 1.724975; 2.541433; 2.316049; 0.153209; 236.772746; 
2023.10.20_16:25:49:745; 1.717434; 2.556783; 2.331163; 0.152413; 236.755353; 
2023.10.20_16:25:50:745; 1.709988; 2.571804; 2.345272; 0.152122; 236.716698; 
2023.10.20_16:25:51:745; 1.702685; 2.586128; 2.358830; 0.151775; 236.645521; 
2023.10.20_16:25:52:745; 1.695519; 2.599886; 2.373148; 0.150544; 236.581695; 
2023.10.20_16:25:53:745; 1.688497; 2.613142; 2.387534; 0.148963; 236.518918; 
2023.10.20_16:25:54:745; 1.681549; 2.626283; 2.401635; 0.147524; 236.475723; 
2023.10.20_16:25:55:745; 1.674417; 2.641652; 2.415555; 0.147616; 236.456165; 
2023.10.20_16:25:56:745; 1.667251; 2.658617; 2.428350; 0.149462; 236.416393; 
2023.10.20_16:25:57:745; 1.660195; 2.676619; 2.440931; 0.152070; 236.367498; 
2023.10.20_16:25:58:745; 1.653146; 2.693678; 2.453677; 0.153958; 236.342083; 
2023.10.20_16:25:59:745; 1.646166; 2.709767; 2.466673; 0.155068; 236.353439; 
2023.10.20_16:26:00:745; 1.639278; 2.727420; 2.480751; 0.156391; 236.373842; 
2023.10.20_16:26:01:745; 1.632646; 2.747330; 2.494404; 0.159337; 236.381504; 
2023.10.20_16:26:02:745; 1.625905; 2.766018; 2.509165; 0.160787; 236.362989; 
2023.10.20_16:26:03:745; 1.619145; 2.783570; 2.524034; 0.161475; 236.350901; 
2023.10.20_16:26:04:745; 1.612433; 2.801015; 2.538303; 0.162482; 236.331151; 
2023.10.20_16:26:05:745; 1.605766; 2.818136; 2.552660; 0.163231; 236.318750; 
2023.10.20_16:26:06:745; 1.599180; 2.835961; 2.565612; 0.165283; 236.308694; 
2023.10.20_16:26:07:745; 1.592796; 2.855582; 2.577746; 0.168874; 236.298448; 
