TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:37:08:745; 10.291600; 9.777500; 230.883400; 
2023.10.20_16:37:08:845; 10.269700; 9.580600; 230.905300; 
2023.10.20_16:37:08:945; 10.146600; 9.427500; 230.883400; 
2023.10.20_16:37:09:045; 10.165800; 9.263500; 230.905300; 
2023.10.20_16:37:09:145; 10.160300; 9.238900; 234.025600; 
2023.10.20_16:37:09:245; 10.521200; 9.244300; 233.981700; 
2023.10.20_16:37:09:345; 10.324400; 9.268900; 233.937700; 
2023.10.20_16:37:09:445; 10.220500; 9.069300; 233.937700; 
2023.10.20_16:37:09:545; 10.157600; 9.096700; 232.399600; 
2023.10.20_16:37:09:645; 10.387300; 9.088500; 232.487500; 
2023.10.20_16:37:09:745; 10.318900; 9.156800; 232.553400; 
2023.10.20_16:37:09:845; 10.171300; 9.063900; 232.553400; 
2023.10.20_16:37:09:945; 10.286100; 9.058400; 237.102000; 
2023.10.20_16:37:10:045; 10.592300; 8.973600; 237.080000; 
2023.10.20_16:37:10:145; 10.709900; 9.454900; 237.145900; 
2023.10.20_16:37:10:245; 10.824800; 8.968200; 237.167900; 
2023.10.20_16:37:10:345; 10.852100; 9.176000; 236.530700; 
2023.10.20_16:37:10:445; 10.857600; 9.039300; 236.442800; 
2023.10.20_16:37:10:545; 10.748200; 8.875200; 236.398800; 
2023.10.20_16:37:10:645; 10.491200; 8.968200; 236.442800; 
2023.10.20_16:37:10:745; 10.308000; 8.924400; 236.442800; 
2023.10.20_16:37:10:845; 10.614200; 9.001000; 236.486700; 
2023.10.20_16:37:10:945; 10.956000; 8.670100; 236.464800; 
2023.10.20_16:37:11:045; 10.994300; 8.653700; 236.442800; 
2023.10.20_16:37:11:145; 10.950500; 8.227200; 236.420800; 
2023.10.20_16:37:11:245; 10.824800; 8.437700; 236.750400; 
2023.10.20_16:37:11:345; 10.507600; 8.093200; 236.772400; 
2023.10.20_16:37:11:445; 10.551300; 8.142400; 236.772400; 
2023.10.20_16:37:11:545; 10.934100; 8.358400; 236.794400; 
2023.10.20_16:37:11:645; 10.641600; 8.177900; 234.970500; 
2023.10.20_16:37:11:745; 11.013400; 8.243600; 234.794700; 
2023.10.20_16:37:11:845; 11.240400; 8.085000; 234.838700; 
2023.10.20_16:37:11:945; 11.180200; 8.292800; 234.904600; 
2023.10.20_16:37:12:045; 11.114600; 8.180700; 235.871400; 
2023.10.20_16:37:12:145; 11.090000; 8.281900; 236.179100; 
2023.10.20_16:37:12:245; 10.835700; 8.410400; 236.223000; 
2023.10.20_16:37:12:345; 10.753700; 8.402200; 236.223000; 
2023.10.20_16:37:12:445; 11.147400; 8.407600; 236.530700; 
2023.10.20_16:37:12:545; 11.347000; 8.497900; 236.728400; 
2023.10.20_16:37:12:645; 11.404400; 8.467800; 236.750400; 
2023.10.20_16:37:12:745; 11.656000; 8.445900; 236.750400; 
2023.10.20_16:37:12:845; 11.647800; 8.197100; 236.750400; 
2023.10.20_16:37:12:945; 11.396200; 8.301000; 235.805500; 
2023.10.20_16:37:13:045; 11.243100; 8.060400; 235.871400; 
2023.10.20_16:37:13:145; 11.131000; 8.087700; 235.871400; 
2023.10.20_16:37:13:245; 11.833700; 7.945500; 235.827500; 
2023.10.20_16:37:13:345; 11.401700; 8.317400; 234.069600; 
2023.10.20_16:37:13:445; 11.399000; 8.599000; 234.135500; 
2023.10.20_16:37:13:545; 11.267700; 8.385800; 234.157500; 
2023.10.20_16:37:13:645; 11.429000; 8.298300; 234.135500; 
2023.10.20_16:37:13:745; 11.420800; 8.180700; 231.037200; 
2023.10.20_16:37:13:845; 11.524700; 8.331100; 230.817400; 
2023.10.20_16:37:13:945; 11.642300; 8.180700; 230.751500; 
2023.10.20_16:37:14:045; 11.434500; 8.317400; 230.729500; 
2023.10.20_16:37:14:145; 11.448200; 8.194400; 238.398500; 
2023.10.20_16:37:14:245; 11.423600; 7.953700; 237.607400; 
2023.10.20_16:37:14:345; 11.172000; 8.041200; 237.497500; 
2023.10.20_16:37:14:445; 11.054400; 8.033000; 237.497500; 
2023.10.20_16:37:14:545; 11.043500; 7.994700; 237.893100; 
2023.10.20_16:37:14:645; 11.210300; 8.232600; 238.684100; 
2023.10.20_16:37:14:745; 11.087200; 7.937300; 238.640200; 
2023.10.20_16:37:14:845; 11.103700; 8.030300; 238.662200; 
2023.10.20_16:37:14:945; 11.122800; 8.164300; 238.618200; 
2023.10.20_16:37:15:045; 11.202100; 7.929100; 238.486400; 
2023.10.20_16:37:15:145; 10.854800; 8.172500; 238.508300; 
2023.10.20_16:37:15:245; 11.136500; 7.937300; 238.486400; 
2023.10.20_16:37:15:345; 10.915000; 8.076800; 238.442400; 
2023.10.20_16:37:15:445; 11.106400; 8.115100; 238.090800; 
2023.10.20_16:37:15:545; 11.202100; 8.219000; 238.046900; 
2023.10.20_16:37:15:645; 11.114600; 8.197100; 238.068800; 
2023.10.20_16:37:15:745; 11.103700; 8.448600; 238.068800; 
2023.10.20_16:37:15:845; 11.437200; 8.372100; 236.992100; 
2023.10.20_16:37:15:945; 11.642300; 8.448600; 237.014100; 
2023.10.20_16:37:16:045; 11.519300; 8.208000; 237.014100; 
2023.10.20_16:37:16:145; 11.459100; 8.426800; 236.992100; 
2023.10.20_16:37:16:245; 11.489200; 8.394000; 238.662200; 
2023.10.20_16:37:16:345; 11.245800; 8.273600; 238.859900; 
2023.10.20_16:37:16:445; 10.939600; 8.213500; 238.794000; 
2023.10.20_16:37:16:545; 10.887600; 8.413100; 238.794000; 
2023.10.20_16:37:16:645; 10.887600; 8.768600; 238.200700; 
2023.10.20_16:37:16:745; 10.789200; 8.593600; 238.244600; 
2023.10.20_16:37:16:845; 10.964200; 9.047500; 238.200700; 
2023.10.20_16:37:16:945; 11.084500; 8.888900; 238.222700; 
2023.10.20_16:37:17:045; 11.054400; 9.304500; 238.266600; 
2023.10.20_16:37:17:145; 10.868500; 9.225200; 238.266600; 
2023.10.20_16:37:17:245; 10.797400; 9.001000; 238.244600; 
2023.10.20_16:37:17:345; 10.671600; 9.386500; 238.244600; 
2023.10.20_16:37:17:445; 10.709900; 9.249800; 238.244600; 
2023.10.20_16:37:17:545; 10.504800; 9.443900; 239.826800; 
2023.10.20_16:37:17:645; 10.644300; 9.233400; 239.914700; 
2023.10.20_16:37:17:745; 10.830200; 9.299000; 239.936600; 
2023.10.20_16:37:17:845; 10.715400; 9.279900; 239.958600; 
2023.10.20_16:37:17:945; 10.731800; 8.957200; 237.058000; 
2023.10.20_16:37:18:045; 10.600500; 8.620900; 237.387700; 
2023.10.20_16:37:18:145; 10.338000; 8.623600; 237.299800; 
2023.10.20_16:37:18:245; 10.510300; 9.115800; 237.343700; 
2023.10.20_16:37:18:345; 10.515800; 9.397400; 236.442800; 
2023.10.20_16:37:18:445; 10.600500; 9.140400; 236.552600; 
2023.10.20_16:37:18:545; 10.663400; 9.104900; 236.574600; 
2023.10.20_16:37:18:645; 10.994300; 8.697500; 236.574600; 
2023.10.20_16:37:18:745; 11.092700; 8.872500; 237.321700; 
2023.10.20_16:37:18:845; 11.144700; 8.664700; 237.497500; 
2023.10.20_16:37:18:945; 11.557500; 9.238900; 237.519500; 
2023.10.20_16:37:19:045; 12.077100; 8.869700; 237.563400; 
2023.10.20_16:37:19:145; 11.481000; 8.872500; 239.321400; 
2023.10.20_16:37:19:245; 11.500100; 8.582600; 240.310200; 
2023.10.20_16:37:19:345; 12.000500; 8.631800; 240.376100; 
2023.10.20_16:37:19:445; 11.491900; 8.445900; 240.376100; 
2023.10.20_16:37:19:545; 11.292300; 8.544300; 239.694900; 
2023.10.20_16:37:19:645; 11.666900; 8.503300; 231.454700; 
