TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:35:08:745; 0.121465; 9.739933; 8.405401; 0.243113; 236.860454; 
2023.10.20_16:35:09:745; 0.121991; 9.745662; 8.404385; 0.244283; 236.851614; 
2023.10.20_16:35:10:745; 0.122174; 9.749566; 8.404050; 0.245009; 236.842338; 
2023.10.20_16:35:11:745; 0.122232; 9.752303; 8.404062; 0.245470; 236.832303; 
2023.10.20_16:35:12:745; 0.122196; 9.755580; 8.404220; 0.245993; 236.816364; 
2023.10.20_16:35:13:745; 0.122110; 9.758576; 8.403493; 0.246643; 236.805049; 
2023.10.20_16:35:14:745; 0.122033; 9.762173; 8.402106; 0.247523; 236.793966; 
2023.10.20_16:35:15:745; 0.121995; 9.764998; 8.401212; 0.248176; 236.788250; 
2023.10.20_16:35:16:745; 0.121948; 9.768336; 8.400850; 0.248811; 236.778775; 
2023.10.20_16:35:17:745; 0.121919; 9.772026; 8.400211; 0.249559; 236.768165; 
2023.10.20_16:35:18:745; 0.121836; 9.775494; 8.398978; 0.250387; 236.750205; 
2023.10.20_16:35:19:745; 0.121774; 9.778941; 8.397866; 0.251187; 236.737629; 
2023.10.20_16:35:20:745; 0.121544; 9.782517; 8.398424; 0.251681; 236.739882; 
2023.10.20_16:35:21:745; 0.121296; 9.785640; 8.396169; 0.252651; 236.735604; 
2023.10.20_16:35:22:745; 0.121153; 9.788430; 8.394258; 0.253496; 236.736878; 
2023.10.20_16:35:23:745; 0.121048; 9.791394; 8.393841; 0.254078; 236.742369; 
2023.10.20_16:35:24:745; 0.120883; 9.794075; 8.393635; 0.254570; 236.738004; 
2023.10.20_16:35:25:745; 0.120739; 9.795614; 8.395650; 0.254433; 236.726469; 
2023.10.20_16:35:26:745; 0.120616; 9.797065; 8.396654; 0.254480; 236.709088; 
2023.10.20_16:35:27:745; 0.120580; 9.797581; 8.395925; 0.254710; 236.691467; 
2023.10.20_16:35:28:745; 0.120526; 9.798478; 8.394116; 0.255217; 236.681797; 
2023.10.20_16:35:29:745; 0.120414; 9.800194; 8.393470; 0.255633; 236.675162; 
2023.10.20_16:35:30:745; 0.120313; 9.801179; 8.392922; 0.255906; 236.675508; 
2023.10.20_16:35:31:745; 0.120065; 9.803577; 8.392274; 0.256437; 236.676373; 
2023.10.20_16:35:32:745; 0.119800; 9.806401; 8.391588; 0.257047; 236.672218; 
2023.10.20_16:35:33:745; 0.119666; 9.807802; 8.392267; 0.257150; 236.665147; 
2023.10.20_16:35:34:745; 0.119832; 9.805630; 8.392484; 0.256742; 236.643640; 
2023.10.20_16:35:35:745; 0.120204; 9.802945; 8.392016; 0.256382; 236.622731; 
2023.10.20_16:35:36:745; 0.120634; 9.798848; 8.391368; 0.255820; 236.599950; 
